ticker,transaction_date,number_of_transactions
CATY,2020/10/16,1
EBSB,2020/10/16,1
PPBI,2020/10/16,1
WBS,2020/10/16,1
PRA,2020/10/15,1
CME,2020/09/23,1
BAND,2020/09/08,1
SLB,2020/08/18,1
COP,2020/08/18,1
SFST,2020/06/29,1
RDS-B,2020/06/04,1
ADS,2020/05/13,1
AIG,2020/05/13,1
CMA,2020/05/13,1
BEN,2020/05/13,1
HIG,2020/05/13,1
IVZ,2020/05/13,1
L,2020/05/13,1
PYPL,2020/05/13,1
TFC,2020/05/13,1
WFC,2020/05/13,1
BRY,2020/05/07,1
FLIR,2020/05/07,1
WTFC,2020/05/06,1
SPLK,2020/04/27,1
SQ,2020/04/27,1
SNE,2020/04/17,1
AAGIY,2020/04/17,1
SSL,2020/04/15,1
AMG,2020/04/02,1
AFL,2020/04/02,1
C,2020/04/02,1
DFS,2020/04/02,1
FITB,2020/04/02,1
HBAN,2020/04/02,1
KEY,2020/04/02,1
LNC,2020/04/02,1
MTB,2020/04/02,1
PBCT,2020/04/02,1
PNC,2020/04/02,1
PFG,2020/04/02,1
PRU,2020/04/02,1
TRV,2020/04/02,1
ZION,2020/04/02,1
HSBC,2020/03/26,1
EOG,2020/03/26,1
TOT,2020/03/19,1
VOPKY,2020/03/18,1
NTOIY,2020/03/18,1
REPYY,2020/03/18,1
GS,2020/03/17,1
APH,2020/03/17,1
PSX,2020/03/09,1
NTRS,2020/03/05,1
ADI,2020/02/20,1
ADSK,2020/02/20,1
TXN,2020/02/20,1
HMN,2020/02/18,1
CB,2020/02/10,1
UBSI,2020/02/03,1
FRFHF,2020/01/28,1
SANM,2020/01/15,1
BBVA,2020/01/10,1
ADTN,2020/01/02,1
MPC,2019/12/31,1
SPN,2019/12/19,1
ICE,2019/12/16,1
ESGR,2019/05/21,1
JPM,2019/03/13,1
JEF,2019/02/04,1
WFM,2017/08/17,1
WOOF,2017/03/14,1
ENB,2016/12/16,1
FEYE,2016/12/16,1
VLO,2016/12/16,1
WMB,2016/12/15,1
EPD,2016/12/13,1
BPL,2016/12/13,1
ETP,2016/12/12,1
ENTG,2016/11/29,1
ORCL,2016/11/28,1
FB,2016/11/28,1
SE,2016/11/18,1
GOOGL,2016/11/15,1
GEL,2016/11/11,1
DPM,2016/11/09,1
IBM,2016/10/26,1
GLW,2016/10/24,1
PAA,2016/09/13,1
WPZ,2016/09/13,1
WPX,2016/09/01,1
AM,2016/07/15,1
MPLX,2016/07/06,1
FTV,2016/07/05,1
ACN,2016/06/07,1
TWTR,2016/05/24,1
NVDA,2016/05/18,1
CERN,2016/05/18,1
XER.BE,2016/05/04,1
RNWK,2016/04/28,1
LRCX,2016/04/26,1
TRGP,2016/04/20,1
VMW,2016/04/19,1
KN,2016/03/31,1
MMP,2016/03/30,1
CSCO,2016/03/24,1
QCOM,2016/03/22,1
HAL,2016/03/22,1
MSFT,2016/02/12,1
ETE,2016/02/08,1
LLTC,2016/01/05,1
KMI,2015/12/16,1
DVN,2015/08/31,1
QLIK,2015/08/28,1
VLP,2015/07/28,1
NBL,2015/07/16,1
GPRO,2015/07/07,1
CY,2015/06/15,1
SSYS,2015/04/06,1
JCOM,2015/02/13,1
TYPE,2015/02/13,1
TNGO,2015/02/13,1
SWI,2015/02/13,1
SQI,2015/02/13,1
SPSC,2015/02/13,1
SMTC,2015/02/13,1
SGY,2015/02/13,1
POWI,2015/02/13,1
PLT,2015/02/13,1
PLKI,2015/02/13,1
OMCL,2015/02/13,1
NSR,2015/02/13,1
NICE,2015/02/13,1
MFRM,2015/02/13,1
LOCK,2015/02/13,1
HLX,2015/02/13,1
FET,2015/02/13,1
EPAY,2015/02/13,1
DRQ,2015/02/13,1
DIOD,2015/02/13,1
CVLT,2015/02/13,1
CTRL,2015/02/13,1
CTCT,2015/02/13,1
CRZO,2015/02/13,1
CGNX,2015/02/13,1
AMSG,2015/02/13,1
ABCO,2015/02/13,1
NOG,2015/01/16,1
AR,2015/01/14,1
KEYS,2014/12/18,1
PANW,2014/09/18,1
LNKD,2014/07/29,1
BTE,2014/07/23,1
ENLC,2014/07/23,1
PGH,2014/07/23,1
HFC,2014/06/19,1
OKE,2014/05/30,1
XLNX,2014/05/09,1
EC,2014/02/27,1
RIG,2014/02/27,1
SYMC,2014/01/29,1
