official	house	senate	input
Pfluger, August L.	12.0		12.0
Spanberger, Abigail	0.67		0.67
Rutherford, John	9.6		9.6
Scott, Austin	6.82		6.82
Lamborn, Doug	7.2		7.2
DelBene, Suzan K.	12.4		12.4
Burr, Richard M.		3.59	3.59
Morelle, Joseph D.	4.25		4.25
Schrader, Kurt	19.85		19.85
Hollingsworth, Trey	8.8		8.8
Waltz, Michael	1.33		1.33
Flores, Bill	0.3		0.3
Phillips, Dean	171.33		171.33
Fleischmann, Charles J.	6.73		6.73
King Jr., Angus S.		9.44	9.44
McConnell Jr., A. M.		0.59	0.59
Carter, Earl L.	1.0		1.0
Joyce, David P.	5.11		5.11
Warren, Elizabeth		0.11	0.11
Reed, John F.		8.06	8.06
Axne, Cynthia	58.0		58.0
Burchett, Tim	0.33		0.33
Meuser, Daniel	3.33		3.33
Murray, Patty		5.55	5.55
Raskin, Jamie	0.2		0.2
Malinowski, Tom	42.0		42.0
Jacobs, Christopher L.	43.0		43.0
Tuberville, Thomas H.		279.0	279.0
Dingell, Debbie	3.71		3.71
Shalala, Donna	283.5		283.5
Allen, Richard W.	5.43		5.43
Larson, John B.	1.48		1.48
Moore, Blake	111.0		111.0
Sessions, Pete	1.7		1.7
Shaheen, Jeanne		0.23	0.23
Kennedy, John N.		0.4	0.4
Krishnamoorthi, S. R.	0.2		0.2
Schiff, Adam B.	0.19		0.19
McEachin, Aston D.	1.2		1.2
Scott, Robert C.	0.59		0.59
Dunn, Neal P.	6.0		6.0
Lowenthal, Alan S.	64.89		64.89
Sherrill, Mikie	53.67		53.67
Cisneros, Gilbert	391.5		391.5
Khanna, Rohit	59.4		59.4
Rooney, Francis	15.0		15.0
Maloney, Carolyn B.	0.24		0.24
Kennedy, Joseph P.	0.25		0.25
Meng, Grace	0.11		0.11
Whitehouse, Sheldon		46.2	46.2
Cornyn, John		0.1	0.1
Clay Jr., William L.	0.1		0.1
Lee, Susie	206.67		206.67
Manning, Kathy	68.0		68.0
Long, Billy	2.55		2.55
Cawthorn, David M.	1.0		1.0
Kelly, Mike	1.27		1.27
Sanchez, Linda T.	0.26		0.26
Matsui, Doris O.	0.88		0.88
Huizenga, Bill	0.09		0.09
Curtis, John	34.2		34.2
Moran, Jerry		6.96	6.96
Pascrell, Bill	0.12		0.12
Norton, Eleanor H.	0.13		0.13
