name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Capito, Shelley M.",CVX,2018/04/24,2018/07/31,2020/07/28,-0.2935,2019/07/30,-0.0257,2019/01/29,-0.1161
"Perdue Jr., David A.",AM,2015/01/07,2015/04/15,2017/04/12,,2016/04/13,,2015/10/14,
"Reed, John F.",CELG,2016/07/25,2016/10/31,2018/10/29,,2017/10/30,,2017/05/01,
"Whitehouse, Sheldon",AMGN,2016/05/24,2016/08/30,2018/08/28,0.163,2017/08/29,0.0019,2017/02/28,0.0339
"Capito, Shelley M.",ABT,2015/07/21,2015/10/27,2017/10/24,0.2717,2016/10/25,-0.0768,2016/04/26,0.0061
"Hoeven, John",UA-C,2016/06/28,2016/10/04,2018/10/02,,2017/10/03,,2017/04/04,
"Perdue Jr., David A.",FDC,2017/09/27,2018/01/03,2020/01/01,,2019/01/02,,2018/07/04,
"Perdue Jr., David A.",URBN,2017/06/19,2017/09/25,2019/09/23,0.0448,2018/09/24,0.7473,2018/03/26,0.5959
"Roberts, Pat",FB,2017/07/20,2017/10/26,2019/10/24,0.0784,2018/10/25,-0.1269,2018/04/26,0.0128
"Capito, Shelley M.",BLK,2018/04/24,2018/07/31,2020/07/28,0.1364,2019/07/30,-0.0544,2019/01/29,-0.1866
"Perdue Jr., David A.",BWXT,2018/12/10,2019/03/18,2021/03/15,0.2781,2020/03/16,0.0012,2019/09/16,0.205
"Roberts, Pat",NFLX,2017/07/31,2017/11/06,2019/11/04,0.4543,2018/11/05,0.551,2018/05/07,0.6186
"Capito, Shelley M.",ES,2018/04/05,2018/07/12,2020/07/09,0.4201,2019/07/11,0.3134,2019/01/10,0.1056
"Perdue Jr., David A.",RF,2017/05/22,2017/08/28,2019/08/26,-0.032,2018/08/27,0.3528,2018/02/26,0.3709
"Murray, Patty",DNKN,2017/03/16,2017/06/22,2019/06/20,,2018/06/21,,2017/12/21,
"Whitehouse, Sheldon",FB,2016/05/24,2016/08/30,2018/08/28,0.4064,2017/08/29,0.3244,2017/02/28,0.0787
"Courtney, Joe",BLK,2019/12/31,2020/04/07,2022/04/05,,2021/04/06,0.718,2020/10/06,0.2828
"Reed, John F.",ZMH,2014/03/17,2014/06/23,2016/06/20,,2015/06/22,,2014/12/22,
"Toomey, Patrick J.",PG,2015/04/27,2015/08/03,2017/07/31,0.1841,2016/08/01,0.1234,2016/02/01,0.0577
"Perdue Jr., David A.",AXTA,2017/12/14,2018/03/22,2020/03/19,-0.4906,2019/03/21,-0.1551,2018/09/20,-0.0063
"Courtney, Joe",KDP,2019/12/31,2020/04/07,2022/04/05,,2021/04/06,0.3547,2020/10/06,0.0803
"Cisneros, Gilbert",GDDY,2019/12/24,2020/03/31,2022/03/29,,2021/03/30,0.3026,2020/09/29,0.3001
"Langevin, James R.",HUYA,2019/11/20,2020/02/26,2022/02/23,-0.7135,2021/02/24,0.448,2020/08/26,0.4248
"Carper, Thomas R.",ABBV,2015/02/12,2015/05/21,2017/05/18,0.0047,2016/05/19,-0.0875,2015/11/19,-0.0674
"Perdue Jr., David A.",AAPL,2016/02/12,2016/05/20,2018/05/18,0.9684,2017/05/19,0.614,2016/11/18,0.1594
"Perdue Jr., David A.",FEYE,2016/10/19,2017/01/25,2019/01/23,0.2894,2018/01/24,0.1839,2017/07/26,0.2242
"Collins, Susan M.",AKAM,2019/08/20,2019/11/26,2021/11/23,0.2541,2020/11/24,0.1606,2020/05/26,0.1452
"Perdue Jr., David A.",T,2019/02/06,2019/05/15,2021/05/12,0.0328,2020/05/13,-0.0847,2019/11/13,0.26
"Collins, Susan M.",UL,2014/05/07,2014/08/13,2016/08/10,0.0746,2015/08/12,0.0125,2015/02/11,-0.0039
"Joyce, David P.",FIKMX,2019/09/30,2020/01/06,2022/01/03,,2021/01/04,,2020/07/06,
"Perdue Jr., David A.",VSM,2016/12/22,2017/03/30,2019/03/28,,2018/03/29,,2017/09/28,
"Doggett, Lloyd",HD,2019/12/19,2020/03/26,2022/03/24,0.6646,2021/03/25,0.5507,2020/09/24,0.4016
"Hoeven, John",WTW,2018/07/26,2018/11/01,2020/10/29,0.3253,2019/10/31,0.3031,2019/05/02,0.2316
"Perdue Jr., David A.",BOIVF,2019/11/11,2020/02/17,2022/02/14,0.3652,2021/02/15,0.2199,2020/08/17,-0.0783
"Inhofe, James M.",INTU,2018/08/16,2018/11/22,2020/11/19,0.8131,2019/11/21,0.3877,2019/05/23,0.2388
