	p26	p52	p104
Senate Committee on Health, Education, Labor, and Pensions 	0.07	0.04	0.04
Task Force to Investigate Terrorism Financing 	1.51	1.27	2.63
Committee on Natural Resources 	0.31	0.47	0.35
Senate Select Committee on Intelligence 	0.14	0.17	0.2
Committee on Commerce, Science, and Transportation 	-0.01	0.04	0.15
Armed Services Committee 	0.08	0.12	0.13
Finance 	0.01	-0.03	0.05
Homeland Security 	0.01	0.07	0.15
Committee on Health, Education, Labor, and Pensions 	0.06	0.09	0.21
Committee on Rules and Administration 	0.02	0.07	0.18
SeaPower and Projection Forces Committee 	0.28	0.56	
Economic Committee 	0.01	-0.03	0.05
Energy 	0.02	0.08	0.22
House Committee on Agriculture 	0.28	0.56	
Senate Budget Committee 	0.07	0.04	0.04
Rules and Administration Committee 	0.05	0.09	0.24
Select Committee on Ethics 	0.1	0.13	0.34
Committee on Foreign Relations 	0.05	0.14	0.68
Cybersecurity 	-0.16	-0.07	-0.23
Small Business Committee 	-0.0	0.06	0.1
Transportation, Housing and Urban Development, and Related Agencies Committee 	0.02	0.08	0.16
Aviation Safety, Operations, and Innovation Committee 	-0.01	0.06	0.13
Energy and Mineral Resources 	-0.32	-0.44	-0.52
Readiness 	0.28	0.56	
Communications, Media, and Broadband Committee 	-0.01	0.06	0.13
Legislative Branch 	0.08	0.12	0.16
Ethics Committees 	0.1	0.14	0.33
Senate Caucus on International Narcotics Control Committee 	0.05	0.12	0.28
Cybersecurity, Infrastructure Protection, and Innovation Committee 	0.45	0.51	-0.05
Committee on Homeland Security 	0.29	0.38	0.03
Energy and Natural Resources Committee 	0.01	0.1	0.22
Agriculture Committee 	0.19	0.39	0.47
Appropriations Committee 	0.03	0.07	0.19
Joint Economic Committee 	0.09	0.16	0.17
Ways and Means Committee 	0.57	0.77	0.69
Senate Appropriations Committee 	0.07	0.04	0.04
House Committee on Budget 	0.57	0.77	0.69
Committee on Agriculture 	0.16	0.29	0.41
Senate Veterans' Affairs Committee 	0.05	0.03	0.12
Health 	0.47	1.06	1.75
Financial Services Committee 	-0.0	0.06	0.14
Foreign Affairs Committee 	0.07	0.27	0.51
Committee on Education, and the Workforce 	0.12	0.17	0.32
Senate Committee on Appropriations 	0.03	0.07	0.16
Committee on the Budget 	0.05	0.11	0.23
Committee on Transportation and Infrastructure Committee 	-0.02	0.08	0.18
Special Committee on Aging 	0.05	0.11	0.24
Interior, Environment, and Related Agencies Committee 	0.0	0.05	0.12
Education and the Workforce Committee 	0.22	0.48	0.46
Commerce, Justice, Science, and Related Agencies 	0.01	0.06	0.19
House Committee on Appropriations 	0.04	0.18	0.58
Agriculture, Nutrition, and Forestry Committee 	0.06	0.11	0.26
Committee on the Judiciary 	0.04	0.12	0.29
Judiciary Committee 	0.05	0.12	0.27
Small Business and Entrepreneurship Committee 	0.01	0.03	0.32
House Budget Committee 	0.57	0.77	0.69
Joint Committee on the Library 	0.07	0.11	0.28
Transportation and Infrastructure Committee 	0.03	0.1	0.24
Committee on Environment and Public Works 	0.03	0.09	0.22
Environment and Public Works Committee 	0.04	0.1	0.24
Commission on Security and Cooperation in Europe Committee 	0.04	0.12	0.28
Committee on Finance 	0.07	0.11	0.28
House Committee on Veterans' Affairs 	0.24	0.93	0.99
Asia, the Pacific, Central Asia, and Nonproliferation Committee 	0.05	0.11	0.12
Europe, Energy, the Environment, and Cyber Committee 	0.23	0.69	0.79
Clean Air, Climate, and Nuclear Safety 	0.05	0.12	0.28
Committee on Science, Space, and Technology 	0.42	0.59	0.72
Permanent Select Committee on Intelligence 	0.3	0.43	0.27
Airland 	0.02	0.07	0.1
Committee on Ways and Means 	0.41	0.58	0.6
Housing, Transportation, and Community Development Committee 	0.0	-0.04	0.38
Committee on Homeland Security and Governmental Affairs 	0.04	0.11	0.24
Committee on Foreign Affairs 	0.01	0.31	0.56
Budget Committee 	0.05	0.11	0.24
Financial Institutions and Consumer Protection Committee 	0.0	-0.04	0.38
Veterans' Affairs Committee 	0.03	0.01	0.22
Committee on Agriculture, Nutrition, and Forestry 	0.05	0.1	0.24
Tourism, Trade, and Export Promotion Committee 	-0.01	0.06	0.13
