official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",GD,2016/04/19,2016/08/09,12.22
"Perdue Jr., David A.",T,2019/01/31,2019/05/23,2.51
"Perdue Jr., David A.",DVN,2015/07/29,2015/11/18,-4.18
"Roberts, Pat",NFLX,2014/03/06,2014/06/26,-2.01
"Moran, Jerry",0QZI.IL,2019/09/25,2020/01/15,40.72
"Shalala, Donna",FII,2019/03/06,2019/06/26,1.71
"Whitehouse, Sheldon",T,2018/06/13,2018/10/03,1.27
"Inhofe, James M.",FLR,2017/05/17,2017/09/06,-7.71
"Hoeven, John",HAS,2016/08/22,2016/12/12,5.77
"Beyer, Donald S.",FANUF,2019/12/24,2020/04/14,-48.16
"Roberts, Pat",ZNGA,2014/11/07,2015/02/27,-0.23
"Perdue Jr., David A.",FDX,2019/06/26,2019/10/16,-6.33
"Perdue Jr., David A.",FE,2016/05/05,2016/08/25,-0.56
"Courtney, Joe",MCHP,2019/12/31,2020/04/21,-14.34
"Perdue Jr., David A.",BWXT,2018/12/13,2019/04/04,8.3
"Capito, Shelley M.",CB,2018/04/24,2018/08/14,-3.49
"Perdue Jr., David A.",FDX,2019/04/03,2019/07/24,-9.68
"Capito, Shelley M.",VFC,2018/04/05,2018/07/26,15.56
"Perdue Jr., David A.",MPLX,2016/04/22,2016/08/12,0.02
"Courtney, Joe",JPM,2019/12/31,2020/04/21,-49.03
"Roberts, Pat",TJX,2017/07/24,2017/11/13,1.72
"Perdue Jr., David A.",URBN,2017/06/01,2017/09/21,3.88
"Perdue Jr., David A.",FEYE,2016/10/19,2017/02/08,-1.42
"Roberts, Pat",FB,2018/10/12,2019/02/01,13.28
"Whitehouse, Sheldon",AXP,2014/07/29,2014/11/18,-1.39
"Perdue Jr., David A.",EPD,2018/09/18,2019/01/08,-1.89
"Whitehouse, Sheldon",DISH,2017/04/05,2017/07/26,-0.06
"Perdue Jr., David A.",SUN,2018/01/31,2018/05/23,-5.84
"Perdue Jr., David A.",FEYE,2016/11/18,2017/03/10,-3.19
"Hoeven, John",ABBV,2014/04/28,2014/08/18,3.97
"Toomey, Patrick J.",BOX,2018/05/02,2018/08/22,1.72
"Courtney, Joe",NEE,2019/12/31,2020/04/21,-1.66
"Perdue Jr., David A.",EAF,2019/05/24,2019/09/13,3.32
"Perdue Jr., David A.",BAC,2016/03/30,2016/07/20,0.78
"Collins, Susan M.",DAL,2014/03/31,2014/07/21,2.58
"Murray, Patty",MDT,2017/03/16,2017/07/06,5.58
"Whitehouse, Sheldon",C,2017/07/25,2017/11/14,3.31
"Perdue Jr., David A.",LGF-B,2018/12/10,2019/04/01,-0.73
"Whitehouse, Sheldon",NFLX,2016/01/05,2016/04/26,-15.81
"Whitehouse, Sheldon",BABA,2014/11/10,2015/03/02,-32.94
