official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",FEYE,2016/06/28,2016/07/26,1.33
"Cassidy, William",SBUX,2018/04/23,2018/05/21,-0.67
"Moran, Jerry",CVS,2018/12/19,2019/01/16,-5.3
"Collins, Susan M.",WFC,2014/05/07,2014/06/04,1.8
"Whitehouse, Sheldon",SBUX,2016/06/07,2016/07/05,1.06
"Perdue Jr., David A.",GM,2018/07/05,2018/08/02,-2.91
"Perdue Jr., David A.",PAGP,2019/02/07,2019/03/07,0.62
"Collins, Susan M.",SCHW,2014/04/21,2014/05/19,-2.08
"Roberts, Pat",NFLX,2018/08/24,2018/09/21,14.63
"Perdue Jr., David A.",GOOGL,2017/12/26,2018/01/23,109.13
"Capito, Shelley M.",JKHY,2017/09/08,2017/10/06,2.08
"Whitehouse, Sheldon",WMT,2018/08/28,2018/09/25,0.31
"Perdue Jr., David A.",FDX,2019/04/08,2019/05/06,-6.06
"Murray, Patty",COP,2017/03/16,2017/04/13,3.34
"Perdue Jr., David A.",CZR,2018/08/01,2018/08/29,6.07
"Perdue Jr., David A.",EAF,2019/05/29,2019/06/26,0.98
"Whitehouse, Sheldon",C,2017/05/24,2017/06/21,1.89
"Capito, Shelley M.",CL,2018/04/24,2018/05/22,-3.78
"Perdue Jr., David A.",GLW,2018/02/05,2018/03/05,-1.69
"Curtis, John",DOMO,2019/08/02,2019/08/30,-2.12
"Whitehouse, Sheldon",NVDA,2018/10/23,2018/11/20,-19.17
"Whitehouse, Sheldon",T,2019/04/18,2019/05/16,-0.36
"Courtney, Joe",LMT,2019/12/31,2020/01/28,43.11
"Cisneros, Gilbert",FLEX,2019/12/24,2020/01/21,0.74
"Langevin, James R.",HUYA,2019/05/06,2019/06/03,-1.7
"Perdue Jr., David A.",KN,2015/01/21,2015/02/18,-3.71
"Shalala, Donna",WFC,2019/02/05,2019/03/05,0.66
"Perdue Jr., David A.",ACA,2018/12/20,2019/01/17,5.8
"Malinowski, Tom",VIOT,2019/04/08,2019/05/06,0.16
"Capito, Shelley M.",PAYX,2018/04/05,2018/05/03,-0.91
"Perdue Jr., David A.",LGF-B,2019/11/12,2019/12/10,-0.36
"Roberts, Pat",NVDA,2018/04/25,2018/05/23,6.99
"Capito, Shelley M.",ICE,2018/02/27,2018/03/27,-1.5
"Perdue Jr., David A.",NWSA,2019/10/16,2019/11/13,-0.38
"Perdue Jr., David A.",PEP,2018/05/22,2018/06/19,6.01
"Whitehouse, Sheldon",NFLX,2015/04/07,2015/05/05,21.15
