name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Roberts, Pat",BIDU,2014/03/07,2014/03/07,2016/03/04,-0.039,2015/03/06,0.1628,2014/09/05,0.2138
"Reed, John F.",LSCC,2015/06/04,2015/06/04,2017/06/01,0.0633,2016/06/02,-0.106,2015/12/03,-0.0664
"Whitehouse, Sheldon",NWL,2017/08/24,2017/08/24,2019/08/22,-0.6571,2018/08/23,-0.5549,2018/02/22,-0.4388
"Perdue Jr., David A.",CBS,2019/11/12,2019/11/12,2021/11/09,,2020/11/10,,2020/05/12,
"Beyer, Donald S.",GS,2019/12/23,2019/12/23,2021/12/20,0.6176,2020/12/21,0.1105,2020/06/22,-0.1184
"Collins, Susan M.",M,2014/04/03,2014/04/03,2016/03/31,-0.2715,2015/04/02,0.1061,2014/10/02,-0.0419
"Capito, Shelley M.",CSCO,2018/04/24,2018/04/24,2020/04/21,-0.0662,2019/04/23,0.2795,2018/10/23,0.0223
"Shalala, Donna",PDCE,2019/04/30,2019/04/30,2021/04/27,-0.1791,2020/04/28,-0.7562,2019/10/29,-0.517
"Shalala, Donna",PLNT,2019/03/19,2019/03/19,2021/03/16,0.2215,2020/03/17,-0.5118,2019/09/17,-0.0779
"Collins, Susan M.",M,2014/04/07,2014/04/07,2016/04/04,-0.2763,2015/04/06,0.1478,2014/10/06,0.0031
"Perdue Jr., David A.",DISCA,2017/05/10,2017/05/10,2019/05/08,0.0943,2018/05/09,-0.1356,2017/11/08,-0.3443
"Perdue Jr., David A.",BOIVF,2018/06/28,2018/06/28,2020/06/25,-0.2984,2019/06/27,-0.0415,2018/12/27,-0.1508
"Capito, Shelley M.",JNJ,2016/04/19,2016/04/19,2018/04/17,0.1578,2017/04/18,0.0838,2016/10/18,0.0364
"Perdue Jr., David A.",HBI,2017/08/04,2017/08/04,2019/08/02,-0.3745,2018/08/03,-0.2449,2018/02/02,-0.1221
"Perdue Jr., David A.",EQM,2018/03/15,2018/03/15,2020/03/12,,2019/03/14,,2018/09/13,
"Murray, Patty",SNY,2017/03/16,2017/03/16,2019/03/14,-0.0048,2018/03/15,-0.0808,2017/09/14,0.0969
"Whitehouse, Sheldon",BA,2016/11/15,2016/11/15,2018/11/13,1.3511,2017/11/14,0.7617,2017/05/16,0.2311
"Toomey, Patrick J.",PHLD,2017/08/03,2017/08/03,2019/08/01,,2018/08/02,,2018/02/01,
"Peters, Gary C.",PFE,2015/09/16,2015/09/16,2017/09/13,0.0669,2016/09/14,0.0339,2016/03/16,-0.115
"Hoeven, John",NFLX,2019/09/24,2019/09/24,2021/09/21,1.2256,2020/09/22,0.8773,2020/03/24,0.4034
"Capito, Shelley M.",INCY,2017/09/08,2017/09/08,2019/09/06,-0.3836,2018/09/07,-0.4557,2018/03/09,-0.2734
"Perdue Jr., David A.",MRK,2017/10/27,2017/10/27,2019/10/25,0.3929,2018/10/26,0.1799,2018/04/27,0.005
"Roberts, Pat",WMT,2018/02/14,2018/02/14,2020/02/12,0.1451,2019/02/13,-0.0364,2018/08/15,-0.1105
"Capito, Shelley M.",NPSND,2017/09/08,2017/09/08,2019/09/06,,2018/09/07,,2018/03/09,
"Perdue Jr., David A.",ETP,2016/07/06,2016/07/06,2018/07/04,-0.015,2017/07/05,0.0114,2017/01/04,0.0057
"Peters, Gary C.",EMR,2015/04/14,2015/04/14,2017/04/11,0.02,2016/04/12,-0.0674,2015/10/13,-0.1976
"Roberts, Pat",NVDA,2017/09/28,2017/09/28,2019/09/26,0.0102,2018/09/27,0.5298,2018/03/29,0.3037
"Perdue Jr., David A.",DIS,2016/11/11,2016/11/11,2018/11/09,0.223,2017/11/10,0.0836,2017/05/12,0.1291
"Carper, Thomas R.",RIG,2014/02/27,2014/02/27,2016/02/25,-0.8089,2015/02/26,-0.6169,2014/08/28,-0.0962
"Collins, Susan M.",CRM,2014/01/24,2014/01/24,2016/01/22,0.2048,2015/01/23,-0.0083,2014/07/25,-0.0751
"Roberts, Pat",BAC,2014/03/14,2014/03/14,2016/03/11,-0.1992,2015/03/13,-0.0556,2014/09/12,-0.0159
"Shalala, Donna",AVGO,2019/06/04,2019/06/04,2021/06/01,0.8116,2020/06/02,0.1277,2019/12/03,0.1732
"Perdue Jr., David A.",FEYE,2018/06/25,2018/06/25,2020/06/22,-0.1973,2019/06/24,-0.0801,2018/12/24,-0.0082
"Perdue Jr., David A.",DISCA,2016/09/06,2016/09/06,2018/09/04,0.0839,2017/09/05,-0.1366,2017/03/07,0.0951
"Whitehouse, Sheldon",PG,2015/08/28,2015/08/28,2017/08/25,0.306,2016/08/26,0.2383,2016/02/26,0.1532
"Whitehouse, Sheldon",MCK,2016/09/28,2016/09/28,2018/09/26,-0.2058,2017/09/27,-0.0669,2017/03/29,-0.0975
"Perdue Jr., David A.",URBN,2019/12/16,2019/12/16,2021/12/13,0.113,2020/12/14,-0.003,2020/06/15,-0.3643
"Roberts, Pat",NFLX,2017/04/07,2017/04/07,2019/04/05,1.5627,2018/04/06,1.0394,2017/10/06,0.3642
"Murray, Patty",TUP,2017/03/16,2017/03/16,2019/03/14,-0.5543,2018/03/15,-0.203,2017/09/14,-0.0219
"Reed, John F.",ALTR,2014/07/28,2014/07/28,2016/07/25,,2015/07/27,,2015/01/26,
"Collins, Susan M.",MCHP,2014/06/19,2014/06/19,2016/06/16,0.0523,2015/06/18,-0.0106,2014/12/18,-0.0882
"McKinley, David B.",ACN,2019/12/30,2019/12/30,2021/12/27,0.9518,2020/12/28,0.2314,2020/06/29,0.0053
"Roberts, Pat",BIDU,2014/07/30,2014/07/30,2016/07/27,-0.2557,2015/07/29,-0.2356,2015/01/28,0.0182
"Perdue Jr., David A.",HBI,2018/05/04,2018/05/04,2020/05/01,-0.4285,2019/05/03,0.0535,2018/11/02,-0.0102
"Courtney, Joe",ANTM,2019/12/31,2019/12/31,2021/12/28,0.528,2020/12/29,0.0445,2020/06/30,-0.1393
"Shalala, Donna",SITE,2019/05/15,2019/05/15,2021/05/12,1.7831,2020/05/13,0.3226,2019/11/13,0.3966
"Axne, Cynthia",JEF,2019/02/04,2019/02/04,2021/02/01,0.229,2020/02/03,0.1427,2019/08/05,-0.0625
"Shalala, Donna",HE,2019/04/03,2019/04/03,2021/03/31,0.0937,2020/04/01,0.0176,2019/10/02,0.1104
