name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Brooks, Mo",D,2020/04/29,2020/08/05,2022/08/03,,2021/08/04,-0.0625,2021/02/03,-0.0916
"Gottheimer, Josh",CMP,2020/01/10,2020/04/17,2022/04/15,,2021/04/16,0.6261,2020/10/16,0.4925
"Curtis, John",DE,2020/03/27,2020/07/03,2022/07/01,,2021/07/02,1.2098,2021/01/01,0.68
"Conaway, K. M.",GSLC,2019/12/10,2020/03/17,2022/03/15,0.6745,2021/03/16,0.5846,2020/09/15,0.3758
"Carper, Thomas R.",NXTG,2020/07/07,2020/10/13,2022/10/11,,2021/10/12,0.2046,2021/04/13,0.1911
"Hern, Kevin",QSY,2020/02/14,2020/05/22,2022/05/20,,2021/05/21,0.605,2020/11/20,0.2565
"Roberts, Pat",WMT,2018/02/20,2018/05/29,2020/05/26,0.5161,2019/05/28,0.2534,2018/11/27,0.1559
"Green, Mark",MMLP,2020/10/05,2021/01/11,2023/01/09,,2022/01/10,0.8558,2021/07/12,0.9936
"Cisneros, Gilbert",DISCA,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.3813,2020/12/23,0.2969
"Timmons, William R.",JNJ,2020/05/28,2020/09/03,2022/09/01,,2021/09/02,0.1492,2021/03/04,0.0125
"Pelosi, Nancy",AAPL,2020/12/22,2021/03/30,2023/03/28,,2022/03/29,,2021/09/28,0.1972
"Gianforte, Greg",TOT,2020/03/19,2020/06/25,2022/06/23,,2021/06/24,,2020/12/24,
"Hoeven, John",BUD,2014/04/28,2014/08/04,2016/08/01,0.1657,2015/08/03,0.1168,2015/02/02,0.1296
"Hoeven, John",IVZ,2019/03/22,2019/06/28,2021/06/25,0.3392,2020/06/26,-0.5005,2019/12/27,-0.1286
"Conaway, K. M.",VZ,2020/05/19,2020/08/25,2022/08/23,,2021/08/24,-0.0716,2021/02/23,-0.043
"Hern, Kevin",ACN,2020/05/15,2020/08/21,2022/08/19,,2021/08/20,0.3984,2021/02/19,0.0832
"Axne, Cynthia",BF.B,2019/02/15,2019/05/24,2021/05/21,,2020/05/22,,2019/11/22,
"Collins, Susan M.",APH,2014/11/10,2015/02/16,2017/02/13,0.2306,2016/02/15,-0.1006,2015/08/17,-0.0116
"Perdue Jr., David A.",PAA,2016/07/15,2016/10/21,2018/10/19,-0.2506,2017/10/20,-0.3678,2017/04/21,-0.0778
"Langevin, James R.",DIA,2020/03/05,2020/06/11,2022/06/09,,2021/06/10,0.345,2020/12/10,0.166
"Murray, Patty",TUP,2017/03/16,2017/06/22,2019/06/20,-0.7245,2018/06/21,-0.406,2017/12/21,-0.1235
"Beyer, Donald S.",CYRX,2020/01/13,2020/04/20,2022/04/18,,2021/04/19,2.0378,2020/10/19,1.8795
"Cisneros, Gilbert",EDU,2020/12/31,2021/04/08,2023/04/06,,2022/04/07,,2021/10/07,-0.8509
"Langevin, James R.",DIA,2020/03/06,2020/06/12,2022/06/10,,2021/06/11,0.3485,2020/12/11,0.1722
"Cisneros, Gilbert",DXC,2019/12/06,2020/03/13,2022/03/11,1.176,2021/03/12,1.066,2020/09/11,0.3804
"Lowenthal, Alan S.",TMUS,2020/02/11,2020/05/19,2022/05/17,,2021/05/18,0.4029,2020/11/17,0.3325
"Perdue Jr., David A.",DISCA,2017/11/13,2018/02/19,2020/02/17,0.2492,2019/02/18,0.1996,2018/08/20,0.129
"Perdue Jr., David A.",C,2018/04/24,2018/07/31,2020/07/28,-0.2873,2019/07/30,-0.0119,2019/01/29,-0.1165
"Hoeven, John",T,2017/01/20,2017/04/28,2019/04/26,-0.2305,2018/04/27,-0.1634,2017/10/27,-0.151
"Phillips, Dean",CMCSA,2020/04/17,2020/07/24,2022/07/22,,2021/07/23,0.3436,2021/01/22,0.1223
"Perdue Jr., David A.",COST,2017/03/22,2017/06/28,2019/06/26,0.6599,2018/06/27,0.3188,2017/12/27,0.1652
"Perdue Jr., David A.",RF,2020/03/16,2020/06/22,2022/06/20,,2021/06/21,0.636,2020/12/21,0.2803
"Davis, Susan A.",FB,2020/03/16,2020/06/22,2022/06/20,,2021/06/21,0.3831,2020/12/21,0.1358
"Beyer, Donald S.",TJX,2020/01/27,2020/05/04,2022/05/02,,2021/05/03,0.513,2020/11/02,0.089
"Cisneros, Gilbert",SQ,2020/01/29,2020/05/06,2022/05/04,,2021/05/05,2.4324,2020/11/04,1.4356
"Blumenauer, Earl",MDT,2020/04/03,2020/07/10,2022/07/08,,2021/07/09,0.421,2021/01/08,0.3212
"Beyer, Donald S.",EL,2020/10/08,2021/01/14,2023/01/12,,2022/01/13,0.3358,2021/07/15,0.2825
"Foxx, Virginia",GSK,2020/04/13,2020/07/20,2022/07/18,,2021/07/19,-0.0655,2021/01/18,-0.0809
"Brooks, Susan W.",CVX,2020/04/06,2020/07/13,2022/07/11,,2021/07/12,0.2126,2021/01/11,0.052
"Capito, Shelley M.",PG,2018/12/13,2019/03/21,2021/03/18,0.2541,2020/03/19,0.1156,2019/09/19,0.1924
"Moran, Jerry",AAPL,2018/12/19,2019/03/27,2021/03/24,1.5826,2020/03/25,0.3355,2019/09/25,0.1656
"Cisneros, Gilbert",AKAM,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.1449,2020/12/23,0.0648
"Phillips, Dean",PM,2020/09/23,2020/12/30,2022/12/28,,2021/12/29,0.1525,2021/06/30,0.2068
"Hoeven, John",ABBV,2014/04/28,2014/08/04,2016/08/01,0.2604,2015/08/03,0.3243,2015/02/02,0.1359
"Gianforte, Greg",FIVE,2020/07/28,2020/11/03,2022/11/01,,2021/11/02,0.4823,2021/05/04,0.4416
"Lowenthal, Alan S.",UBER,2020/07/22,2020/10/28,2022/10/26,,2021/10/27,0.363,2021/04/28,0.7299
"Gottheimer, Josh",VZ,2020/07/23,2020/10/29,2022/10/27,,2021/10/28,-0.0667,2021/04/29,0.0064
"Malinowski, Tom",ANIK,2020/02/28,2020/06/05,2022/06/03,,2021/06/04,0.2886,2020/12/04,0.0289
"Gottheimer, Josh",MSFT,2020/02/26,2020/06/03,2022/06/01,,2021/06/02,0.3399,2020/12/02,0.159
"Cisneros, Gilbert",IART,2020/02/10,2020/05/18,2022/05/16,,2021/05/17,0.4524,2020/11/16,0.1469
"Hern, Kevin",LMT,2020/07/27,2020/11/02,2022/10/31,,2021/11/01,-0.0652,2021/05/03,0.0771
"Garcia, Mike",USO,2020/05/28,2020/09/03,2022/09/01,,2021/09/02,0.6738,2021/03/04,0.4444
"Perdue Jr., David A.",SU,2018/12/14,2019/03/22,2021/03/19,-0.3562,2020/03/20,-0.6637,2019/09/20,-0.0565
"Lee, Susie",BLDR,2020/06/03,2020/09/09,2022/09/07,,2021/09/08,0.7714,2021/03/10,0.5111
"Cisneros, Gilbert",UNP,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.3179,2020/12/23,0.2113
"Inhofe, James M.",C,2016/04/13,2016/07/20,2018/07/18,0.569,2017/07/19,0.5057,2017/01/18,0.2979
"Phillips, Dean",INTC,2020/12/18,2021/03/26,2023/03/24,,2022/03/25,-0.1918,2021/09/24,-0.1467
"Whitehouse, Sheldon",PSA,2016/08/18,2016/11/24,2018/11/22,0.0072,2017/11/23,0.0286,2017/05/25,0.0526
"Marchant, Kenny",LAM,2020/11/19,2021/02/25,2023/02/23,,2022/02/24,,2021/08/26,
"Schrader, Kurt",JFAMX,2020/10/26,2021/02/01,2023/01/30,,2022/01/31,,2021/08/02,
"Lee, Susie",EFX,2020/04/28,2020/08/04,2022/08/02,,2021/08/03,0.5934,2021/02/02,0.1208
"Perdue Jr., David A.",GPK,2019/08/01,2019/11/07,2021/11/04,0.2712,2020/11/05,-0.1235,2020/05/07,-0.1984
"Moran, Jerry",BRK-B,2018/12/06,2019/03/14,2021/03/11,0.2903,2020/03/12,-0.109,2019/09/12,0.0402
"Capito, Shelley M.",JPM,2018/04/24,2018/07/31,2020/07/28,-0.1618,2019/07/30,-0.0046,2019/01/29,-0.0994
"Frankel, Lois",BURL,2020/09/02,2020/12/09,2022/12/07,,2021/12/08,0.2385,2021/06/09,0.2988
"Roberts, Pat",TSLA,2020/12/11,2021/03/19,2023/03/17,,2022/03/18,0.3849,2021/09/17,0.1788
"Cisneros, Gilbert",NOW,2020/02/07,2020/05/15,2022/05/13,,2021/05/14,0.2558,2020/11/13,0.3693
"Cisneros, Gilbert",SPG,2020/02/07,2020/05/15,2022/05/13,,2021/05/14,1.3808,2020/11/13,0.4376
"Perdue Jr., David A.",FEYE,2020/02/25,2020/06/02,2022/05/31,,2021/06/01,0.7563,2020/12/01,0.1805
"Cisneros, Gilbert",DIS,2020/02/24,2020/06/01,2022/05/30,,2021/05/31,0.5206,2020/11/30,0.2469
"Roberts, Pat",NOC,2017/09/28,2018/01/04,2020/01/02,0.1384,2019/01/03,-0.2132,2018/07/05,0.0028
"Perdue Jr., David A.",AXTA,2017/10/26,2018/02/01,2020/01/30,-0.1065,2019/01/31,-0.1837,2018/08/02,-0.0398
"Roberts, Pat",AAPL,2020/04/27,2020/08/03,2022/08/01,,2021/08/02,0.331,2021/02/01,0.2131
"Phillips, Dean",KMB,2020/04/02,2020/07/09,2022/07/07,,2021/07/08,-0.0509,2021/01/07,-0.0805
"Perdue Jr., David A.",JNJ,2018/01/24,2018/05/02,2020/04/29,0.2062,2019/05/01,0.1312,2018/10/31,0.127
"Gottheimer, Josh",SSL,2020/01/10,2020/04/17,2022/04/15,,2021/04/16,4.0263,2020/10/16,0.9521
"Hill, James F.",AAWW,2019/12/19,2020/03/26,2022/03/24,2.6334,2021/03/25,1.2677,2020/09/24,1.5143
"Whitehouse, Sheldon",FEYE,2015/05/27,2015/09/02,2017/08/30,-0.6047,2016/08/31,-0.6109,2016/03/02,-0.5235
"Lowenthal, Alan S.",TMUS,2020/03/04,2020/06/10,2022/06/08,,2021/06/09,0.4009,2020/12/09,0.2621
"Malinowski, Tom",CSLT,2019/10/22,2020/01/28,2022/01/25,0.6024,2021/01/26,0.5709,2020/07/28,-0.0906
"McKinley, David B.",RPM,2020/08/20,2020/11/26,2022/11/24,,2021/11/25,0.054,2021/05/27,0.0723
"Lee, Susie",LITE,2020/10/07,2021/01/13,2023/01/11,,2022/01/12,-0.0201,2021/07/14,-0.2336
"Whitehouse, Sheldon",AMGN,2017/04/05,2017/07/12,2019/07/10,0.0502,2018/07/11,0.1176,2018/01/10,0.0495
"Phillips, Dean",L,2020/09/23,2020/12/30,2022/12/28,,2021/12/29,0.3145,2021/06/30,0.2275
"Cassidy, William",JPM,2018/12/07,2019/03/15,2021/03/12,0.4748,2020/03/13,-0.0756,2019/09/13,0.1279
"Hoeven, John",CG,2013/04/29,2013/08/05,2015/08/03,-0.076,2014/08/04,0.1347,2014/02/03,0.2004
"Gianforte, Greg",ENGGY,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,-0.0372,2020/12/23,-0.0892
"Carper, Thomas R.",FDN,2020/11/20,2021/02/26,2023/02/24,,2022/02/25,-0.1781,2021/08/27,0.1057
"Perdue Jr., David A.",HYH,2016/02/09,2016/05/17,2018/05/15,0.8308,2017/05/16,0.271,2016/11/15,0.192
"Perdue Jr., David A.",CZR,2018/06/27,2018/10/03,2020/09/30,0.1245,2019/10/02,-0.2129,2019/04/03,-0.0401
"Perdue Jr., David A.",FEYE,2016/06/28,2016/10/04,2018/10/02,0.1476,2017/10/03,0.1986,2017/04/04,-0.1476
"Rouda, Harley E.",AMZN,2020/05/26,2020/09/01,2022/08/30,,2021/08/31,-0.0161,2021/03/02,-0.1046
"Yarmuth, John A.",AAPL,2020/06/24,2020/09/30,2022/09/28,,2021/09/29,0.2408,2021/03/31,0.0597
"Roberts, Pat",BA,2018/02/05,2018/05/14,2020/05/11,-0.6256,2019/05/13,-0.0116,2018/11/12,0.0504
"Cisneros, Gilbert",PHR,2020/09/29,2021/01/05,2023/01/03,,2022/01/04,-0.2225,2021/07/06,0.1916
"Roberts, Pat",BA,2020/06/05,2020/09/11,2022/09/09,,2021/09/10,0.341,2021/03/12,0.647
"Lee, Susie",HHC,2020/12/29,2021/04/06,2023/04/04,,2022/04/05,,2021/10/05,-0.1084
"Perdue Jr., David A.",WPX,2015/01/14,2015/04/22,2017/04/19,,2016/04/20,,2015/10/21,
"Gottheimer, Josh",MTDR,2020/01/10,2020/04/17,2022/04/15,,2021/04/16,6.7409,2020/10/16,1.7899
"Marshall, Roger W.",AMD,2020/05/04,2020/08/10,2022/08/08,,2021/08/09,0.3338,2021/02/08,0.0942
"Conaway, K. M.",XLV,2020/08/10,2020/11/16,2022/11/14,,2021/11/15,0.1892,2021/05/17,0.1
"Cisneros, Gilbert",RCL,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.7432,2020/12/23,0.4445
"Roberts, Pat",BA,2020/07/27,2020/11/02,2022/10/31,,2021/11/01,0.4387,2021/05/03,0.6074
"Joyce, David P.",IJH,2019/03/04,2019/06/10,2021/06/07,0.4276,2020/06/08,0.014,2019/12/09,0.0577
"Gianforte, Greg",NVEE,2020/01/02,2020/04/09,2022/04/07,,2021/04/08,1.1614,2020/10/08,0.3355
"Phillips, Dean",CMCSA,2020/11/16,2021/02/22,2023/02/20,,2022/02/21,-0.1011,2021/08/23,0.1381
"Frankel, Lois",CIEN,2020/07/24,2020/10/30,2022/10/28,,2021/10/29,0.392,2021/04/30,0.3124
"Cassidy, William",CVS,2019/01/25,2019/05/03,2021/04/30,0.3527,2020/05/01,0.0591,2019/11/01,0.1846
"Lowenthal, Alan S.",OLED,2020/07/28,2020/11/03,2022/11/01,,2021/11/02,-0.0661,2021/05/04,0.1087
"Capito, Shelley M.",NVS,2017/09/05,2017/12/12,2019/12/10,0.2274,2018/12/11,0.0386,2018/06/12,-0.1006
"McConnell Jr., A. M.",WFC,2018/03/05,2018/06/11,2020/06/08,-0.4113,2019/06/10,-0.1679,2018/12/10,-0.1186
"Conaway, K. M.",DUK,2020/08/10,2020/11/16,2022/11/14,,2021/11/15,0.0536,2021/05/17,0.1042
"Gottheimer, Josh",MSFT,2020/03/24,2020/06/30,2022/06/28,,2021/06/29,0.3419,2020/12/29,0.1209
"Perdue Jr., David A.",AMZN,2017/09/27,2018/01/03,2020/01/01,0.5716,2019/01/02,0.2592,2018/07/04,0.4174
