	transaction_date	owner	ticker	asset_description	asset_type	type	amount	comment	senator	ptr_link	disclosure_date	disclosure_year	representative	district	cap_gains_over_200_usd
7545	2015/08/28	Joint	GLW	Corning Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7550	2015/08/27	Joint	DVN	Devon Energy Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7551	2015/08/27	Joint	GLW	Corning Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7559	2015/08/24	Joint	QCOM	QUALCOMM Incorporated (NASDAQ)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7561	2015/08/24	Joint	PSX	Phillips 66 (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7562	2015/08/24	Joint	KMI	Kinder Morgan, Inc. (NYSE)	Stock	Purchase	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7587	2015/08/07	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7588	2015/08/07	Joint	XOM	Exxon Mobil Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7591	2015/08/06	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7592	2015/08/06	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7593	2015/08/06	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7599	2015/08/05	Joint	AM	Antero Midstream Partners LP (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7603	2015/08/03	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7607	2015/07/30	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7609	2015/07/29	Joint	DVN	Devon Energy Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7611	2015/07/28	Joint	VLP	Valero Energy Partners LP (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7615	2015/08/05	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7620	2015/08/04	Joint	VLP	Valero Energy Partners LP (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/	2015/09/08				
7650	2015/07/08	Spouse	OXY	Occidental Petroleum Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/87af0262-2fd3-44ad-9429-1248084b480d/	2015/08/20				
7651	2015/07/16	Joint	NBL	Noble Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/87af0262-2fd3-44ad-9429-1248084b480d/	2015/08/20				
7671	2015/07/27	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7673	2015/07/24	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7675	2015/07/23	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7676	2015/07/23	Joint	SE	Spectra Energy Corp. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7679	2015/07/22	Joint	SE	Spectra Energy Corp. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7680	2015/07/22	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7687	2015/07/17	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7692	2015/07/13	Joint	DVN	Devon Energy Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/81a6cb3e-068f-432f-9cf4-1f49c84f3865/	2015/07/28				
7702	2015/07/10	Dependent	LLTC	Linear Technology Corporation (NASDAQ)	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/bc98ba42-c220-473c-9b6a-218ab3f54776/	2015/07/21				
7706	2015/07/07	Self	GPRO	GoPro, Inc. (NASDAQ)	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/bc98ba42-c220-473c-9b6a-218ab3f54776/	2015/07/21				
7708	2015/06/15	Self	CY	Cypress Semiconductor Corporation (NASDAQ)	Stock	Sale (Full)	$15,001 - $50,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/bc98ba42-c220-473c-9b6a-218ab3f54776/	2015/07/21				
7793	2015/04/02	Joint	MSFT	Microsoft Corporation (NASDAQ)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7799	2015/01/07	Joint	AM	Antero Midstream Partners LP (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7800	2015/01/14	Joint	AR	Antero Resources Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7801	2015/01/15	Joint	BPL	Buckeye Partners, L.P. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7802	2015/02/10	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7803	2015/02/11	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7804	2015/02/12	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7805	2015/02/02	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7806	2015/02/13	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7807	2015/02/17	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7808	2015/02/18	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7809	2015/02/19	Joint	WPZ	Williams Partners L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7810	2015/02/26	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Purchase	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7814	2015/03/12	Joint	ETE	Energy Transfer Equity, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7815	2015/03/13	Joint	ETE	Energy Transfer Equity, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7816	2015/03/13	Joint	ETE	Energy Transfer Equity, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7817	2015/05/21	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7818	2015/05/21	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7819	2015/05/22	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7820	2015/05/22	Joint	PAA	Plains All American Pipeline, L.P. (NYSE)	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7821	2015/01/08	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7829	2015/01/14	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7831	2015/01/21	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7834	2015/01/27	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7844	2015/02/05	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7859	2015/02/26	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7861	2015/03/03	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7864	2015/03/06	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7865	2015/03/09	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7867	2015/03/10	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7868	2015/03/11	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7870	2015/03/11	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7871	2015/03/12	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7872	2015/03/12	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7876	2015/03/16	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7877	2015/03/16	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7883	2015/03/20	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7884	2015/03/27	Joint	WPX	WPX Energy, Inc. (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7886	2015/04/17	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7887	2015/04/23	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7888	2015/04/24	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7889	2015/04/24	Joint	KN	Knowles Corporation (NYSE)	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/	2015/06/04				
7914	2015/05/18	Joint	CY	Cypress Semiconductor Corporation (NASDAQ)	Stock	Sale (Full)	$15,001 - $50,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/d16a03dd-c7ee-4bf8-b760-bccb5d5677c2/	2015/06/03				
7918	2015/05/27	Self	FEYE	FireEye, Inc. (NASDAQ)	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/d16a03dd-c7ee-4bf8-b760-bccb5d5677c2/	2015/06/03				
7981	2015/04/14	Self	QCOM	QUALCOMM Incorporated (NASDAQ)	Stock	Purchase	$1,001 - $15,000	--	Gary C Peters	https://efdsearch.senate.gov/search/view/ptr/1b750f03-1ac9-47b7-956f-fb0dc85ca537/	2015/05/06				
7996	2015/04/06	Dependent	SSYS	Stratasys Ltd. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/ebb68a90-5d92-481b-96df-bdaa5fc99b4b/	2015/04/23				
7998	2015/04/06	Self	ACN	Accenture plc (NYSE)	Stock	Sale (Full)	$15,001 - $50,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/ebb68a90-5d92-481b-96df-bdaa5fc99b4b/	2015/04/23				
8047	2015/02/24	Dependent	LLTC	Linear Technology Corporation (NASDAQ)	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/b852990f-aa23-40ed-bcb2-95441817ba41/	2015/03/17				
8075	2015/02/12	Spouse	VLO	Valero Energy Corporation (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Carper	https://efdsearch.senate.gov/search/view/ptr/ad73b552-c576-4819-9061-7fa2003a1503/	2015/03/03				
8095	2015/02/20	Spouse	HAL	Halliburton Company (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Susan M Collins	https://efdsearch.senate.gov/search/view/ptr/0c76c4e6-afb1-45c2-a1a3-90a1cf2f58c7/	2015/03/03				
8096	2015/02/20	Spouse	HAL	Halliburton Company (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Susan M Collins	https://efdsearch.senate.gov/search/view/ptr/0c76c4e6-afb1-45c2-a1a3-90a1cf2f58c7/	2015/03/03				
8097	2015/02/20	Spouse	HAL	Halliburton Company (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Susan M Collins	https://efdsearch.senate.gov/search/view/ptr/0c76c4e6-afb1-45c2-a1a3-90a1cf2f58c7/	2015/03/03				
8098	2015/02/20	Spouse	HAL	Halliburton Company (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Susan M Collins	https://efdsearch.senate.gov/search/view/ptr/0c76c4e6-afb1-45c2-a1a3-90a1cf2f58c7/	2015/03/03				
8113	2015/02/13	Joint	JCOM	j2 Global, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8118	2015/02/13	Joint	TYPE	Monotype Imaging Holdings Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8122	2015/02/13	Spouse	TNGO	Tangoe, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8128	2015/02/13	Joint	SWI	SolarWinds, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8130	2015/02/13	Joint	SQI	SciQuest, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8131	2015/02/13	Joint	SPSC	SPS Commerce, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8132	2015/02/13	Joint	SMTC	Semtech Corporation (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8135	2015/02/13	Joint	SGY	Stone Energy Corp. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8140	2015/02/13	Joint	QLIK	Qlik Technologies, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8145	2015/02/13	Joint	POWI	Power Integrations Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8146	2015/02/13	Joint	PLT	Plantronics, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8147	2015/02/13	Joint	PLKI	Popeyes Louisiana Kitchen, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8150	2015/02/13	Joint	OMCL	Omnicell, Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8152	2015/02/13	Joint	NSR	NeuStar, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8153	2015/02/13	Joint	NICE	NICE Systems Ltd. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8156	2015/02/13	Joint	MFRM	Mattress Firm Holding Corp. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8160	2015/02/13	Joint	LOCK	LifeLock, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8169	2015/02/13	Joint	HLX	Helix Energy Solutions Group, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8176	2015/02/13	Joint	FET	Forum Energy Technologies, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8178	2015/02/13	Joint	EPAY	Bottomline Technologies (de), Inc. (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8180	2015/02/13	Joint	DRQ	Dril-Quip, Inc. (NYSE)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
8181	2015/02/13	Joint	DIOD	Diodes Incorporated (NASDAQ)	Stock	Sale (Full)	$1,001 - $15,000	--	Thomas R Tillis	https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/	2015/02/26				
