official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Consumer Staples,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Induistrial,Industrial Goods,Industrials,Information Technology,Medical,Oil & Gas Storage & Trpor,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Jeffries, Hakeem S.",,,,,,,,,,,,,,5,,,,,,,,,,,,,
"Joyce, David P.",,,,,,,,,,,,,2,35,,,,,,,,,,,,2,
"Kaine, Timothy M.",,,,,,,,,,,1,,,,,,,1,,,,,,,,,
"Keating, William R.",,,,,5,4,,,,,4,,5,,6,,,7,,,,1,,,15,,
"Kelly, Mike",,2,,,,2,,,,,,,,,,,,,,,,,,,,,
"Kennedy, John N.",,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Kennedy, Joseph P.",,,,,1,,,,,,,,,,,,,1,,,,,,,,,
"Khanna, Rohit",,10,20,,27,28,,,,,,,48,,22,,,33,,,,6,,,42,,7
"King Jr., Angus S.",,2,2,,3,3,,,,,7,,3,,7,,,2,,,,,,,4,,1
"Kinzinger, Adam",,,,,,9,,,,,,,,2,,,,7,6,,,,,,,,
"Kustoff, David",,,3,,1,,,,,,1,,,,,,,1,,,,,,,3,,
"Lamborn, Doug",,,,,,,,,,,,,,,,,,,,,,,,,108,,
"Langevin, James R.",,,29,,19,9,,,,,,,6,18,1,,,42,,,,14,,,30,2,
"Larson, John B.",,2,,,5,5,,,,,3,,3,,8,,,2,,,,,,,6,,
"Latta, Robert E.",,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Lee, Susie",,25,9,2,157,42,,,,,19,,34,3,54,,,97,,,,57,,1,118,,2
"Loeffler, Kelly",,15,10,,30,30,,,,,18,,67,,26,,,44,,,,1,,,33,,
"Lofgren, Zoe",,1,14,,18,19,,,,,,,38,1,29,,,13,,,,12,,,23,,14
"Long, Billy",,,1,,1,,,,,,1,,,,,,,,,,,2,,,,,23
"Lowenthal, Alan S.",,13,14,,80,3,,,,,,,61,79,28,,,66,,,,12,,,174,,13
"Lummis, Cynthia M.",,,,,,,,,,1,,,,,,,,1,,,,,,,,,
"Luria, Elaine",,,,,3,,,,,,,,,,,,,,,,,,,,1,,
"Malinowski, Tom",,,9,,6,16,,,,,1,,6,,46,,,15,,,,1,,,26,,
"Maloney, Sean P.",,,,,,2,,,,,,,1,1,1,,,1,,,,,,,2,,
"Manchin III, Joseph",,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Manning, Kathy",,4,,,11,8,,,,,,,9,,12,,,6,,,,,,,16,,
"Marchant, Kenny",,3,1,,15,6,,,,,12,,13,5,15,,,15,,,,3,,,19,,2
"Marshall, Roger W.",,,4,,12,,,,,,1,,,,4,,,,,,,,,,14,,
"Massie, Thomas",,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Mast, Brian",,6,2,,5,,,,,,1,,,1,9,,,5,,,,,,,8,,
"Matsui, Doris O.",,,2,,,,,,,,,,,,,,,,,,,,,,,,
