transaction_date	house	senate	input
2018/12/10		2	2
2017/11/08		2	2
2020/01/31	7	1	8
2021/03/29	7	2	9
2019/08/21		2	2
2020/05/04	6	1	7
2016/04/06		1	1
2018/08/03		3	3
2021/07/31	2		2
2020/09/02	12	3	15
2021/02/18	11	1	12
2018/09/14		2	2
2017/01/26		3	3
2015/07/28		1	1
2019/10/28		3	3
2013/01/10		1	1
2020/08/04	11	1	12
2021/08/05	8	1	9
2015/12/18		1	1
2021/12/25	1		1
2017/01/23		2	2
2019/02/21	1	1	2
2021/06/11	7		7
2013/03/29		1	1
2015/10/06		3	3
2019/01/28	1	1	2
2015/04/02		3	3
2019/12/17	3	3	6
2018/10/03		1	1
2018/03/12		1	1
2021/05/25	4	2	6
2020/02/17	1		1
2014/09/11		1	1
2016/08/16		2	2
2019/05/01		2	2
2015/12/21		1	1
2019/03/05		1	1
2021/04/05	7	3	10
2014/09/02		3	3
2021/06/01	5	1	6
2013/10/15		3	3
2020/04/01	10	2	12
2019/04/25		4	4
2021/05/19	5	1	6
2019/04/16	2	3	5
2021/06/30	7	1	8
2018/01/04		4	4
2017/11/15		3	3
2014/04/08		3	3
2014/04/17		2	2
2017/02/22		3	3
2018/12/26		1	1
2019/04/29	1	4	5
2021/02/23	9		9
2018/05/23		3	3
2021/11/15	13		13
2019/12/13	2	2	4
2017/06/21		1	1
2017/11/22		1	1
2020/10/16	9	1	10
2019/06/06	1	2	3
2015/09/16		2	2
2020/10/09	10	1	11
2020/12/22	9	2	11
2021/10/18	3	1	4
2017/08/29		1	1
2015/01/13		2	2
2020/02/22		1	1
2019/05/16		4	4
2021/01/15	11	2	13
2017/06/27		3	3
2017/04/13		2	2
2019/09/24	1	1	2
2021/08/25	5	1	6
2016/02/02		2	2
2020/09/22	3	1	4
2013/01/11		1	1
2017/06/12		2	2
2021/11/02	8	1	9
2013/06/04		1	1
2017/06/09		2	2
2020/04/22	9	1	10
2020/01/07	8	1	9
2014/02/03		1	1
2013/08/28		1	1
2015/09/24		1	1
2012/10/03		2	2
2017/05/17		3	3
2020/04/07	9	4	13
2021/12/27	4	1	5
2014/05/27		1	1
2013/05/14		2	2
2015/01/27		3	3
2021/08/06	8		8
2021/08/03	4		4
2017/06/06		1	1
2020/08/05	5	2	7
2014/11/06		2	2
2014/11/14		1	1
2016/10/25		1	1
2019/04/15		3	3
2021/02/17	12		12
2016/03/07		2	2
2020/06/09	10	1	11
2018/10/23		3	3
2016/10/06		2	2
2016/02/24		1	1
2015/11/17		2	2
2021/05/27	7		7
2016/03/24		3	3
2020/04/17	12	2	14
2021/02/04	8	1	9
2016/11/17		3	3
2015/07/08		2	2
2017/07/07		4	4
2018/03/07		2	2
2021/05/11	10		10
2021/03/06	1		1
2018/10/24		3	3
2017/09/13		2	2
2016/04/12		2	2
2020/04/18	1		1
2020/06/11	11	1	12
2016/01/05		4	4
2014/05/16		1	1
2017/09/28		3	3
2017/10/02		2	2
2012/10/04		1	1
2015/11/12		1	1
2015/07/02		1	1
2019/03/01		3	3
2015/05/27		2	2
2021/04/12	10	1	11
2020/09/23	5	1	6
2020/04/15	11	2	13
2016/07/05		2	2
2021/08/09	4		4
2014/11/26		1	1
2021/03/17	12		12
2013/01/14		1	1
2020/03/26	12	3	15
2014/01/17		1	1
2019/02/20	1	2	3
2017/02/09		1	1
2019/06/14		3	3
2016/01/04		1	1
2015/11/03		1	1
2021/10/23	1		1
2019/07/19		1	1
2016/02/22		2	2
2021/05/10	4	3	7
2013/03/05		1	1
2021/03/26	7	3	10
2018/09/07		2	2
2020/05/13	10	1	11
2015/10/09		1	1
2018/10/05		2	2
2020/09/30	3	1	4
2013/09/18		1	1
2020/01/21	8	3	11
2015/08/21		2	2
2020/07/20	5	2	7
2018/10/08		2	2
2014/07/28		2	2
2017/10/06		2	2
2019/12/04	2	2	4
2021/11/29	3	1	4
2018/10/10		2	2
2020/10/08	6	1	7
2016/06/24		3	3
2013/10/16		2	2
2020/01/20	1		1
2015/06/03		3	3
2020/02/18	8	3	11
2020/01/24	7	4	11
2019/09/30	1	2	3
2013/11/22		2	2
2014/09/26		2	2
2013/03/06		1	1
2017/01/13		1	1
2018/02/15		4	4
2015/03/20		4	4
2021/04/20	4	2	6
2018/03/19		2	2
