ticker,transaction_date,number_of_transactions
VAC,2020/08/03,1
MAR,2020/08/03,1
OSK,2020/07/30,1
SIL,2020/07/28,1
NKLA,2020/07/20,1
TROW,2020/07/15,1
TSN,2020/07/09,1
APO,2020/07/09,1
LHX,2020/07/09,1
AY,2020/07/09,1
HASI,2020/07/09,1
GLAD,2020/07/09,1
MPW,2020/07/09,1
AXS,2020/07/09,1
FXI,2020/07/09,1
LMT,2020/07/09,1
ARCC,2020/07/09,1
RMD,2020/07/09,1
TRIP,2020/07/07,1
GDXJ,2020/07/07,1
DLS,2020/07/07,1
TGT,2020/07/06,1
SPOT,2020/07/02,1
MA,2020/07/02,1
BAM,2020/06/29,1
VMC,2020/06/04,1
BERY,2020/06/02,1
PRJAX,2020/05/21,1
UBER,2020/05/11,1
BRY,2020/05/07,1
BLL,2020/05/07,1
DPZ,2020/05/05,1
MCD,2020/05/05,1
QSR,2020/05/05,1
TEL,2020/04/24,1
NSC,2020/04/16,1
PM,2020/04/16,1
LLY,2020/04/16,1
SO,2020/04/16,1
URI,2020/04/16,1
SOJA,2020/04/16,1
TFC,2020/04/16,1
HD,2020/04/16,1
AMLP,2020/04/16,1
FRIAX,2020/04/16,1
CAIFX,2020/04/16,1
VOO,2020/04/16,1
VEA,2020/04/16,1
IDV,2020/04/16,1
MPLX,2020/04/15,1
TCP,2020/04/15,1
UTX,2020/04/14,1
PNQI,2020/04/14,1
EAF,2020/04/14,1
MSM,2020/04/14,1
UN,2020/04/14,1
NWS,2020/04/14,1
HUN,2020/04/14,1
BKNG,2020/04/14,1
FHB,2020/04/14,1
SU,2020/04/14,1
M,2020/04/14,1
HCA,2020/04/14,1
UHAL,2020/04/14,1
RL,2020/04/14,1
BOIVF,2020/04/14,1
ACA,2020/04/14,1
FOX,2020/04/14,1
BK,2020/04/14,1
ANTM,2020/04/14,1
BX,2020/04/14,1
NWSA,2020/04/14,1
TEX,2020/04/13,1
VTR,2020/04/07,1
IPHI,2020/04/07,1
HELE,2020/04/07,1
ABT,2020/04/07,1
GLNCY,2020/04/07,1
NNVC,2020/04/07,1
PGR,2020/04/07,1
UL,2020/04/07,1
WDC,2020/04/07,1
KEY,2020/04/07,1
JD,2020/04/07,1
DOCU,2020/04/07,1
SAP,2020/04/07,1
CTXS,2020/04/07,1
AGCO,2020/04/07,1
CEQP,2020/04/07,1
GRUB,2020/04/06,1
NVO,2020/04/02,1
FITB,2020/04/02,1
HPQ,2020/04/02,1
KNX,2020/04/02,1
CFG,2020/04/02,1
MET,2020/04/02,1
PKG,2020/04/02,1
IWD,2020/04/02,1
DRI,2020/04/02,1
IWN,2020/04/02,1
BOTZ,2020/04/02,1
FPL,2020/04/02,1
OAYIX,2020/04/02,1
IAT,2020/04/02,1
QTEC,2020/04/02,1
CIBR,2020/04/02,1
GEM,2020/04/02,1
VOD,2020/03/24,1
DXCM,2020/03/17,1
TDG,2020/03/17,1
SIEGY,2020/03/11,1
CGNX,2020/03/11,1
ILMN,2020/03/11,1
VWO,2020/03/10,1
LULU,2020/03/03,1
ROST,2020/03/03,1
IR,2020/02/29,1
CME,2020/02/28,1
WCMIX,2020/02/27,1
FIS,2020/02/27,1
AZO,2020/02/26,1
DLR,2020/02/13,1
EEFT,2020/02/12,1
FNKO,2020/02/12,1
ORLY,2020/02/11,1
ROKU,2020/02/07,1
KL,2020/02/06,1
BMEZ,2020/01/29,1
REZI,2020/01/28,1
BFAM,2020/01/13,1
KSS,2020/01/13,1
VFIJX,2019/12/31,1
BIV,2019/12/31,1
GTX,2019/12/23,1
TGBAX,2019/12/23,1
IP,2019/12/12,1
PPL,2019/12/10,1
IVZ,2019/11/05,1
EXC,2019/11/04,1
TWO,2019/11/04,1
TSM,2019/11/04,1
KTB,2019/10/17,1
AKAM,2019/08/20,1
CVET,2019/08/15,1
ABB,2019/07/18,1
MALOX,2019/07/18,1
IWF,2019/07/17,1
VPMAX,2019/07/17,1
TSCIX,2019/07/17,1
GTCSX,2019/07/17,1
SMG,2019/07/16,1
HBAN,2019/06/10,1
RDSA.AS,2019/06/10,1
INFY,2019/05/29,1
AVP,2019/05/23,1
WEX,2019/05/21,1
RHT,2019/05/17,1
GDV,2019/05/17,1
BIF,2019/05/17,1
VGR,2019/05/02,1
LH,2019/04/26,1
KDP,2019/04/25,1
SHW,2019/04/25,1
TOT,2019/04/25,1
CLR,2019/04/16,1
APC,2019/04/15,1
FCNTX,2019/03/22,1
FLMVX,2019/03/22,1
PRNHX,2019/03/22,1
AAGIY,2019/03/11,1
EADSY,2019/03/11,1
AHKSY,2019/03/11,1
AZN,2019/03/11,1
ASML,2019/03/11,1
CABGY,2019/03/11,1
CCI,2019/03/11,1
DE,2019/03/11,1
ESLOY,2019/03/11,1
GDDY,2019/03/11,1
HLT,2019/03/11,1
SAFRY,2019/03/11,1
KYCCF,2019/03/11,1
LVS,2019/03/11,1
MCO,2019/03/11,1
NPSNY,2019/03/11,1
MRAAY,2019/03/11,1
LRLCY,2019/03/11,1
PDRDY,2019/03/11,1
RBGLY,2019/03/11,1
SRE,2019/03/11,1
SFTBY,2019/03/11,1
HOLX,2019/02/28,1
WGP,2019/02/27,1
LYB,2019/02/27,1
ZAYO,2019/02/20,1
CHTR,2019/02/19,1
EDIT,2019/02/04,1
VRTX,2019/02/04,1
ANCX,2019/02/01,1
TNTOF,2019/01/31,1
AX,2019/01/28,1
PPG,2019/01/25,1
KMX,2019/01/16,1
MKC,2019/01/10,1
APTV,2018/12/27,1
BUD,2018/12/27,1
TAP,2018/12/27,1
GFAFX,2018/12/21,1
NEE,2018/12/21,1
CFR,2018/12/21,1
LIN,2018/12/21,1
VLP,2018/12/20,1
XPO,2018/12/13,1
FRT,2018/12/07,1
NVS,2018/12/07,1
BRKB,2018/12/06,1
UNP,2018/12/04,1
AET,2018/11/29,1
SHECY,2018/11/13,1
INCY,2018/11/12,1
AON,2018/10/31,1
BBT,2018/10/31,1
MSTY.PA,2018/10/30,1
LEA,2018/10/08,1
ON,2018/09/28,1
WAB,2018/09/27,1
TBT,2018/09/25,1
CAPL,2018/08/22,1
WPZ,2018/08/10,1
WBA,2018/08/07,1
UNFI,2018/07/27,1
IIN,2018/07/26,1
ST,2018/06/28,1
TWX,2018/06/15,1
BTO,2018/06/13,1
BNPQY,2018/05/18,1
RCL,2018/05/17,1
COHR,2018/05/03,1
CHKP,2018/04/26,1
AL,2018/04/24,1
CHK,2018/04/24,1
CLB,2018/04/24,1
RHHBY,2018/04/24,1
IYE,2018/04/24,1
MS,2018/04/24,1
VGK,2018/04/24,1
ACN,2018/04/24,1
BDX,2018/04/24,1
EV,2018/04/24,1
ES,2018/04/24,1
FDS,2018/04/24,1
GD,2018/04/24,1
HRS,2018/04/24,1
IBM.MX,2018/04/24,1
PAYX,2018/04/24,1
WEC,2018/04/24,1
GWW,2018/04/23,1
DUK,2018/04/17,1
WPC,2018/04/03,1
FANUY,2018/03/28,1
IYT,2018/03/09,1
RYT,2018/03/09,1
CERN,2018/02/27,1
AYI,2018/01/31,1
TSCO,2018/01/31,1
IHE,2018/01/31,1
HXL,2018/01/26,1
RYAAY,2018/01/26,1
JETS,2018/01/24,1
HACK,2018/01/11,1
ENTL,2018/01/05,1
OFC,2018/01/05,1
RDS-A,2018/01/04,1
BBL,2017/12/21,1
SSDOY,2017/12/19,1
SGAPY,2017/12/19,1
CHRW,2017/12/15,1
RGC,2017/12/08,1
VSM,2017/11/16,1
MAT,2017/11/13,1
PCLN,2017/11/13,1
RSPP,2017/11/13,1
XON,2017/11/10,1
HALO,2017/11/06,1
TMUS,2017/11/01,1
SOUHY,2017/11/01,1
LVLT,2017/11/01,1
ZIOP,2017/10/18,1
CC,2017/10/10,1
SJM,2017/10/06,1
NGG,2017/09/21,1
MCK,2017/09/20,1
BIDU,2017/09/09,1
JKHY,2017/09/08,1
NPSND,2017/09/08,1
SMECF,2017/09/08,1
VTKLY,2017/09/08,1
AXAHY,2017/09/05,1
BASFY,2017/09/05,1
CMPGY,2017/09/05,1
LVMUY,2017/09/05,1
TD,2017/09/05,1
DD-PA,2017/09/01,1
RHI,2017/08/31,1
NPK,2017/08/31,1
HRL,2017/08/31,1
FE,2017/08/31,1
DVMT,2017/08/23,1
BHF,2017/08/23,1
SCG,2017/08/22,1
FLR,2017/08/04,1
PHLD,2017/08/03,1
DPS,2017/07/26,1
PEY,2017/07/25,1
ZNGA.SW,2017/07/14,1
MCC,2017/06/27,1
NFX,2017/06/26,1
DLPH,2017/06/15,1
APA,2017/06/15,1
BGS,2017/06/15,1
CMA,2017/06/15,1
ETR,2017/06/15,1
GSK,2017/06/15,1
KAR,2017/06/15,1
MTB,2017/06/15,1
MDC,2017/06/15,1
MXIM,2017/06/15,1
PDM,2017/06/15,1
RAI,2017/06/15,1
SABR,2017/06/15,1
SNY,2017/06/15,1
STI,2017/06/15,1
TEVA,2017/06/15,1
TUP,2017/06/15,1
WRK,2017/06/15,1
SPG,2017/06/05,1
VEVIX,2017/05/25,1
BIVV,2017/05/24,1
BCR,2017/05/12,1
MMC,2017/05/10,1
POT,2017/05/09,1
PTEN,2017/04/20,1
AGU,2017/04/04,1
TLLP,2017/03/24,1
