official,transaction_date,number_of_transactions
"Sessions, Pete",2021/05/04,5
"Malinowski, Tom",2021/02/23,5
"Scott, Austin",2020/12/23,5
"Pallone, Frank",2020/09/25,5
"Banks, James E.",2020/09/01,5
"Perlmutter, Ed",2020/06/10,5
"Blumenauer, Earl",2020/03/26,5
"Taylor, Nicholas V.",2020/03/17,5
"Castor, Kathy",2020/03/10,5
"Rice, Tom",2020/02/24,5
"Gibbs, Bob",2020/01/08,5
"Garbarino, Andrew",2021/10/01,4
"Foxx, Virginia",2021/08/09,4
"Mast, Brian",2021/03/04,4
"Dunn, Neal P.",2020/12/15,4
"Holding, George",2020/10/22,4
"Schultz, Debbie W.",2020/10/13,4
"King Jr., Angus S.",2020/08/18,4
"Garcia, Mike",2020/06/03,4
"Marshall, Roger W.",2020/05/04,4
"Kinzinger, Adam",2020/04/20,4
"Sullivan, Daniel S.",2019/07/17,4
"Joyce, David P.",2019/03/04,4
"Sanchez, Linda T.",2019/02/22,4
"Smith, Tina",2018/08/30,4
"Peters, Gary C.",2015/09/16,4
"Cantwell, Maria E.",2014/06/06,4
"Burgess, Michael C.",2021/12/02,3
"McEachin, Aston D.",2021/11/24,3
"Hickenlooper, John W.",2021/11/01,3
"Connolly, Gerald E.",2021/08/25,3
"Case, Ed",2021/05/03,3
"Crenshaw, Daniel",2021/03/05,3
"Dingell, Debbie",2020/08/20,3
"Schneider, Bradley S.",2020/08/12,3
"Bustos, Cheri",2020/04/06,3
"Price, David E.",2020/03/13,3
"Duckworth, Ladda T.",2018/08/07,3
"Doggett, Lloyd",2021/12/10,2
"Kustoff, David",2021/11/26,2
"Rouzer, David C.",2021/11/15,2
"Hollingsworth, Trey",2021/05/25,2
"Luria, Elaine",2021/03/22,2
"Higgins, Brian",2020/09/04,2
"Gonzalez, Anthony E.",2020/09/01,2
"DelBene, Suzan K.",2020/07/28,2
"Bilirakis, Gus M.",2020/07/24,2
"Graves, Garret",2020/06/29,2
"Rouda, Harley E.",2020/06/02,2
"Amash, Justin",2020/03/18,2
"Comer, James",2020/02/24,2
"Guest, Michael P.",2020/02/21,2
"Smucker, Lloyd K.",2019/10/14,2
"McConnell Jr., A. M.",2019/06/03,2
"Warner, Mark R.",2019/02/19,2
"Coons, Christopher A.",2018/10/24,2
"Cruz, Rafael E.",2016/02/25,2
"Cardin, Benjamin L.",2014/11/17,2
"Carter, Earl L.",2021/12/28,1
"Grijalva, Raúl M.",2021/12/17,1
"Kelly, Mike",2021/10/22,1
"Lummis, Cynthia M.",2021/09/03,1
"Schiff, Adam B.",2021/07/23,1
"Waltz, Michael",2021/06/16,1
"Spartz, Victoria",2021/05/12,1
"Moore, Felix B.",2021/05/11,1
"Steube, William G.",2021/02/06,1
"Jeffries, Hakeem S.",2020/11/25,1
"Rosen, Jacklyn S.",2020/11/17,1
"Matsui, Doris O.",2020/09/04,1
"Peters, Scott H.",2020/07/29,1
"Clay Jr., William L.",2020/07/21,1
"Chabot, Steve",2020/05/08,1
"O'Halleran, Tom",2020/03/31,1
"Visclosky, Peter J.",2020/03/18,1
"Trone, David",2020/03/04,1
"Kennedy, Joseph P.",2020/01/06,1
"Pascrell, Bill",2019/12/30,1
"Gaetz, Matt",2019/12/19,1
"Blunt, Roy D.",2019/11/26,1
"Wicker, Roger F.",2019/05/17,1
"Udall, Thomas S.",2018/12/18,1
"Bennet, Michael F.",2017/11/01,1
"Cornyn, John",2015/08/21,1
"Kaine, Timothy M.",2014/12/03,1
