ticker,transaction_date,number_of_transactions
WST,2015/02/13,1
WAL,2015/02/13,1
VLO,2015/02/12,1
ABT,2015/02/12,1
ITW,2015/02/12,1
WOOF,2015/02/10,1
AAN,2015/02/06,1
NICE,2015/02/05,1
DVN,2015/02/05,1
PAGP,2015/02/03,1
XLV,2015/01/30,1
XLU,2015/01/30,1
ZTS,2015/01/30,1
SPY,2015/01/30,1
XLI,2015/01/28,1
IWD,2015/01/28,1
MDT,2015/01/27,1
HBI,2015/01/26,1
BCR,2015/01/22,1
NOG,2015/01/16,1
BPL,2015/01/15,1
AR,2015/01/14,1
KLXI,2015/01/14,1
MTD,2015/01/13,1
ADP,2015/01/13,1
AM,2015/01/07,1
COH,2015/01/06,1
PCY,2015/01/05,1
SHY,2015/01/05,1
TCS,2015/01/02,1
ESV,2014/12/18,1
HYH,2014/12/18,1
TJX,2014/12/18,1
KEYS,2014/12/18,1
TOLLX,2014/12/15,1
WASCX,2014/12/11,1
MIK,2014/12/11,1
MDDVX,2014/12/10,1
BTF,2014/11/26,1
PCAR,2014/11/25,1
OLN,2014/11/17,1
NGG,2014/11/17,1
MET,2014/11/17,1
CEA,2014/11/13,1
PRU,2014/11/13,1
T,2014/11/13,1
PNQI,2014/11/11,1
MDLZ,2014/11/11,1
APH,2014/11/10,1
PCP,2014/11/10,1
TFX,2014/11/10,1
MFCDX,2014/11/10,1
RYN,2014/11/10,1
ALL,2014/11/10,1
TXN,2014/11/10,1
XOM,2014/11/10,1
DD,2014/11/10,1
INTC,2014/11/10,1
BABA,2014/11/10,1
ZNGA,2014/11/07,1
CSCO,2014/10/29,1
COF-PP,2014/10/20,1
CMI,2014/10/20,1
COF,2014/10/15,1
TRIP,2014/10/07,1
A,2014/10/02,1
QQQ,2014/10/02,1
CDK,2014/10/01,1
ISIS,2014/09/18,1
TU,2014/09/18,1
VZ,2014/09/18,1
FEYE,2014/09/09,1
RSP,2014/09/04,1
IJH,2014/09/04,1
APA,2014/09/04,1
EPP,2014/09/02,1
ILF,2014/09/02,1
DWX,2014/09/02,1
SDY,2014/09/02,1
IXP,2014/09/02,1
NXPI,2014/09/02,1
IDV,2014/09/02,1
ESS,2014/08/27,1
COST,2014/08/26,1
YUM,2014/08/25,1
