ticker,transaction_date,number_of_transactions
ETC-USD,2021/05/20,1
CO,2021/05/19,1
ICLR,2021/05/18,1
VUZI,2021/05/18,1
LUV,2021/05/18,1
LDNXF,2021/05/17,1
ALK,2021/05/17,1
VUL.V,2021/05/17,1
NULV,2021/05/17,1
CFJIX,2021/05/17,1
MMP,2021/05/14,1
GOOC.VI,2021/05/14,1
ICSH,2021/05/12,1
BAT-USD,2021/05/12,1
CELO-USD,2021/05/12,1
XLM-USD,2021/05/12,1
FVRR,2021/05/11,1
CTVA,2021/05/11,1
IR,2021/05/11,1
DOGE-USD,2021/05/11,1
HNST,2021/05/11,1
GLP,2021/05/07,1
LL,2021/05/07,1
FNV,2021/05/06,1
ILMN,2021/05/06,1
NDAQ,2021/05/06,1
USAC,2021/05/05,1
ALB,2021/05/04,1
ENBL,2021/05/03,1
IVW,2021/05/03,1
STXAX,2021/05/03,1
LINK-USD,2021/04/28,1
JOE,2021/04/27,1
BRP,2021/04/27,1
LTD,2021/04/26,1
TAP,2021/04/26,1
SAIC,2021/04/26,1
TDC,2021/04/26,1
CARG,2021/04/23,1
YTRA,2021/04/23,1
GSS,2021/04/23,1
ORMP,2021/04/23,1
VMN,2021/04/23,1
FTV,2021/04/23,1
EWU,2021/04/22,1
SLYG,2021/04/22,1
VNQ,2021/04/22,1
MRVL,2021/04/21,1
GFN,2021/04/20,1
PCRX,2021/04/20,1
PTON,2021/04/19,1
VEA,2021/04/19,1
EMKR,2021/04/19,1
BBGLX,2021/04/19,1
BOWX,2021/04/16,1
O,2021/04/15,1
GS,2021/04/14,1
BPMP,2021/04/14,1
SFY,2021/04/14,1
TFDXX,2021/04/14,1
EOS-USD,2021/04/13,1
ETH-USD,2021/04/13,1
SCHD,2021/04/12,1
TGNA,2021/04/12,1
HHC,2021/04/09,1
AFL,2021/04/09,1
AZN,2021/04/09,1
AVB,2021/04/09,1
AGR,2021/04/09,1
BLKB,2021/04/09,1
CREE,2021/04/09,1
FSLR,2021/04/09,1
GILD,2021/04/09,1
HXL,2021/04/09,1
IFF,2021/04/09,1
IPG,2021/04/09,1
JLL,2021/04/09,1
LW,2021/04/09,1
LHCG,2021/04/09,1
LIN,2021/04/09,1
LPLA,2021/04/09,1
MKC,2021/04/09,1
OMCL,2021/04/09,1
ORA,2021/04/09,1
DGX,2021/04/09,1
RGA,2021/04/09,1
SYK,2021/04/09,1
TTEK,2021/04/09,1
TSCO,2021/04/09,1
VFC,2021/04/09,1
VZ,2021/04/09,1
GPRO,2021/04/09,1
SPOT,2021/04/09,1
CMLTU,2021/04/09,1
UFPI,2021/04/09,1
CWEN.A,2021/04/08,1
UA,2021/04/05,1
LPRO,2021/04/05,1
TER,2021/04/01,1
LMND,2021/04/01,1
HOFV,2021/04/01,1
ETWO.W,2021/04/01,1
FNF,2021/03/31,1
FUND,2021/03/31,1
STLA,2021/03/31,1
STZ,2021/03/31,1
GTN,2021/03/31,1
HRTX,2021/03/31,1
MCS,2021/03/31,1
QCHR,2021/03/31,1
SHAK,2021/03/31,1
ZNGA,2021/03/30,1
ORLY,2021/03/30,1
LARCX,2021/03/30,1
TXN,2021/03/29,1
WB2.SG,2021/03/29,1
SMHLX,2021/03/29,1
