sector,transaction_date,number_of_transactions
BOWX,2021/04/16,1
VPU,2021/04/15,1
FCX,2021/04/14,1
BPMP,2021/04/14,1
SFY,2021/04/14,1
TFDXX,2021/04/14,1
NUAN,2021/04/13,1
GAN,2021/04/13,1
TRIT,2021/04/13,1
EOS-USD,2021/04/13,1
ETH-USD,2021/04/13,1
SCHD,2021/04/12,1
TGNA,2021/04/12,1
HHC,2021/04/09,1
AVB,2021/04/09,1
AGR,2021/04/09,1
BLKB,2021/04/09,1
CREE,2021/04/09,1
FSLR,2021/04/09,1
IFF,2021/04/09,1
IPG,2021/04/09,1
JLL,2021/04/09,1
LHCG,2021/04/09,1
LPLA,2021/04/09,1
ORA,2021/04/09,1
RGA,2021/04/09,1
TTEK,2021/04/09,1
CMLTU,2021/04/09,1
UFPI,2021/04/09,1
CWEN.A,2021/04/08,1
STZ,2021/04/06,1
CWEN,2021/04/05,1
ITW,2021/04/05,1
LPRO,2021/04/05,1
MTCH,2021/04/01,1
HOFV,2021/04/01,1
ETWO.W,2021/04/01,1
FUND,2021/03/31,1
STLA,2021/03/31,1
GTN,2021/03/31,1
HRTX,2021/03/31,1
MCS,2021/03/31,1
QCHR,2021/03/31,1
SHAK,2021/03/31,1
LARCX,2021/03/30,1
ALGN,2021/03/29,1
WST,2021/03/29,1
WAT,2021/03/29,1
VMW,2021/03/29,1
TER,2021/03/29,1
SNA,2021/03/29,1
SIVB,2021/03/29,1
SWKS,2021/03/29,1
SEIC,2021/03/29,1
ROK,2021/03/29,1
REGN,2021/03/29,1
ODFL,2021/03/29,1
NDSN,2021/03/29,1
NTES,2021/03/29,1
IDXX,2021/03/29,1
IEX,2021/03/29,1
HSY,2021/03/29,1
GGG,2021/03/29,1
GNTX,2021/03/29,1
FTNT,2021/03/29,1
EA,2021/03/29,1
EBAY,2021/03/29,1
EW,2021/03/29,1
CNR,2021/03/29,1
CL,2021/03/29,1
CE,2021/03/29,1
BIO,2021/03/29,1
WB2.SG,2021/03/29,1
SMHLX,2021/03/29,1
QRTEP,2021/03/26,1
SBAC,2021/03/26,1
GDRX,2021/03/25,1
DESY,2021/03/25,1
IWR,2021/03/25,1
GSOSX,2021/03/25,1
BBCBX,2021/03/25,1
BBVLX,2021/03/25,1
BBVSX,2021/03/25,1
NI,2021/03/19,1
SON,2021/03/17,1
ADSK,2021/03/17,1
AWI,2021/03/17,1
BJ,2021/03/17,1
HES,2021/03/16,1
INFO,2021/03/16,1
ACST,2021/03/16,1
CTRM,2021/03/16,1
CELO,2021/03/16,1
BRHYX,2021/03/16,1
BBTBX,2021/03/16,1
VEU,2021/03/16,1
SPDR,2021/03/16,1
COLD,2021/03/15,1
QDEL,2021/03/14,1
EVBG,2021/03/12,1
LBRDK,2021/03/12,1
HS,2021/03/12,1
ADP,2021/03/11,1
VVNT,2021/03/11,1
SNV,2021/03/09,1
POOL,2021/03/08,1
JQC,2021/03/08,1
CFJAX,2021/03/08,1
RPM,2021/03/05,1
ESTC,2021/03/05,1
CMLFU,2021/03/05,1
BALY,2021/03/05,1
VOX,2021/03/05,1
AI,2021/03/04,1
MGY,2021/03/04,1
AMTX,2021/03/04,1
PAHC,2021/03/04,1
GHC,2021/03/04,1
UBSI,2021/03/03,1
CDNA,2021/03/02,1
DASH,2021/03/02,1
NSIT,2021/03/02,1
FCN,2021/03/02,1
HUM,2021/03/01,1
ABC,2021/03/01,1
STX,2021/02/26,1
OCFC,2021/02/26,1
SLAB,2021/02/26,1
WLTL,2021/02/26,1
SNN,2021/02/26,1
35G.SG,2021/02/26,1
WLTW,2021/02/26,1
FIVN,2021/02/26,1
MDB,2021/02/25,1
TYL,2021/02/25,1
EQUIX,2021/02/25,1
HUBS,2021/02/24,1
TWLO,2021/02/24,1
EBS,2021/02/23,1
CHGG,2021/02/23,1
BAESY,2021/02/23,1
CMCAS,2021/02/23,1
EVGB,2021/02/23,1
VIVO,2021/02/23,1
OSUR,2021/02/23,1
WSC,2021/02/22,1
BXS$A,2021/02/22,1
DGNR,2021/02/18,1
AB,2021/02/18,1
APHA,2021/02/18,1
TPCO,2021/02/18,1
ADDDYY,2021/02/17,1
ALC,2021/02/17,1
ALFVY,2021/02/17,1
ABEV,2021/02/17,1
ATLKY,2021/02/17,1
BBVA,2021/02/17,1
CNI,2021/02/17,1
CHGCY,2021/02/17,1
DBSDY,2021/02/17,1
FMX,2021/02/17,1
FUPBY,2021/02/17,1
HDB,2021/02/17,1
IBN,2021/02/17,1
ITUB,2021/02/17,1
KMTUY,2021/02/17,1
KUBTY,2021/02/17,1
AIQUY,2021/02/17,1
LZAGY,2021/02/17,1
LUKOY,2021/02/17,1
NVZMY,2021/02/17,1
RDS.B,2021/02/17,1
SBGSY,2021/02/17,1
SGSOY,2021/02/17,1
SONVY,2021/02/17,1
SYIEY,2021/02/17,1
SSMXY,2021/02/17,1
UNICY,2021/02/17,1
YNDX,2021/02/17,1
BL,2021/02/17,1
ACHC,2021/02/16,1
ADS,2021/02/16,1
ATH,2021/02/16,1
CDNS,2021/02/16,1
XEC,2021/02/16,1
CMS,2021/02/16,1
CLGX,2021/02/16,1
CCK,2021/02/16,1
DXC,2021/02/16,1
EMN,2021/02/16,1
EHC,2021/02/16,1
EQIX,2021/02/16,1
EXPE,2021/02/16,1
BEN,2021/02/16,1
GLPI,2021/02/16,1
HRC,2021/02/16,1
IDXXX,2021/02/16,1
JBL,2021/02/16,1
KKR,2021/02/16,1
MSI,2021/02/16,1
NYT,2021/02/16,1
NEM,2021/02/16,1
NVR,2021/02/16,1
OKTA,2021/02/16,1
OMF,2021/02/16,1
PH,2021/02/16,1
PNC,2021/02/16,1
SC,2021/02/16,1
TRU,2021/02/16,1
WYND,2021/02/16,1
ZG,2021/02/16,1
ABNB,2021/02/16,1
SAM,2021/02/16,1
MELI,2021/02/16,1
TPR,2021/02/16,1
ERJ,2021/02/16,1
AOSL,2021/02/16,1
URGO,2021/02/16,1
CARG,2021/02/12,1
