ticker,transaction_date,number_of_transactions
SPY160219P00180000,2016/01/19,2
UA,2016/01/06,2
LRCX,2015/12/22,2
CVC,2015/08/05,2
BIIB,2015/08/04,2
LQDT,2015/07/28,2
PKI,2015/07/17,2
LSCC,2015/06/04,2
TBF,2015/05/04,2
ETE,2015/03/13,2
KMB,2015/02/20,2
ETN,2015/01/14,2
AAN,2015/01/08,2
KORS,2014/12/18,2
TOLLX,2014/12/15,2
PCAR,2014/11/25,2
ACT,2014/05/22,2
NEO,2021/12/30,1
RNR,2021/12/28,1
RHP,2021/12/23,1
BBH,2021/12/22,1
PII,2021/12/21,1
CI,2021/12/21,1
BK,2021/12/21,1
XP,2021/12/21,1
ASXC,2021/12/20,1
CBOE,2021/12/17,1
LCGFX,2021/12/17,1
PENN,2021/12/16,1
PAGS,2021/12/16,1
YACKX,2021/12/16,1
AAPl,2021/12/14,1
RIVN,2021/12/14,1
AZTA,2021/12/03,1
BCPC,2021/12/02,1
SKY,2021/12/02,1
ORCC,2021/11/30,1
PWR,2021/11/26,1
BXMT,2021/11/26,1
KPLTW,2021/11/24,1
HSHCY,2021/11/24,1
EFX,2021/11/19,1
CG,2021/11/18,1
KUBTY,2021/11/18,1
QS,2021/11/15,1
MKTX,2021/11/12,1
DDOG,2021/11/08,1
BUI,2021/11/08,1
EBS,2021/11/05,1
TEX,2021/11/04,1
BEP,2021/10/28,1
SCU,2021/10/26,1
EMXC,2021/10/25,1
SKIN,2021/10/22,1
DANOY,2021/10/15,1
AFRM,2021/10/13,1
PYCR,2021/10/13,1
LRNZ,2021/10/06,1
FNV,2021/10/04,1
FSK,2021/10/04,1
SLVM,2021/10/01,1
ORMP,2021/10/01,1
ODFL,2021/09/30,1
NNN,2021/09/30,1
CRL,2021/09/30,1
NS,2021/09/27,1
UHG,2021/09/27,1
SYNH,2021/09/24,1
BAFWX,2021/09/22,1
SLV,2021/09/22,1
CIBR,2021/09/20,1
MGM,2021/09/17,1
FSKAX,2021/09/17,1
NTDOY,2021/09/15,1
AVYA,2021/09/14,1
BSIXX,2021/09/14,1
NULC,2021/09/07,1
APCD,2021/08/23,1
RLGY,2021/08/17,1
LZ,2021/08/13,1
NHI,2021/08/09,1
ESGC,2021/08/05,1
GXO,2021/08/04,1
SAM,2021/07/27,1
WORK,2021/07/22,1
PTC,2021/07/21,1
PINS,2021/07/13,1
KPLT,2021/07/08,1
CCK,2021/07/07,1
DIAL,2021/07/07,1
RGLD,2021/07/02,1
FDRXX,2021/07/02,1
LOPE,2021/07/01,1
ADP,2021/06/30,1
CDEV,2021/06/29,1
SITE,2021/06/24,1
BHI,2021/06/23,1
STOR,2021/06/23,1
LTD,2021/06/23,1
CWK,2021/06/23,1
VICI,2021/06/23,1
LCRX,2021/06/22,1
ARKK,2021/06/18,1
TTEK,2021/06/17,1
NRG,2021/06/16,1
BTC-USD,2021/06/16,1
LPLA,2021/06/15,1
NVVE,2021/06/14,1
LDOS,2021/06/10,1
PXD,2021/06/09,1
HEI,2021/06/04,1
SONY,2021/06/04,1
TPCO,2021/05/27,1
STM,2021/05/25,1
FCX,2021/05/24,1
LINK-USD,2021/05/21,1
ETC-USD,2021/05/21,1
BOWX,2021/05/20,1
APPAD,2021/05/18,1
PBF,2021/05/12,1
ADA-USD,2021/05/11,1
TTD,2021/05/10,1
LL,2021/05/07,1
HAE,2021/05/07,1
AI,2021/05/07,1
PCRX,2021/05/06,1
ETH-USD,2021/05/05,1
BRP,2021/04/27,1
CARG,2021/04/23,1
XNGSY,2021/04/23,1
SEA,2021/04/23,1
IGLB,2021/04/22,1
SPYV,2021/04/22,1
SPYG,2021/04/22,1
CSX,2021/04/21,1
MRVL,2021/04/21,1
GFN,2021/04/21,1
VEA,2021/04/19,1
TGNA,2021/04/16,1
O,2021/04/15,1
CSPCY,2021/04/13,1
XLM-USD,2021/04/13,1
TFDXX,2021/04/13,1
HHC,2021/04/12,1
MKC,2021/04/09,1
OMCL,2021/04/09,1
PAYC,2021/04/09,1
NYT,2021/04/09,1
EA,2021/04/05,1
FSKR,2021/04/02,1
TER,2021/04/01,1
DOGE-USD,2021/04/01,1
FUND,2021/03/31,1
MGY,2021/03/31,1
INTU,2021/03/29,1
WAL,2021/03/29,1
DECK,2021/03/29,1
CLX,2021/03/29,1
CHE,2021/03/29,1
BHP,2021/03/29,1
ATHM,2021/03/29,1
AME,2021/03/29,1
IEX,2021/03/29,1
WB2.SG,2021/03/29,1
RSG,2021/03/25,1
BBTBX,2021/03/25,1
KAI,2021/03/18,1
AWI,2021/03/17,1
SON,2021/03/16,1
MDB,2021/03/16,1
TWLO,2021/03/16,1
HES,2021/03/15,1
ETSY,2021/03/15,1
REGL,2021/03/15,1
ENPH,2021/03/15,1
BOH,2021/03/15,1
LBRDK,2021/03/12,1
HS,2021/03/12,1
DASH,2021/03/11,1
PLT,2021/03/08,1
CMLFU,2021/03/08,1
SBAC,2021/03/05,1
ADDYY,2021/03/05,1
PAHC,2021/03/04,1
GHC,2021/03/04,1
QDEL,2021/03/03,1
RDS.A,2021/03/02,1
NSIT,2021/03/02,1
FCN,2021/03/02,1
NCLH,2021/03/01,1
BPMP,2021/03/01,1
ABC,2021/03/01,1
FVRR,2021/02/26,1
PFPT,2021/02/26,1
SNN,2021/02/26,1
35G.SG,2021/02/26,1
ESTC,2021/02/25,1
OLLI,2021/02/25,1
BALY,2021/02/25,1
HPP,2021/02/25,1
CREE,2021/02/23,1
AB,2021/02/23,1
POOL,2021/02/23,1
AEIS,2021/02/23,1
ILPT,2021/02/18,1
AQUA,2021/02/18,1
URGO,2021/02/18,1
SHOP,2021/02/17,1
RIO,2021/02/17,1
AAGIY,2021/02/17,1
DASTY,2021/02/17,1
PNGAY,2021/02/17,1
SGIOY,2021/02/17,1
ERJ,2021/02/17,1
CHGG,2021/02/17,1
CTAA,2021/02/16,1
CTAS,2021/02/16,1
SIVB,2021/02/16,1
ROK,2021/02/16,1
SNPS,2021/02/16,1
AL,2021/02/16,1
AWK,2021/02/16,1
NUE,2021/02/16,1
FANG,2021/02/16,1
AMD,2021/02/16,1
UNVR,2021/02/16,1
FIMKX,2021/02/12,1
GRUB,2021/02/12,1
CGC,2021/02/12,1
PAIDX,2021/02/11,1
VFC.VI,2021/02/11,1
OWLSX,2021/02/09,1
CLNE,2021/02/08,1
WSC,2021/02/08,1
SNV,2021/02/06,1
ALLY,2021/02/05,1
NULG,2021/02/05,1
ESGU,2021/02/05,1
CFJIX,2021/02/05,1
BIAWX,2021/02/04,1
LUKOY,2021/02/04,1
BRX,2021/02/02,1
LUMN,2021/01/29,1
MAT,2021/01/28,1
ALIZY,2021/01/28,1
