transaction_date	house	senate	input
2021/06/13	1		1
2014/07/28		6	6
2015/11/06		1	1
2015/11/20		4	4
2020/10/06	7		7
2019/12/20	1	2	3
2019/09/17		4	4
2021/11/11	7		7
2017/11/17		5	5
2015/07/21		7	7
2015/02/20		21	21
2020/12/21	15	6	21
2019/04/25		8	8
2020/05/22	7		7
2018/09/13		4	4
2015/07/30		4	4
2017/02/13		3	3
2014/02/28		3	3
2021/09/16	36		36
2017/08/03		6	6
2015/10/16		2	2
2020/08/24	11	5	16
2019/01/24		1	1
2020/10/12	1		1
2013/06/17		1	1
2019/04/15		6	6
2020/01/29	33	8	41
2019/07/01	3	2	5
2018/12/03		4	4
2019/08/20		1	1
2014/01/06		1	1
2015/03/03		8	8
2014/05/09		4	4
2014/03/25		1	1
2021/02/23	44		44
2017/05/02		3	3
2015/02/23		7	7
2019/10/24	1	1	2
2019/04/26	1	7	8
2018/09/24		4	4
2015/02/09		1	1
2015/11/17		4	4
2019/02/04	1	18	19
2021/02/12	60	7	67
2020/06/03	27	1	28
2019/11/27		1	1
2020/07/24	10		10
2016/11/17		5	5
2016/04/06		1	1
2016/06/28		12	12
2021/06/28	16	1	17
2018/06/15		1	1
2021/08/25	12	1	13
2018/06/26		3	3
2013/06/05		2	2
2015/03/04		3	3
2021/01/25	19	3	22
2014/05/27		1	1
2021/08/23	9	1	10
2018/04/26		6	6
2020/07/10	10		10
2019/12/09	1	5	6
2012/11/13		1	1
2020/12/22	39	6	45
2020/01/23	2	1	3
2019/11/12	2	4	6
2019/03/25	1	5	6
2017/10/16		4	4
2015/06/15		3	3
2013/06/18		1	1
2015/06/04		6	6
2014/11/11		3	3
2018/03/02		1	1
2012/09/27		1	1
2015/07/06		2	2
2014/03/03		2	2
2015/12/07		3	3
2017/06/22		5	5
2021/04/24	1		1
2018/07/27		3	3
2018/07/23		5	5
2017/07/25		5	5
2014/05/01		1	1
2017/06/09		4	4
2013/08/12		1	1
2021/01/21	54	2	56
2015/01/26		2	2
2021/03/22	20	1	21
2019/06/26		6	6
2017/03/07		2	2
2019/09/09	2	2	4
2019/12/24	19	1	20
2017/09/21		4	4
2014/09/18		12	12
2015/02/26		3	3
2021/06/16	17	1	18
2019/09/03	1		1
2020/07/29	12		12
2018/08/08		5	5
2016/04/26		6	6
2012/10/22		1	1
2013/03/15		2	2
2021/01/19	38	1	39
2021/10/29	19	2	21
2016/02/10		4	4
2016/08/24		1	1
2013/01/28		2	2
2020/03/10	32	12	44
2015/03/12		4	4
2018/11/13		6	6
2020/09/04	17	10	27
2016/05/16		4	4
2015/05/11		5	5
2018/04/06		1	1
2019/05/20	13	1	14
2016/05/25		1	1
2021/05/24	5	1	6
2019/07/29	1	1	2
2014/02/18		2	2
2018/10/03		1	1
2017/08/10		10	10
2021/06/23	17	4	21
2018/10/02		5	5
2019/08/12		1	1
2017/05/09		5	5
2016/09/21		3	3
2015/08/11		1	1
2021/06/18	21		21
2021/04/13	21	3	24
2021/12/16	29	2	31
2021/12/05	1		1
2016/10/03		3	3
2021/02/18	26	1	27
2017/10/06		7	7
2013/06/13		1	1
2017/12/13		16	16
2019/01/29	4	4	8
2014/10/30		2	2
2017/06/29		2	2
2019/01/19		1	1
2021/08/30	8	6	14
2020/12/02	7	3	10
2019/01/03		4	4
2016/08/18		7	7
2020/06/22	23		23
2017/12/20		2	2
2018/01/22		1	1
2017/12/14		2	2
2015/02/02		1	1
2014/04/04		2	2
2020/06/25	10	1	11
2014/03/21		1	1
2019/07/19		2	2
2020/01/16	14	1	15
2021/04/05	16	7	23
2021/05/10	7	4	11
2014/07/17		4	4
2021/06/08	17	1	18
2018/05/24		9	9
2015/07/23		3	3
2018/08/27		3	3
2020/08/26	16	3	19
2014/12/18		17	17
2017/08/18		1	1
2021/01/12	36		36
2017/03/08		2	2
2016/05/23		1	1
2019/09/11		1	1
2019/01/17	1	1	2
2019/05/30	4	6	10
2014/08/08		12	12
