scale_of_shares_roundedby5,number_of_transactions
"[60, 910]",4
"[570, 1895]",1
"[905, 3010]",1
"[105, 1540]",1
"[255, 840]",1
"[420, 840]",1
"[120, 1800]",1
"[150, 2260]",1
"[55, 805]",2
"[70, 1045]",6
"[3170, 6340]",1
"[385, 1285]",1
"[20, 325]",29
"[400, 1335]",2
"[2330, 7765]",1
"[50, 785]",5
"[900, 3010]",1
"[125, 1870]",1
"[1180, 3935]",1
"[2575, 8585]",1
"[45, 680]",2
"[210, 700]",3
"[35, 545]",14
"[90, 1380]",2
"[45, 705]",7
"[280, 940]",2
"[470, 945]",1
"[2915, 9710]",1
"[40, 80]",1
"[485, 1615]",1
"[455, 905]",2
"[705, 1405]",1
"[430, 860]",1
"[725, 1450]",1
"[20, 40]",2
"[365, 1225]",3
"[330, 1100]",1
"[375, 1245]",3
"[25, 50]",1
"[510, 1020]",1
"[35, 505]",19
"[65, 1010]",5
"[100, 1520]",1
"[110, 1620]",3
"[65, 1005]",5
"[280, 4175]",1
"[60, 870]",6
"[45, 655]",4
"[100, 1530]",1
"[85, 1300]",2
"[200, 2990]",1
"[55, 860]",1
"[45, 675]",6
"[45, 690]",3
"[65, 985]",3
"[70, 1085]",5
"[135, 270]",1
"[270, 670]",1
"[55, 180]",4
"[85, 285]",9
"[700, 1400]",3
"[35, 120]",1
"[35, 115]",2
"[235, 595]",1
"[1040, 2595]",1
"[930, 3105]",1
"[925, 2310]",1
"[1650, 4120]",1
"[945, 3155]",1
"[3535, 8840]",1
"[2395, 5995]",2
"[415, 1375]",1
"[1385, 3460]",2
"[860, 2150]",1
"[1665, 4165]",1
"[2045, 4090]",1
"[2005, 6690]",1
"[4120, 8240]",2
"[1705, 4265]",1
"[1570, 3925]",1
"[555, 1390]",1
"[1170, 2340]",2
"[385, 1280]",1
"[1375, 2755]",1
"[2050, 4095]",1
"[555, 1855]",1
"[1860, 4650]",1
"[2365, 5915]",1
"[4165, 8325]",1
"[4090, 10220]",1
"[575, 1915]",3
"[360, 1200]",3
"[3070, 6135]",1
"[1005, 2015]",1
"[4165, 10415]",1
"[3140, 7845]",1
"[4380, 8760]",1
"[685, 1710]",1
"[3070, 7675]",1
"[3770, 7540]",1
"[2315, 5790]",1
"[950, 1900]",1
"[2400, 6000]",2
"[810, 2025]",1
"[970, 2430]",2
"[6940, 17350]",1
"[3290, 8225]",1
"[1910, 4775]",1
"[830, 2075]",1
"[2680, 5365]",1
"[3195, 7985]",1
"[885, 2215]",1
"[1125, 2810]",1
"[270, 680]",1
"[970, 2425]",1
"[1185, 2370]",2
"[4460, 11150]",1
"[645, 1615]",1
"[5900, 11795]",1
"[9390, 23470]",1
"[1940, 4855]",1
"[340, 675]",3
"[330, 655]",1
"[245, 495]",1
"[2245, 5610]",1
"[135, 460]",1
"[290, 975]",4
"[825, 1655]",1
"[1900, 4745]",3
"[130, 435]",6
"[185, 2785]",1
"[235, 790]",2
"[1580, 3945]",1
"[410, 1370]",3
"[2745, 6860]",1
"[605, 1505]",1
"[4350, 14505]",1
"[290, 970]",3
"[970, 1940]",3
"[1940, 4850]",1
"[485, 970]",3
"[2730, 6830]",2
"[400, 1325]",2
"[2655, 6635]",1
"[4200, 10505]",2
"[2100, 4200]",1
"[605, 1205]",2
"[1205, 3015]",1
"[305, 1020]",3
"[975, 1950]",2
"[1950, 4875]",1
"[405, 1345]",3
"[120, 405]",3
"[2030, 5080]",1
"[595, 1990]",2
"[140, 470]",3
"[470, 940]",4
"[2350, 4700]",1
"[2115, 4230]",1
"[635, 2115]",3
"[1365, 2725]",1
"[2735, 6840]",1
"[195, 650]",6
"[210, 415]",1
"[320, 1060]",1
"[705, 1765]",1
"[550, 1370]",1
"[325, 815]",1
"[1500, 3000]",1
"[1655, 4135]",1
"[3585, 8960]",1
"[3095, 7740]",1
"[1710, 4270]",1
"[5495, 10995]",1
"[2380, 5950]",1
"[1355, 2705]",1
"[3105, 7765]",1
"[2275, 5690]",1
"[850, 1695]",1
"[2160, 4320]",2
"[3030, 7580]",1
"[2265, 5665]",1
"[2975, 5950]",1
"[460, 1530]",1
"[335, 1120]",2
"[1475, 2945]",1
"[2110, 4215]",1
"[1375, 3445]",1
"[2780, 6955]",1
"[155, 310]",1
"[1260, 2520]",2
"[1865, 3730]",1
"[335, 1110]",1
"[2780, 5560]",1
"[740, 1485]",1
"[940, 1885]",1
"[120, 1790]",1
"[515, 1725]",1
"[525, 1745]",1
"[45, 695]",11
"[50, 745]",10
"[470, 1560]",2
"[95, 1410]",3
"[95, 1425]",1
"[35, 530]",11
"[130, 1985]",1
"[180, 2715]",1
"[490, 1630]",3
"[120, 1780]",1
"[45, 640]",13
"[75, 1090]",3
"[65, 980]",2
"[55, 795]",6
"[2800, 6995]",2
"[255, 855]",3
"[360, 5390]",1
"[180, 2680]",2
"[30, 455]",24
"[155, 2305]",1
"[55, 800]",7
"[370, 5575]",1
"[360, 5400]",1
"[350, 5215]",1
"[355, 5325]",1
"[70, 1075]",7
"[300, 1005]",2
"[355, 5305]",1
"[1245, 4155]",1
"[345, 1145]",2
"[75, 1115]",5
"[1105, 2760]",1
"[295, 980]",3
"[1180, 2955]",1
"[135, 450]",3
"[1120, 2245]",1
"[340, 1140]",4
"[2330, 5820]",1
"[10, 30]",10
"[350, 695]",1
"[265, 890]",3
"[220, 435]",1
"[260, 525]",1
"[460, 1155]",1
"[225, 750]",3
"[15, 50]",2
"[295, 595]",1
"[10, 25]",5
"[240, 480]",1
"[5, 25]",1
"[220, 730]",9
"[995, 1990]",2
"[57355, 286770]",2
"[10745, 53725]",2
"[52130, 260645]",1
"[120, 395]",3
"[100, 330]",4
"[275, 685]",2
"[220, 735]",3
"[135, 265]",1
"[755, 1510]",1
"[265, 665]",1
"[390, 1295]",2
"[115, 1695]",1
"[1105, 2205]",1
"[1800, 4505]",1
"[4110, 8220]",1
"[815, 2040]",1
"[5530, 11060]",1
"[680, 1705]",1
"[5720, 11440]",1
"[1745, 5815]",1
"[15, 45]",7
"[795, 1990]",1
"[1660, 5525]",1
"[985, 1975]",1
"[1345, 2685]",1
"[565, 1415]",1
"[475, 1580]",4
"[65, 965]",1
"[455, 1525]",1
"[460, 1525]",1
"[405, 1340]",2
"[70, 1015]",4
"[395, 1325]",1
"[40, 570]",13
"[275, 920]",4
"[395, 1310]",1
"[70, 1030]",5
"[80, 1220]",2
"[80, 1175]",2
"[50, 760]",6
"[245, 810]",5
"[4990, 12470]",1
"[175, 355]",1
"[1220, 2445]",1
"[195, 645]",2
"[135, 445]",3
"[1010, 2520]",1
"[1355, 4525]",1
"[9135, 22830]",1
"[2980, 5955]",1
