ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MO,,,1,,1,2,,1,2,,
KMI,,,1,2,,5,3,2,3,,
HCA,,,,,,,,,1,,
PRU,,,2,1,2,3,,1,10,,
EMR,,,2,3,1,3,3,1,8,,
M,,,7,3,,,,3,3,,
SU,,,,,,2,4,1,1,,
FHB,,,,,,,,,2,,
BKNG,,,,,,,1,2,4,,
FOXA,,,2,1,3,7,15,1,2,,
HUN,,,1,,,,,,3,,
NWS,,,,,,,,,2,,
UN,,,,,,3,,1,1,,
MSM,,,,,,,,2,4,,
EAF,,,,,,,,5,2,,
PAGP,,,,1,,,1,3,3,,
PSXP,,,,,,,,,4,,
SUN,,,,,,,4,2,1,,
TCP,,,,,,,,2,1,,
EPD,,,1,,6,1,1,,1,,
LNG,,,,,,,2,3,3,,
MMP,,,,,1,,2,1,1,,
OKE,,,1,,2,2,4,4,2,,
PAA,,,,9,3,,,3,1,,
SHLX,,,,,,,6,,2,,
WMB,,,,,11,2,7,1,5,,
TRGP,,,,,2,,1,8,4,,
MPLX,,,,1,2,,,4,2,,
ET,,,,,,,2,4,5,,
HD,,,,1,2,,1,,1,,
GIS,,,2,,,1,7,2,1,,
BP,,,,,,,,1,6,,
AFL,,,1,,1,,3,,4,,
TFC,,,,,,,,2,2,,
SOJA,,,,,,,,,1,,
URI,,,,,,,,,1,,
SO,,,,,3,4,,,1,,
LLY,,,,,,,,,2,,
PM,,,,,,1,,1,1,,
NSC,,,,,2,,3,1,1,,
BIF,,,,,,,,1,,,
GDV,,,,,,,2,1,,,
TEL,,,1,,,2,1,2,1,,
GRUB,,,,,,,,,1,,
PNQI,,,1,2,,,,,1,,
GEM,,,,,,,,,1,,
CIBR,,,,,,,,,1,,
QTEC,,,,,,,,,1,,
IAT,,,,,,,,,1,,
QLEIX,,,,,,,,,2,,
OAYIX,,,,,,,,,1,,
FPL,,,,,,,,,1,,
BOTZ,,,,,,,,,1,,
IWN,,,,,,,,,1,,
DRI,,,,,,,,1,1,,
IWD,,,,1,,,,,1,,
PKG,,,1,,,,,,1,,
MET,,,2,,2,2,1,1,1,,
CFG,,,,,,,,,1,,
KNX,,,,,,,,,1,,
HPQ,,,,,,1,,,1,,
FITB,,,,,,,,,1,,
NVO,,,,,,1,,1,1,,
TJX,,,1,,4,5,1,,5,,
TEX,,,,,,,,,1,,
KHC,,,,1,2,2,3,2,1,,
HIG,,,,,,,,,6,,
DFS,,,,,,,1,,6,,
UTX,,,3,2,2,2,2,1,1,,
K,,,,,,1,,,5,,
GS,,,2,,3,3,7,1,3,,
AIG,,,3,1,,,1,1,7,,
AGN,,,,,3,4,2,,1,,
AGCO,,,1,,,,,,1,,
CTXS,,,,,,,,,2,,
SAP,,,,,,,,,1,,
DOCU,,,,,,,,,2,,
JD,,,,,,,,,1,,
KEY,,,,,1,2,,,1,,
CME,,,1,,,1,1,1,6,,
FIS,,,,,,,,,3,,
WDC,,,,,,,,,2,,
UL,,,5,1,1,3,,,2,,
TRV,,,1,,,2,,,3,,
RTX,,,,,,,,,2,,
PGR,,,,,,,,1,1,,
PANW,,,3,,,2,,,2,,
NNVC,,,,,,,,,1,,
GLNCY,,,,,,,,,1,,
ETN,,,2,3,,3,2,,1,,
CR,,,1,,,,,,5,,
CAH,,,,,,,,,3,,
AIZ,,,,,,,,,7,,
ADM,,,,,,,,,5,,
ABT,,,,3,3,3,2,1,2,,
HELE,,,,,,,,,2,,
IPHI,,,,,,,,,2,,
VTR,,,,,,1,,,1,,
TDG,,,,,,,,,2,,
DXCM,,,,,,,,,1,,
PODD,,,,,,,4,,1,,
ILMN,,,,,,,1,,1,,
CGNX,,,,1,,,,1,1,,
SIEGY,,,,,,1,,1,1,,
WCMIX,,,,,,,,,1,,
CZR,,,,,,18,10,22,13,,
GEL,,,,,4,2,,,1,,
CDLX,,,,,,1,,,3,,
VOD,,,3,,1,,,,1,,
ROST,,,,,,,,,4,,
LULU,,,,,,,1,,1,,
AZO,,,,,,,,,5,,
WM,,,1,,4,1,,,1,,
DLR,,,1,,,,,,1,,
VFC,,,5,1,5,1,3,1,1,,
VWO,,,1,1,1,,1,,1,,
IR,,,,,,2,,1,1,,
FNKO,,,,,,,,,4,,
EEFT,,,,,,,,,1,,
ORLY,,,,,,,,,1,,
ROKU,,,,,,,,,1,,
KL,,,,,,,,,1,,
HQL,,,,,,,,,2,,
BSTZ,,,,,,,,4,2,,
DCP,,,,,,,,1,2,,
WES,,,,,,,2,3,2,,
BMEZ,,,,,,,,,1,,
DHR,,,3,1,7,2,3,4,1,,
REZI,,,,,,,2,1,3,,
ENTG,,,,,4,11,3,15,5,,
KSS,,,,,,2,1,,1,,
BFAM,,,,,,1,1,,1,,
IP,,,1,1,,1,1,2,,,
BIV,,,,,,,,1,,,
VFIJX,,,,,,,,1,,,
TGBAX,,,,,,,,1,,,
GTX,,,,,,,,1,,,
PPL,,,1,,,2,,1,,,
UAA,,,,,1,,,2,,,
NDAQ,,,,,,,,2,,,
AM,,,,2,2,,,5,,,
CBS,,,,13,,,7,7,,,
TSM,,,,,,2,,2,,,
IVZ,,,,1,3,,1,2,,,
TWO,,,,,,,,1,,,
EXC,,,,,,2,,1,,,
MOS,,,,1,3,8,21,5,,,
KTB,,,,,,,,3,,,
CELG,,,7,3,4,5,6,2,,,
3V64.TI,,,,,,,,2,,,
JNK,,,,,,,,2,,,
0QZI.IL,,,,,,,,2,,,
XBI,,,,,,3,2,1,,,
BPL,,,,1,1,1,,6,,,
CVET,,,,,,,,1,,,
AKAM,,,,,,1,,1,,,
ETP,,,,1,5,,2,,,,
BBT,,,,,,,2,,,,
NVS,,,,,1,2,2,3,,,
