ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EPR,,,1,,,,,,,
EQM,,,,,,,3,,2,
ERIC,,,,,,,,,1,
ES,,,,,,,2,,,
ESLOY,,,,,,,,1,,
ESRX,,,4,1,4,2,,,,
ESS,,,1,,,,,,,
ESV,,,1,1,,,,,,
ET,,,,,,,2,4,5,
ETE,,,,3,1,,,,,
ETHE,,,,,,,,,,1
ETN,,,2,3,,3,2,,1,
ETP,,,,1,5,,2,,,
ETR,,,,,,2,,,,
ETY,,,,4,,5,2,,2,
EV,,,,,2,,1,,,
EVOP,,,,,,,,,1,1
EVR,,,,1,,,,,,
EW,,,,,,,,,,1
EXC,,,,,,2,,1,,
EXP,,,,,,,,,,1
EXPI,,,,,,,,,1,
EXR,,,,,4,1,,2,2,
F,,,4,,3,3,5,,3,2
FANG,,,,1,,,,,,
FANUY,,,,,,1,2,,,
FAST,,,,,,,,,,1
FB,,,12,1,15,6,11,2,7,2
FCNTX,,,,,,,,1,,
FCPIX,,,,,,,,,1,3
FCX,,,1,1,,,,,,3
FDC,,,,,,19,29,18,,
FDN,,,,,,,,,3,1
FDS,,,,,,,1,,,
FDSWX,,,,,,,,,,1
FDX,,,,,2,2,3,28,6,
FE,,,,,2,1,,,,
FEMS,,,,,,,,,2,1
FET,,,,1,,,,,,
FEYE,,,2,3,32,5,14,7,3,1
FFBC,,,1,,,,,,,
FHB,,,,,,,,,2,
FIMKX,,,,,,,,,1,2
FINX,,,,,,,,,1,1
FIS,,,,,,,,,3,
FITB,,,,,,,,,1,
FL,,,,,,1,,,,
FL4.SG,,,,,,,,,,1
FLMVX,,,,,,,,1,,
FLR,,,,,,2,,,,
FLY,,,1,,,,,,,
FMBI,,,,1,,,,,,
FMER,,,1,,,,,,,
FNF,,,1,,,,,,,
FNGN,,,,1,,,,,,
FNKO,,,,,,,,,4,
FOX,,,,4,,2,1,2,2,
FOXA,,,2,1,3,7,15,1,2,
FPL,,,,,,,,,1,
FRIAX,,,,,,,,,1,
FRT,,,,,,1,1,,,
FTNT,,,,,,,,,1,1
FTV,,,,,2,,,,1,
FXI,,,,,,,,,2,
GAN,,,,,,,,,,1
GAS,,,,1,,,,,,
GBIL,,,,,,,,,7,1
GBTC,,,,,,,,,,1
GD,,,,,1,2,2,,,
GDDY,,,,,,1,,1,,
GDV,,,,,,,2,1,,
GDXJ,,,,,,,,,1,
GE,,,5,2,13,16,8,3,1,
GEL,,,,,4,2,,,1,
GEM,,,,,,,,,1,
GEMIX,,,,,,,,,,3
GFAFX,,,,,,,1,,,
GGG,,,,,,,,,,1
GGSM,,,,,,,,,,1
GILD,,,2,4,15,7,3,3,1,
GIS,,,2,,,1,7,2,1,
GLAD,,,,,,1,,,2,
GLD,,,1,,,,1,,5,1
GLNCY,,,,,,,,,1,
GLW,,,,4,2,7,12,9,4,
GM,,,3,3,3,17,12,1,4,
GMAB,,,,,,,,,1,
GME,,,,,1,1,,,,2
GMED,,,,1,,,,,,
GNRC,,,,,,,,,,1
GNTX,,,,,,,,,,1
GOLD,,,,,,,,,2,
GOOG,,,1,,2,,3,2,9,1
GOOGL,,,2,,2,1,2,,2,1
GPK,,,,4,,3,11,14,8,
GPRO,,,1,1,,,,,,
GRMN,,,1,,,,,,,
GRUB,,,,,,,,,1,
GS,,,2,,3,3,7,1,3,
GSK,,,,,,2,,,,
GSMYX,,,,,,,,,1,
GTCSX,,,,,,,,1,,
GTX,,,,,,,,1,,
GWW,,,,,1,,2,,,
HACK,,,,,1,2,1,,,
HAL,,,,4,1,,,,2,
HALO,,,,,,1,,,,
HAS,,,1,,5,,,1,,
HASI,,,,,,,,,1,
HBAN,,,,,,1,,1,,
HBI,,,,2,,22,11,2,5,
HCA,,,,,,,,,1,
HCC,,,1,,,,,,,
HCSG,,,,1,,,,,,
HD,,,,1,2,,1,,1,
HDS,,,,,2,,,,,
HEI,,,,1,,,,,,
HELE,,,,,,,,,2,
HF,,,,1,,,,,,
HFC,,,1,,,,,,,
HIG,,,,,,,,,6,
HLT,,,,,,1,,1,,
HLX,,,,1,,,,,,
HMC,,,2,,,,,,,
HNI,,,1,,,,,,,
HOLX,,,,,1,,2,1,,
HON,,,5,,1,1,2,1,2,1
HOT,,,1,,1,,,,,
