ticker	house	senate	input
VONOY	1		1
CNF	2		2
BCS	2		2
ITC		2	2
RDSA.AS		1	1
DEACU	18		18
SNE	16		16
NCLH	3		3
ARMK	4		4
GBT	2		2
BTE		1	1
IXJ	1		1
VLUE	1		1
FOXA	2	31	33
VPU	11	1	12
VEA	5	1	6
TSCDF	1		1
TYG	1		1
ZBH	9	4	13
WYNN	21		21
LMT	24	6	30
VRTX	5	3	8
DTEGY	1		1
RNSIX	1		1
DLPH		2	2
HUBS	10		10
PRLB	1	1	2
CLX	9	16	25
VFC.VI	2		2
MC	1		1
HZD	1		1
MLYNF	1		1
VFIJX		1	1
COF-PP		1	1
AME	1	3	4
LPLA	5		5
TEVA	2	2	4
AVT	1		1
WTS	1		1
AMG	2	6	8
FET		1	1
FRC	6		6
ADI	2	13	15
VNQ	1		1
TBF		4	4
FIBK	1		1
SI		1	1
BNPQY		2	2
CMPGY		1	1
TRHC	1		1
PHG	10		10
MPLN	1		1
CTCT		1	1
ACA		8	8
FTSM	1		1
NRG	2		2
NUGL	1		1
BXS$A	8		8
LEE	4		4
SDOG	1	1	2
CVI	5		5
HNST	1		1
LZ	3		3
TSM	30	4	34
LAD	4		4
DOV	9		9
IBDRY	1		1
CDNS	13		13
ETY		13	13
FB	93	58	151
HRB	4		4
HXGBY	1		1
BPMP	7		7
NULV	1		1
TNL	1		1
LMACU		1	1
SNNUF	1		1
MGY	2		2
MRK	32	45	77
CHK		3	3
ANIK	6		6
FE	4	3	7
HLUYY	1		1
SANM	1		1
RP	5		5
HPE	1		1
CRRFY	1		1
DHR	15	21	36
HOn	1		1
SJM	6	2	8
PCH	3		3
BOWX	2		2
HIG	7	6	13
ETE		4	4
SYNH	3		3
GOVT	1		1
GFAFX		1	1
CCLAY	1		1
ERH	1		1
GFN	5		5
QRTEA	1	1	2
CDEV	2		2
USFD	13		13
FIKMX	4		4
XLC	1		1
TFFP	1		1
HSY		5	5
OMC	4		4
BIV		1	1
GRFS	1		1
MPLX	20	9	29
SHY		2	2
NEM	8		8
PRAH	5		5
XBI		6	6
MNP	1		1
ATH	1		1
WPX	2	44	46
MAT	4	1	5
CMP	6		6
PWR	5		5
SPCE	20		20
DFS	8	7	15
BRY		1	1
BH	2		2
ADA-USD	4		4
VTKLY		1	1
RGLD	7		7
Z	23		23
ENLAY	1		1
CSPCY	4		4
MDC		1	1
FMER		1	1
BIP	4		4
AZN	8	2	10
DASH	7		7
EGBN	1	1	2
BAND	1		1
CEM		1	1
COST	47	32	79
GLD	9	8	17
IHE		2	2
DAVA	10		10
ACI	3		3
BIN		1	1
MKTX	7		7
ADUS	1		1
SUPN	4		4
MCO	4	2	6
PSX	9	6	15
SAVE	2		2
MITEY	1		1
FCYIX	1		1
CFA		2	2
BNS	1		1
MJDLF	1		1
BIF	3	1	4
VUG	1		1
GBTC	2	1	3
FXI		2	2
XLI	1	2	3
LEG	1		1
NLSN	1		1
PAA	13	16	29
PFS		20	20
ALGN	8	1	9
EMXC	2		2
CAB		7	7
JAPSY	2		2
JLL	1		1
AIO	1		1
FNV	4		4
PSO	1		1
BURL	8		8
MCRN	3		3
SSDOY		2	2
PAYX	4	5	9
STAY	6		6
DUKH	1		1
HII	1		1
TCEHY	13	5	18
GS	22	19	41
CBOE	9		9
LRLCY	4	2	6
IIN		1	1
GOOG	48	19	67
TPR	7		7
APA		3	3
KMI	9	16	25
LNT	8	7	15
TSBRX	1		1
NGG	5	3	8
ANY	1		1
EVGB	1		1
DLTR	16		16
INTC	30	35	65
CFJAX	1		1
CDE	1		1
IBTG	1		1
OKE	18	15	33
DLS		1	1
SOJA		1	1
DODWX	1		1
PM	22	3	25
NFG	22		22
HNNMY	1		1
ALC	6		6
MAS	6		6
HES	2		2
RNGR	1		1
TRU	4		4
AZEK	3		3
CDNA	9		9
RTX	26	2	28
IWM	4	2	6
NVIGF	1		1
UMPQ	4	1	5
VRNT	1		1
REZI	3	6	9
SKIN	2		2
BLDR	4		4
PLUG	10	1	11
CGC	3		3
SEA	3		3
KYOCF	1		1
CHTR	11	1	12
AMZA	2		2
PTNQ		2	2
ESGC	2		2
SHLX	36	8	44
BMR		2	2
SVC	2		2
JWN	2	1	3
DOOR	1		1
PYCR	2		2
MMP	43	5	48
BF.B	3		3
AMSG		1	1
COVTY	1		1
ZG	1		1
BECN	1	1	2
CELO-USD	1		1
PHM	8		8
GMAB		1	1
LBTYA		1	1
UAA	6	4	10
LGP		2	2
BRK-B		22	22
VTRA	1		1
X		10	10
BRBR	1		1
FINMY	1		1
SDC	1		1
DDD	1		1
EXPE	4		4
CPRI	1		1
EDU	3		3
LARCX	1		1
GRA	1		1
RUSHA	2		2
HLDCY	1		1
NS	11	1	12
ADTN	1		1
COP	11	17	28
MZDAY	1		1
TYPE		1	1
TFDXX	5		5
PNM		1	1
AUY	1		1
ARKG	2		2
LHX	14	2	16
GBOOY	3		3
AIT	2	1	3
SVCBY	1		1
JKHY	4	1	5
UHS	1		1
EBSB	5		5
RAND	6		6
TCAP		1	1
JSAIY	1		1
AMRC	13		13
PDX	1		1
OGS		1	1
PASO	8		8
TSLA	79	19	98
KMTUY	7		7
LEN.B	2		2
IDXXX	1		1
NFFFX	1		1
DAL	8	21	29
DGRO	10		10
NSR		1	1
GPRO	2	2	4
EHC	3		3
VSM		22	22
CRUS	2		2
UNM	1		1
PLT	1	1	2
GCO	1		1
AD	1		1
APHA	2		2
DASTY	14		14
EPAM	5		5
ACST	1		1
SPY160219P00180000		3	3
EVV	1		1
BBY	6	2	8
SNV	6		6
LQD	1		1
ROC		1	1
VUZI	7		7
DVFAX		3	3
IVW	2		2
AVP		8	8
CTRM	1		1
COH		1	1
BIO	4	2	6
EPD	20	10	30
SBAC	7		7
CBS	2	27	29
GXO	2		2
AFL	4	9	13
TRBCX	1		1
WXA.F	1		1
ALGT	4		4
SRC	2		2
MANH	1		1
SMJ	1		1
