ticker,2018,2019,2020,2021
CDNS,0,2,1,10
CDW,0,0,2,3
CE,0,0,0,1
CELC,0,0,2,1
CELG,0,1,0,0
CELO,0,0,0,1
CELO-USD,0,0,0,1
CENT,0,2,4,1
CENTA,0,2,1,0
CEQP,0,0,13,0
CERN,0,0,10,4
CF,0,2,2,0
CFG,0,0,3,1
CFJAX,0,0,0,1
CFJIX,0,0,0,2
CFR,0,0,1,4
CG,0,0,2,3
CGC,0,0,2,1
CGNX,0,1,8,1
CHD,0,0,1,5
CHDN,0,0,5,4
CHE,0,1,1,0
CHGCY,0,4,3,1
CHGG,0,0,0,2
CHH,0,1,0,0
CHKP,0,2,4,2
CHL,0,3,6,0
CHNG,0,0,0,1
CHRW,0,0,1,0
CHTR,0,0,4,7
CHUY,0,1,2,0
CHV,0,0,1,0
CHWY,0,0,0,17
CHX,0,0,0,4
CI,0,1,1,5
CIBR,0,0,1,1
CIEN,0,0,2,0
CIG,0,0,0,1
CIM,0,0,1,0
CINF,0,0,1,0
CISIX,0,0,0,1
CL,0,7,6,3
CLF,0,0,1,3
CLGX,0,0,0,1
CLNC,0,1,0,0
CLNE,0,0,1,8
CLX,0,1,4,4
CMA,0,0,4,0
CMCAS,0,0,0,1
CMCSA,0,6,26,9
CMD,0,2,3,0
CME,0,0,9,6
CMG,0,1,3,2
CMLFU,0,0,2,3
CMLTU,0,0,0,1
CMO,0,0,1,0
CMP,0,2,2,2
CMPR,0,2,0,0
CMS,0,0,3,2
CMWAY,0,0,2,0
CNA,0,0,0,3
CNC,0,0,6,4
CNF,0,0,0,2
CNI,0,2,3,1
CNK,0,0,2,0
CNP,0,0,4,0
CNS,0,1,1,0
CO,0,0,0,1
CODYY,0,0,1,0
COF,0,1,4,3
COHR,0,0,0,1
COIN,0,0,0,20
COLD,0,1,4,6
COMM,0,0,2,3
CONE,0,0,2,1
COO,0,0,1,0
COP,0,3,6,2
COR,0,1,0,0
COST,0,2,30,14
COTY,0,1,1,0
COUP,0,1,0,0
COVTY,0,0,1,0
CPRI,0,0,1,0
CR,0,0,1,1
CRARY,0,0,1,0
CREE,0,1,0,3
CRL,0,1,0,1
CRM,0,0,21,13
CRNC,0,0,4,0
CRON,0,0,1,1
CRRFY,0,0,1,0
CRSP,0,0,0,2
CRUS,0,2,0,0
CRWD,0,0,4,14
CRY,0,0,8,0
CRZBY,0,0,2,0
CS,0,0,1,1
CSCCX,0,0,0,1
CSCO,0,4,12,11
CSGP,0,0,11,2
CSIQ,0,0,1,0
CSL,0,0,3,3
CSLT,0,4,3,0
CSPCY,0,0,0,4
CSQ,0,0,1,0
CSTL,0,0,2,0
CSX,0,0,2,2
CTAS,0,0,1,5
CTB,0,1,0,0
CTBI,0,0,1,0
CTL,0,0,4,0
CTLT,0,0,15,1
CTRCF,0,0,2,0
CTRM,0,0,0,1
CTSH,0,0,5,7
CTVA,0,1,1,2
CTXS,0,1,4,1
CUK,0,0,1,0
CVET,0,3,7,2
CVGW,0,1,0,0
CVI,0,0,5,0
CVLT,0,1,0,0
CVNA,0,0,5,1
CVS,0,2,11,15
CVX,0,2,27,16
CW,0,0,9,0
CWB,0,3,1,0
CWEN,0,2,0,0
CWEN.A,0,1,5,2
CWGIX,0,0,0,1
CWH,0,0,0,1
CWK,0,0,0,4
CXP,0,2,0,0
CXW,0,0,2,0
CYRX,0,1,11,1
CZR,0,0,0,3
D,0,0,14,16
DAIUF,0,1,9,3
DAL,0,0,8,0
DANOY,0,0,1,1
DASH,0,0,1,6
DASTY,0,5,5,4
DAVA,0,0,6,4
DAWC,0,0,0,1
DB,0,0,1,0
DBD,0,2,0,0
DBSDY,0,2,2,3
DBX,0,0,1,0
DCI,0,0,3,1
DCMYY,0,0,1,0
DCP,0,0,8,0
DD,0,8,10,9
DDD,0,0,0,1
DE,0,0,4,23
DEACU,0,0,18,0
DECK,0,4,0,6
DELL,0,0,3,3
DENN,0,0,1,0
DEO,0,2,11,2
DESY,0,0,0,1
DFREX,0,0,1,0
DFS,0,0,4,4
DG,0,0,11,9
DGRO,0,0,7,3
DGX,0,0,5,1
DHR,0,2,8,5
DIA,0,1,19,0
DIAL,0,0,0,4
DIN,0,3,2,0
DIS,0,3,35,26
DISCA,0,1,3,2
DISCK,0,0,1,0
DIV,0,0,1,0
DKNG,0,0,21,6
DLAKY,0,0,1,0
DLB,0,1,0,0
DLR,0,2,6,4
DLTR,0,0,15,1
DMRC,0,1,0,0
DMTK,0,0,0,1
DNB,0,0,3,0
DNKEY,0,0,1,0
DNKN,0,0,2,0
DNNGY,0,0,1,0
DNOW,0,1,0,0
DNTUY,0,5,4,0
DNZOY,0,0,1,0
DOCU,0,0,1,4
DODWX,0,0,0,1
DOGE-USD,0,0,0,4
DOMO,0,5,0,1
DOOR,0,1,0,0
DORM,0,1,3,0
DOV,0,0,5,4
DOW,0,7,3,1
DOX,0,0,3,0
DPSGY,0,0,2,0
DPZ,0,0,3,3
DRE,0,0,3,3
DRI,0,0,4,1
DRQ,0,2,2,0
DSDVY,0,0,1,0
DSGX,0,0,2,0
DSU,0,0,1,0
DTCWY,0,0,1,0
DTE,0,0,3,1
DTEGY,0,0,1,0
DTM,0,0,0,1
DUK,0,1,9,6
DUKH,0,0,0,1
DUSA,0,0,1,0
DVN,0,0,0,8
DWAC,0,0,0,1
DWAHY,0,0,1,0
DWDP,0,2,0,0
DXC,0,1,6,3
DXCM,0,0,6,2
E,0,0,1,0
EA,0,0,1,5
EBAY,0,0,2,1
EBJ,0,0,1,0
EBS,0,0,7,4
EBSB,0,1,4,0
ECL,0,0,25,7
ECOL,0,1,1,0
ED,0,0,5,0
EDIT,0,3,5,2
EDU,0,0,3,0
EEFT,0,2,0,0
EFG,0,0,2,0
EFV,0,0,1,0
EFX,0,0,3,2
EGBN,0,1,0,0
EGHT,0,2,0,0
EGP,0,1,0,0
EHC,0,0,2,1
EHSTX,0,0,0,1
EIX,0,0,1,0
EJPRY,0,0,1,0
EL,0,1,23,10
ELAN,0,0,7,2
ELUXY,0,0,1,0
EMKR,0,0,0,3
EMN,0,0,2,1
EMR,0,0,10,7
EMXC,0,0,0,2
ENB,0,2,0,2
ENBL,0,0,18,14
ENGGY,0,0,1,0
ENGIY,0,0,2,0
ENLAY,0,0,1,0
ENLC,0,0,11,22
ENPH,0,0,1,2
ENR,0,0,3,0
ENS,0,0,1,0
ENTG,0,0,9,0
ENV,0,0,3,0
EOG,0,0,3,1
EOS-USD,0,0,0,1
EPAM,0,0,3,2
EPAY,0,0,1,0
EPD,0,0,6,14
EPOKY,0,3,2,0
EPR,0,0,1,0
EQIX,0,0,3,5
EQNR,0,0,1,1
EQUIX,0,0,0,1
ERH,0,1,0,0
ERIC,0,0,4,1
ERJ,0,0,0,2
ES,0,0,2,2
ESGC,0,0,0,2
ESGD,0,0,0,1
ESGR,0,3,0,0
ESGU,0,0,1,1
ESI,0,0,10,1
ESNT,0,2,0,0
ESS,0,0,1,0
ESTC,0,0,0,3
ET,0,0,22,22
ETC-USD,0,0,0,2
ETFC,0,0,1,0
ETH-USD,0,0,0,2
ETN,0,2,7,12
ETP,0,0,1,0
ETR,0,0,2,1
ETSY,0,0,0,3
ETV,0,0,0,1
ETWO.W,0,0,0,1
EVBG,0,0,2,1
EVGB,0,0,0,1
EVH,0,0,1,0
EVOP,0,2,0,0
EVV,0,0,1,0
EVVTY,0,0,2,0
EW,0,0,3,6
EWBC,0,0,0,1
EWU,0,0,0,1
EXAS,0,3,10,5
EXC,0,1,2,0
EXEL,0,4,0,0
EXLS,0,0,3,0
EXPD,0,1,5,1
EXPE,0,1,0,3
F,0,1,17,8
FAF,0,2,0,0
FAFTX,0,0,0,1
FANG,0,0,2,1
FANUF,0,1,9,2
FANUY,0,3,2,1
FAS,0,0,8,0
FAST,0,0,5,0
FB,0,2,46,44
FBALX,0,0,0,1
FBC,0,2,0,0
FBGRX,0,0,1,0
FBMPX,0,0,1,0
FBND,0,0,0,1
FBSI,0,2,0,0
FCEL,0,0,7,5
FCFS,0,0,2,2
FCGAX,0,0,1,0
FCN,0,0,0,2
FCNTX,0,0,1,0
FCX,0,2,2,7
FCYIX,0,0,1,0
FDIS,0,0,0,1
FDL,0,0,6,0
FDN,0,0,5,1
FDRR,0,0,2,1
FDRXX,0,0,0,2
FDS,0,0,1,0
FDX,0,1,4,30
FE,0,0,4,0
FEDX,0,0,0,1
FEI,0,0,1,0
FEPAX,0,0,0,1
FEYE,0,0,2,1
FFG,0,0,0,1
FFHRX,0,1,0,0
FFIN,0,1,0,0
FFRHX,0,1,0,0
FHB,0,0,2,0
FHLC,0,0,0,1
FHN,0,0,5,1
FIBK,0,1,0,0
FIDSX,0,0,2,0
FII,0,4,0,0
FIKMX,0,3,1,0
FINMY,0,0,1,0
FINX,0,0,0,1
FIS,0,0,19,10
FISI,0,0,1,0
FISV,0,0,5,9
FITB,0,0,2,4
FIVE,0,2,5,1
FIVN,0,0,1,1
FLCB,0,0,1,0
FLCO,0,0,1,0
FLEX,0,1,2,2
FLIR,0,1,11,1
FLQL,0,0,1,0
FLR,0,2,2,1
FLS,0,0,2,0
FLT,0,0,7,1
FLVEX,0,0,1,0
FLXN,0,1,1,0
FMAO,0,0,1,0
FMAT,0,0,0,1
FMC,0,0,2,0
FMCMF,0,0,1,0
FMS,0,0,0,8
