ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CL,0,0,0,1,0,0,2,0,3,1
CLB,0,0,0,0,0,0,1,0,0,0
CLC,0,0,0,1,0,0,0,0,0,0
CLDT,0,0,0,0,0,0,0,0,0,1
CLF,0,0,0,0,0,0,0,0,0,21
CLNY,0,0,1,0,0,0,0,0,0,0
CLR,0,0,0,4,3,0,2,1,0,0
CLX,0,0,3,2,1,0,3,1,4,2
CMA,0,0,0,0,0,2,0,0,0,0
CMCSA,0,0,1,0,2,2,4,3,7,2
CMCSK,0,0,0,2,0,0,0,0,0,0
CME,0,0,1,0,0,1,1,1,6,0
CMG,0,0,0,0,0,0,0,0,0,1
CMI,0,0,1,0,2,0,0,0,0,0
CMN,0,0,0,1,0,0,0,0,0,0
CMO,0,0,1,0,0,0,0,0,0,0
CMPGY,0,0,0,0,0,1,0,0,0,0
CMRE,0,0,3,1,0,0,0,0,0,0
CNR,0,0,0,0,0,0,0,0,0,1
CNSL,0,0,1,0,0,0,0,0,0,0
COF,0,0,1,1,0,5,1,0,0,0
COF-PP,0,0,1,0,0,0,0,0,0,0
COH,0,0,0,1,0,0,0,0,0,0
COHR,0,0,0,0,0,2,1,0,0,0
CONE,0,0,0,0,0,0,0,0,2,0
COP,0,0,3,0,3,5,1,2,3,0
COR,0,0,0,0,0,0,0,0,0,1
COST,0,0,1,2,4,3,7,4,9,2
COUP,0,0,0,0,0,0,0,0,4,0
CP,0,0,1,0,2,0,0,0,0,0
CPGX,0,0,0,0,1,0,0,0,0,0
CPSI,0,0,1,0,0,0,0,0,0,0
CR,0,0,1,0,0,0,0,0,5,0
CRM,0,0,5,0,0,1,2,0,0,0
CRMT,0,0,0,0,0,0,9,0,0,0
CRSP,0,0,0,0,0,1,1,0,1,1
CRWD,0,0,0,0,0,0,0,0,3,1
CRZO,0,0,0,1,0,0,0,0,0,0
CSCO,0,0,1,0,3,8,8,4,14,2
CSX,0,0,0,1,2,1,0,1,0,2
CTAA,0,0,0,0,0,0,0,0,0,2
CTAS,0,0,0,0,0,0,0,0,0,1
CTBI,0,0,1,0,0,0,0,0,0,0
CTCT,0,0,0,1,0,0,0,0,0,0
CTL,0,0,0,0,2,0,0,0,0,0
CTRL,0,0,0,1,0,0,0,0,0,0
CTSH,0,0,1,0,2,1,0,4,5,0
CTVA,0,0,0,0,0,0,0,2,2,0
CTXS,0,0,0,0,0,0,0,0,2,0
CUTR,0,0,0,0,0,0,3,0,0,0
CVC,0,0,0,10,0,0,0,0,0,0
CVET,0,0,0,0,0,0,0,1,0,0
CVG,0,0,0,1,0,0,0,0,0,0
CVLT,0,0,0,1,0,0,0,0,0,0
CVS,0,0,4,1,4,8,9,7,7,2
CVX,0,0,3,5,4,6,4,2,13,1
CWEN,0,0,0,0,0,0,0,0,0,1
CY,0,0,5,2,0,0,0,0,0,0
CYBX,0,0,0,1,0,0,0,0,0,0
CYS,0,0,1,0,0,0,0,0,0,0
CZR,0,0,0,0,0,18,10,22,13,0
D,0,0,0,0,0,0,0,0,0,1
DAL,0,0,5,0,0,1,2,1,12,0
DBP,0,0,1,0,0,0,0,0,0,0
DCP,0,0,0,0,0,0,0,1,2,0
DD,2,4,5,3,1,1,0,3,23,2
DD-PA,0,0,0,0,0,1,0,0,0,0
DDOG,0,0,0,0,0,0,0,0,1,3
DE,0,0,1,3,0,0,0,1,0,0
DECK,0,0,0,0,0,0,0,0,0,2
DELL,0,0,0,0,0,0,0,0,0,1
DEO,0,0,0,0,4,0,0,1,0,1
DFRG,0,0,0,1,0,0,0,0,0,0
DFS,0,0,0,0,0,0,1,0,6,0
DG,0,0,0,0,0,0,0,0,4,1
DGNR,0,0,0,0,0,0,0,0,0,1
DGRS,0,0,0,0,0,0,0,0,1,1
DGX,0,0,0,0,0,0,0,0,1,1
DHI,0,0,0,0,0,0,0,0,4,0
DHR,0,0,3,1,7,2,3,4,1,0
DIOD,0,0,0,1,0,0,0,0,0,0
DIS,0,0,2,0,19,8,4,12,25,4
DISCA,0,0,0,21,5,10,38,0,0,0
DISCK,0,0,0,1,0,0,0,0,0,0
DISH,0,0,1,1,0,7,0,0,0,0
DLPH,0,0,0,0,0,2,0,0,0,0
DLR,0,0,1,0,0,0,0,0,1,0
DLS,0,0,0,0,0,0,0,0,1,0
DNKN,0,0,0,0,0,2,0,0,3,0
DOCU,0,0,0,0,0,0,0,0,2,0
DOW,0,0,0,0,0,2,0,6,8,1
DPM,0,0,0,0,3,0,0,0,0,0
DPS,0,0,0,0,0,1,0,0,0,0
DPZ,0,0,0,0,0,0,0,0,1,0
DRI,0,0,0,0,0,0,0,1,1,0
DRQ,0,0,0,1,0,0,0,0,0,0
DTD,0,0,0,0,0,0,0,0,0,1
DTE,0,0,0,1,0,0,0,0,0,0
DUK,0,0,0,0,0,3,1,0,0,0
DVA,0,0,0,0,0,0,2,0,0,1
DVFAX,0,0,2,1,0,0,0,0,0,0
DVMT,0,0,0,0,2,1,0,0,0,0
DVN,0,0,0,6,0,2,13,6,3,0
DWDP,0,0,0,0,0,7,5,1,0,0
DWX,0,0,1,0,0,0,0,0,0,0
DXCM,0,0,0,0,0,0,0,0,1,0
EA,0,0,0,0,0,0,0,0,0,2
EADSY,0,0,0,0,0,0,0,1,0,0
EAF,0,0,0,0,0,0,0,5,2,0
EBAY,0,0,3,2,0,0,0,0,1,1
EC,0,0,1,0,0,0,0,0,0,0
ECL,0,0,1,0,0,0,0,0,0,0
ECOM,0,0,0,0,0,0,0,0,0,20
EDIT,0,0,0,0,0,1,0,1,0,0
EEFT,0,0,0,0,0,0,0,0,1,0
EEM,0,0,1,2,1,0,0,0,2,1
EGBN,0,0,0,1,0,0,0,0,0,0
EL,0,0,3,0,1,1,0,0,0,1
EMC,0,0,1,1,2,0,0,0,0,0
EMR,0,0,2,3,1,3,3,1,8,0
ENB,0,0,0,0,3,5,5,1,5,0
ENLC,0,0,1,0,0,0,0,0,0,0
ENTG,0,0,0,0,4,11,3,15,5,0
ENTL,0,0,0,0,0,0,1,0,0,0
ENVA,0,0,0,0,0,0,0,0,0,1
EPAY,0,0,0,1,0,0,0,0,0,0
EPD,0,0,1,0,6,1,1,0,1,0
EPP,0,0,1,0,0,0,0,0,0,0
EPR,0,0,1,0,0,0,0,0,0,0
EQM,0,0,0,0,0,0,3,0,2,0
ERIC,0,0,0,0,0,0,0,0,1,0
ES,0,0,0,0,0,0,2,0,0,0
ESLOY,0,0,0,0,0,0,0,1,0,0
ESRX,0,0,4,1,4,2,0,0,0,0
ESS,0,0,1,0,0,0,0,0,0,0
ESV,0,0,1,1,0,0,0,0,0,0
ET,0,0,0,0,0,0,2,4,5,0
ETE,0,0,0,3,1,0,0,0,0,0
ETHE,0,0,0,0,0,0,0,0,0,1
ETN,0,0,2,3,0,3,2,0,1,0
ETP,0,0,0,1,5,0,2,0,0,0
ETR,0,0,0,0,0,2,0,0,0,0
ETY,0,0,0,4,0,5,2,0,2,0
EV,0,0,0,0,2,0,1,0,0,0
EVOP,0,0,0,0,0,0,0,0,1,1
EVR,0,0,0,1,0,0,0,0,0,0
EW,0,0,0,0,0,0,0,0,0,1
EXC,0,0,0,0,0,2,0,1,0,0
EXP,0,0,0,0,0,0,0,0,0,1
EXPI,0,0,0,0,0,0,0,0,1,0
EXR,0,0,0,0,4,1,0,2,2,0
F,0,0,4,0,3,3,5,0,3,4
FANG,0,0,0,1,0,0,0,0,0,0
FANUY,0,0,0,0,0,1,2,0,0,0
FAST,0,0,0,0,0,0,0,0,0,1
FB,0,0,12,1,15,6,11,2,7,4
FCNTX,0,0,0,0,0,0,0,1,0,0
FCPIX,0,0,0,0,0,0,0,0,1,3
FCX,0,0,1,1,0,0,0,0,0,3
FDC,0,0,0,0,0,19,29,18,0,0
FDN,0,0,0,0,0,0,0,0,3,1
FDS,0,0,0,0,0,0,1,0,0,0
FDSWX,0,0,0,0,0,0,0,0,0,1
FDX,0,0,0,0,2,2,3,28,6,0
FE,0,0,0,0,2,1,0,0,0,0
FEMS,0,0,0,0,0,0,0,0,2,1
FET,0,0,0,1,0,0,0,0,0,0
FEYE,0,0,2,3,32,5,14,7,3,1
FFBC,0,0,1,0,0,0,0,0,0,0
FHB,0,0,0,0,0,0,0,0,2,0
FIMKX,0,0,0,0,0,0,0,0,1,2
FINX,0,0,0,0,0,0,0,0,1,1
FIS,0,0,0,0,0,0,0,0,3,0
FITB,0,0,0,0,0,0,0,0,1,0
FL,0,0,0,0,0,1,0,0,0,0
FL4.SG,0,0,0,0,0,0,0,0,0,1
FLMVX,0,0,0,0,0,0,0,1,0,0
FLR,0,0,0,0,0,2,0,0,0,0
FLY,0,0,1,0,0,0,0,0,0,0
FMBI,0,0,0,1,0,0,0,0,0,0
FMER,0,0,1,0,0,0,0,0,0,0
FNF,0,0,1,0,0,0,0,0,0,0
FNGN,0,0,0,1,0,0,0,0,0,0
FNKO,0,0,0,0,0,0,0,0,4,0
FOX,0,0,0,4,0,2,1,2,2,0
FOXA,0,0,2,1,3,7,15,1,2,0
FPL,0,0,0,0,0,0,0,0,1,0
FRIAX,0,0,0,0,0,0,0,0,1,0
FRT,0,0,0,0,0,1,1,0,0,0
FTNT,0,0,0,0,0,0,0,0,1,1
FTV,0,0,0,0,2,0,0,0,1,0
FXI,0,0,0,0,0,0,0,0,2,0
GAN,0,0,0,0,0,0,0,0,0,1
GAS,0,0,0,1,0,0,0,0,0,0
GBIL,0,0,0,0,0,0,0,0,7,1
GBTC,0,0,0,0,0,0,0,0,0,1
GD,0,0,0,0,1,2,2,0,0,1
GDDY,0,0,0,0,0,1,0,1,0,0
GDV,0,0,0,0,0,0,2,1,0,0
GDXJ,0,0,0,0,0,0,0,0,1,0
GE,0,0,5,2,13,16,8,3,1,1
GEL,0,0,0,0,4,2,0,0,1,0
GEM,0,0,0,0,0,0,0,0,1,0
GEMIX,0,0,0,0,0,0,0,0,0,3
GFAFX,0,0,0,0,0,0,1,0,0,0
GGG,0,0,0,0,0,0,0,0,0,1
GGSM,0,0,0,0,0,0,0,0,0,1
GILD,0,0,2,4,15,7,3,3,1,2
GIS,0,0,2,0,0,1,7,2,1,0
GLAD,0,0,0,0,0,1,0,0,2,0
GLD,0,0,1,0,0,0,1,0,5,1
GLNCY,0,0,0,0,0,0,0,0,1,0
GLW,0,0,0,4,2,7,12,9,4,0
GM,0,0,3,3,3,17,12,1,4,0
GMAB,0,0,0,0,0,0,0,0,1,0
GME,0,0,0,0,1,1,0,0,0,2
GMED,0,0,0,1,0,0,0,0,0,0
GNRC,0,0,0,0,0,0,0,0,0,1
GNTX,0,0,0,0,0,0,0,0,0,1
GOLD,0,0,0,0,0,0,0,0,2,0
GOOG,0,0,1,0,2,0,3,2,9,2
GOOGL,0,0,2,0,2,1,2,0,2,2
GPK,0,0,0,4,0,3,11,14,8,0
GPRO,0,0,1,1,0,0,0,0,0,0
GRMN,0,0,1,0,0,0,0,0,0,0
GRUB,0,0,0,0,0,0,0,0,1,0
GS,0,0,2,0,3,3,7,1,3,0
GSK,0,0,0,0,0,2,0,0,0,0
GSMYX,0,0,0,0,0,0,0,0,1,0
GTCSX,0,0,0,0,0,0,0,1,0,0
GTX,0,0,0,0,0,0,0,1,0,0
GWW,0,0,0,0,1,0,2,0,0,0
HACK,0,0,0,0,1,2,1,0,0,0
HAL,0,0,0,4,1,0,0,0,2,0
HALO,0,0,0,0,0,1,0,0,0,0
HAS,0,0,1,0,5,0,0,1,0,0
HASI,0,0,0,0,0,0,0,0,1,0
HBAN,0,0,0,0,0,1,0,1,0,0
HBI,0,0,0,2,0,22,11,2,5,0
HCA,0,0,0,0,0,0,0,0,1,0
HCC,0,0,1,0,0,0,0,0,0,0
HCSG,0,0,0,1,0,0,0,0,0,0
HD,0,0,0,1,2,0,1,0,1,0
HDS,0,0,0,0,2,0,0,0,0,0
HEI,0,0,0,1,0,0,0,0,0,0
