ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ASXC,0,0,0,0,0,0,0,0,0,2
ATASY,0,0,0,0,0,0,0,0,3,0
ATH,0,0,0,0,0,0,0,0,0,1
ATHM,0,0,0,0,0,0,0,0,0,2
ATLKY,0,0,0,0,0,0,0,1,3,1
ATML,0,0,1,1,0,0,0,0,0,0
ATO,0,0,0,0,0,0,0,0,3,2
ATOAX,0,0,0,0,0,0,0,0,1,0
ATRC,0,0,0,0,0,0,0,0,3,1
ATRO,0,0,0,1,0,0,0,0,0,0
ATVI,0,0,0,0,0,0,0,2,12,5
AUY,0,0,0,0,0,0,0,0,0,1
AVB,0,0,0,0,0,0,0,0,2,1
AVGO,0,0,0,0,0,2,0,4,5,8
AVLR,0,0,0,0,0,0,0,0,1,0
AVNS,0,0,0,0,0,0,0,0,1,0
AVNT,0,0,0,0,0,0,0,0,1,0
AVP,0,0,0,1,0,3,2,2,0,0
AVT,0,0,0,0,0,0,0,0,1,0
AVTR,0,0,0,0,0,0,0,0,1,0
AVVIY,0,0,0,0,0,0,0,0,1,0
AVY,0,0,0,0,0,0,0,4,3,2
AVYA,0,0,0,0,0,0,0,0,1,2
AWI,0,0,0,0,0,0,0,1,0,2
AWK,0,0,0,0,1,0,0,0,2,2
AX,0,0,0,0,0,0,0,1,0,0
AXAHY,0,0,0,0,0,1,0,0,0,0
AXGN,0,0,0,0,0,0,0,2,0,0
AXLL,0,0,0,2,11,0,0,0,0,0
AXP,0,0,2,6,2,0,0,2,8,13
AXS,0,0,0,0,0,0,0,0,1,0
AXTA,0,0,0,0,0,15,8,0,4,1
AY,0,0,0,0,0,0,0,0,1,3
AYI,0,0,0,1,0,0,1,2,1,0
AZEK,0,0,0,0,0,0,0,0,1,2
AZN,0,0,0,0,0,1,0,1,2,6
AZO,0,0,0,0,0,0,0,1,15,4
AZSEY,0,0,0,0,0,0,0,3,0,0
AZTA,0,0,0,0,0,0,0,0,0,2
AlGM,0,0,0,0,0,0,0,0,0,1
BA,0,0,7,5,3,5,5,2,36,10
BABA,0,0,1,3,1,1,2,5,35,44
BAC,0,0,6,2,29,16,17,2,27,17
BAC$K,0,0,0,0,0,0,0,0,3,0
BAESY,0,0,0,0,0,0,0,0,1,1
BAFWX,0,0,0,0,0,0,0,0,0,4
BAH,0,0,0,0,0,0,0,1,4,3
BALY,0,0,0,0,0,0,0,0,0,2
BAM,0,0,0,0,0,0,2,0,4,1
BAMXY,0,0,0,0,0,0,0,1,0,0
BAND,0,0,0,0,0,0,0,0,1,0
BASFY,0,0,0,0,0,1,0,0,1,0
BAT-USD,0,0,0,0,0,0,0,0,0,1
BATRA,0,0,0,0,0,0,0,0,1,0
BAX,0,0,0,15,6,7,0,0,7,4
BAYRY,0,0,0,0,0,0,0,2,1,0
BBBY,0,0,0,0,0,0,0,0,1,0
BBCBX,0,0,0,0,0,0,0,0,0,1
BBGLX,0,0,0,0,0,0,0,0,0,1
BBH,0,0,0,0,0,0,0,0,0,2
BBL,0,0,0,0,0,1,0,0,0,0
BBNTX,0,0,0,0,0,0,0,0,2,0
BBT,0,0,0,0,0,0,2,0,0,0
BBTBX,0,0,0,0,0,0,0,0,0,2
BBU,0,0,0,0,1,0,0,0,0,0
BBVA,0,0,0,0,0,0,0,3,6,2
BBVLX,0,0,0,0,0,0,0,0,0,1
BBVSX,0,0,0,0,0,0,0,0,0,1
BBY,0,0,0,0,0,0,0,0,2,6
BCE,0,0,0,0,0,0,0,0,0,1
BCPC,0,0,0,1,0,0,0,1,1,1
BCR,0,0,0,2,0,3,0,0,0,0
BCS,0,0,0,0,0,0,0,0,2,0
BDC,0,0,0,0,0,0,0,0,2,0
BDN,0,0,0,0,0,0,0,2,1,0
BDX,0,0,0,0,1,0,2,3,20,5
BE,0,0,0,0,0,0,0,0,4,5
BEAV,0,0,3,0,0,0,0,0,0,0
BECN,0,0,0,1,0,0,0,0,1,0
BEEM,0,0,0,0,0,0,0,0,2,0
BEN,0,0,0,0,0,0,0,1,9,1
BEP,0,0,0,0,0,0,0,0,0,2
BERY,0,0,0,1,0,0,0,2,2,1
BF.B,0,0,0,0,0,0,0,3,0,0
BFAM,0,0,0,0,0,1,1,0,3,1
BFK,0,0,1,0,0,0,0,0,0,0
BG,0,0,0,0,0,0,0,0,1,0
BGFV,0,0,0,0,0,0,0,0,3,0
BGG,0,0,0,0,0,0,0,0,1,0
BGNE,0,0,0,0,0,0,0,0,1,0
BGS,0,0,1,0,0,2,0,0,0,0
BGSIX,0,0,0,0,0,0,0,0,1,0
BH,0,0,0,0,0,0,0,2,0,0
BHC,0,0,0,0,0,0,0,0,3,0
BHF,0,0,0,0,0,3,0,0,1,0
BHI,0,0,1,0,0,0,0,0,0,1
BHKLY,0,0,0,0,0,0,0,0,1,0
BHP,0,0,0,0,0,0,0,0,0,8
BHPLF,0,0,0,0,0,0,0,0,0,1
BIAWX,0,0,0,0,0,0,0,0,0,2
BIDU,0,0,6,3,0,4,0,3,9,0
BIF,0,0,0,0,0,0,0,2,2,0
BIG,0,0,0,0,0,0,0,1,0,0
BIIB,0,0,2,10,3,0,1,2,6,6
BIN,0,0,0,0,1,0,0,0,0,0
BIO,0,0,0,1,0,0,0,0,3,2
BIP,0,0,0,0,0,0,0,0,3,1
BIPC,0,0,0,0,0,0,0,0,4,0
BIV,0,0,0,0,0,0,0,1,0,0
BIVV,0,0,0,0,0,2,0,0,0,0
BJ,0,0,0,0,0,0,0,0,0,1
BK,0,0,0,6,0,0,0,5,5,4
BKE,0,0,0,0,0,0,0,0,0,1
BKEP,0,0,0,0,0,0,0,0,1,6
BKI,0,0,0,0,0,0,0,0,9,2
BKNG,0,0,0,0,0,0,1,3,23,15
BKR,0,0,0,0,0,0,0,0,2,4
BKU,0,0,0,0,0,0,0,3,0,0
BL,0,0,0,0,0,0,0,0,0,1
BLDP,0,0,0,0,0,0,0,0,2,4
BLDR,0,0,0,0,0,0,0,0,3,1
BLDr,0,0,0,0,0,0,0,0,0,1
BLFSD,0,0,0,0,0,0,0,1,0,0
BLK,0,0,0,0,2,1,5,3,16,11
BLKB,0,0,0,0,0,0,0,0,0,1
BLL,0,0,0,0,0,0,0,0,9,7
BLUE,0,0,0,0,0,0,0,0,4,0
BMEZ,0,0,0,0,0,0,0,0,1,0
BMR,0,0,1,1,0,0,0,0,0,0
BMRN,0,0,0,0,0,0,0,2,3,1
BMY,0,0,5,1,4,10,3,3,21,2
BNDX,0,0,0,0,0,0,0,0,1,0
BNPQY,0,0,0,0,0,1,1,0,0,0
BNS,0,0,0,0,0,0,0,0,0,1
BNTGY,0,0,0,0,0,0,0,0,1,0
BOA,0,0,0,0,0,0,0,0,0,1
BOH,0,0,0,0,0,0,0,0,1,1
BOIVF,0,0,0,0,0,0,5,11,7,0
BOOM,0,0,0,0,0,0,0,2,0,0
BOOT,0,0,0,0,0,0,0,0,2,1
BOTZ,0,0,0,0,0,0,0,0,1,0
BOWX,0,0,0,0,0,0,0,0,0,2
BOX,0,0,0,0,0,0,3,0,0,0
BP,0,0,0,0,0,0,0,2,11,5
BP PLC,0,0,0,0,0,0,0,0,0,1
BPHSPX,0,0,0,0,0,0,0,0,0,1
BPL,0,0,0,1,1,1,0,6,0,0
BPMP,0,0,0,0,0,0,0,0,0,7
BR,0,0,0,0,0,0,0,0,4,0
BRBR,0,0,0,0,0,0,0,1,0,0
BREW,0,0,0,0,0,0,0,0,1,0
BRHYX,0,0,0,0,0,0,0,0,0,1
BRK,0,0,0,0,0,0,0,0,1,0
BRK-B,0,0,0,0,3,2,4,2,10,1
BRK.A,0,0,0,0,0,0,0,2,0,0
BRK.B,0,0,0,0,0,0,0,3,39,52
BRKB,0,0,0,0,0,1,1,0,0,2
BRKR,0,0,0,0,0,0,0,1,2,0
BRKS,0,0,0,0,0,0,0,0,2,3
BROS,0,0,0,0,0,0,0,0,0,5
BRP,0,0,0,0,0,0,0,0,0,3
BRX,0,0,0,0,0,0,0,0,0,2
BRY,0,0,0,0,0,0,0,0,1,0
BSIIX,0,0,0,0,0,0,0,0,0,1
BSIXX,0,0,0,0,0,0,0,0,0,2
BSTZ,0,0,0,0,0,0,0,4,2,0
