official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Whitehouse, Sheldon",BIIB,2015/08/28,2015/08/28,2015/09/04,-0.0116,2015/09/11,0.0272,2015/09/25,-0.0447,2015/10/23,-0.0901,2015/12/18,-0.022,2016/04/08,-0.1051,2016/08/26,0.015
"Shalala, Donna",FII,2019/02/20,2019/02/20,2019/02/27,0.0186,2019/03/06,0.0544,2019/03/20,0.0351,2019/04/17,0.1429,2019/06/12,0.1431,2019/10/02,0.0917,2020/02/19,0.2776
"Inhofe, James M.",HBI,2017/04/20,2017/04/20,2017/04/27,0.0139,2017/05/04,-0.0432,2017/05/18,-0.0655,2017/06/15,0.0365,2017/08/10,0.0929,2017/11/30,-0.0518,2018/04/19,-0.1918
"Wyden, Ronald L.",AMAT,2020/06/17,2020/06/17,2020/06/24,0.009,2020/07/01,0.0113,2020/07/15,0.0435,2020/08/12,0.1042,2020/10/07,0.0314,2021/01/27,0.6991,2021/06/16,1.3227
"Roberts, Pat",DVN,2017/11/06,2017/11/06,2017/11/13,-0.0043,2017/11/20,-0.059,2017/12/04,-0.0302,2018/01/01,0.0425,2018/02/26,-0.2207,2018/06/18,0.02,2018/11/05,-0.1801
"Perdue Jr., David A.",FHB,2020/03/17,2020/03/17,2020/03/24,-0.1328,2020/03/31,-0.1286,2020/04/14,-0.1278,2020/05/12,-0.1779,2020/07/07,-0.1567,2020/10/27,-0.0835,2021/03/16,0.5485
"Cisneros, Gilbert",CRY,2020/05/11,2020/05/11,2020/05/18,0.018,2020/05/25,0.0134,2020/06/08,0.1189,2020/07/06,-0.1296,2020/08/31,-0.0893,2020/12/21,-0.0332,2021/05/10,0.3433
"Reed, John F.",MSFT,2014/03/28,2014/03/28,2014/04/04,0.0088,2014/04/11,-0.019,2014/04/25,0.0014,2014/05/23,0.0006,2014/07/18,0.1092,2014/11/07,0.2103,2015/03/27,0.0242
"Wyden, Ronald L.",V,2020/04/06,2020/04/06,2020/04/13,0.0288,2020/04/20,0.005,2020/05/04,0.0598,2020/06/01,0.1837,2020/07/27,0.1916,2020/11/16,0.2977,2021/04/05,0.3308
"Perdue Jr., David A.",HBI,2020/02/07,2020/02/07,2020/02/14,-0.0221,2020/02/21,-0.0095,2020/03/06,-0.1652,2020/04/03,-0.5109,2020/05/29,-0.329,2020/09/18,0.067,2021/02/05,0.0741
"Gottheimer, Josh",CYRX,2020/01/14,2020/01/14,2020/01/21,0.0304,2020/01/28,-0.0037,2020/02/11,0.0155,2020/03/10,-0.0505,2020/05/05,0.0529,2020/08/25,1.1492,2021/01/12,1.9992
"Phillips, Dean",MMM,2020/09/23,2020/09/23,2020/09/30,-0.0051,2020/10/07,0.0272,2020/10/21,0.0551,2020/11/18,0.0701,2021/01/13,0.0323,2021/05/05,0.2358,2021/09/22,0.113
"Green, Mark",SRLP,2020/10/05,2020/10/05,2020/10/12,0.0198,2020/10/19,0.0237,2020/11/02,0.0643,2020/11/30,0.1486,2021/01/25,0.3677,2021/05/17,0.598,2021/10/04,0.3206
"Lowenthal, Alan S.",RUN,2020/03/19,2020/03/19,2020/03/26,0.3688,2020/04/02,0.0509,2020/04/16,0.2453,2020/05/14,0.474,2020/07/09,2.0233,2020/10/29,5.1373,2021/03/18,4.948
"Lee, Susie",VRT,2020/12/11,2020/12/11,2020/12/18,0.0055,2020/12/25,-0.0146,2021/01/08,-0.0524,2021/02/05,0.0894,2021/04/02,0.0988,2021/07/23,0.4372,2021/12/10,0.3472
"Perdue Jr., David A.",PAA,2019/12/17,2019/12/17,2019/12/24,0.0432,2019/12/31,0.0172,2020/01/14,0.0332,2020/02/11,-0.1187,2020/04/07,-0.6969,2020/07/28,-0.5674,2020/12/15,-0.5179
"Perdue Jr., David A.",DIS,2016/11/15,2016/11/15,2016/11/22,-0.0018,2016/11/29,0.0158,2016/12/13,0.0637,2017/01/10,0.1054,2017/03/07,0.1305,2017/06/27,0.0804,2017/11/14,0.0614
"Murray, Patty",MDT,2017/03/16,2017/03/16,2017/03/23,-0.0185,2017/03/30,-0.0204,2017/04/13,-0.0285,2017/05/11,0.0008,2017/07/06,0.0676,2017/10/26,-0.0333,2018/03/15,-0.0055
