official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Conaway, K. M.",AAPL,2020/05/19,2020/05/19,2020/05/26,0.0146,2020/06/02,0.0172,2020/06/16,0.1051,2020/07/14,0.2106,2020/09/08,0.4674,2020/12/29,0.73,2021/05/18,0.5947
"Green, Mark",ET,2020/08/06,2020/08/06,2020/08/13,-0.0203,2020/08/20,-0.0128,2020/09/03,-0.0602,2020/10/01,-0.1932,2020/11/26,-0.0361,2021/03/18,0.1977,2021/08/05,0.3932
"Beyer, Donald S.",LVMUY,2020/01/09,2020/01/09,2020/01/16,0.0207,2020/01/23,-0.0291,2020/02/06,-0.0273,2020/03/05,-0.1164,2020/04/30,-0.1832,2020/08/20,-0.0367,2021/01/07,0.3384
"Sherrill, Mikie",PM,2020/01/21,2020/01/21,2020/01/28,-0.0445,2020/02/04,-0.0563,2020/02/18,-0.0082,2020/03/17,-0.1762,2020/05/12,-0.1966,2020/09/01,-0.106,2021/01/19,-0.078
"Shalala, Donna",HIW,2019/04/03,2019/04/03,2019/04/10,-0.014,2019/04/17,-0.0434,2019/05/01,-0.0348,2019/05/29,-0.0713,2019/07/24,-0.059,2019/11/13,-0.0167,2020/04/01,-0.2997
"Hern, Kevin",CMCSA,2020/07/27,2020/07/27,2020/08/03,-0.0143,2020/08/10,-0.0116,2020/08/24,-0.0014,2020/09/21,0.0237,2020/11/16,0.1407,2021/03/08,0.2732,2021/07/26,0.3454
"Hern, Kevin",LMT,2020/07/27,2020/07/27,2020/08/03,-0.0212,2020/08/10,0.0143,2020/08/24,0.0253,2020/09/21,0.0013,2020/11/16,-0.0122,2021/03/08,-0.1065,2021/07/26,-0.0331
"Cisneros, Gilbert",CTVA,2020/03/18,2020/03/18,2020/03/25,0.0799,2020/04/01,0.0496,2020/04/15,0.1594,2020/05/13,0.0457,2020/07/08,0.2008,2020/10/28,0.4454,2021/03/17,1.1354
"Frankel, Lois",POR,2020/05/27,2020/05/27,2020/06/03,0.0739,2020/06/10,0.0538,2020/06/24,-0.0652,2020/07/22,-0.0275,2020/09/16,-0.2319,2021/01/06,-0.0575,2021/05/26,0.0739
"Shalala, Donna",AMBA,2019/04/16,2019/04/16,2019/04/23,0.0499,2019/04/30,0.0313,2019/05/14,-0.0301,2019/06/11,-0.1283,2019/08/06,-0.0543,2019/11/26,0.197,2020/04/14,0.0392
"Shalala, Donna",FII,2019/03/06,2019/03/06,2019/03/13,-0.0122,2019/03/20,-0.0183,2019/04/03,-0.0007,2019/05/01,0.0361,2019/06/26,0.0571,2019/10/16,0.0315,2020/03/04,-0.0218
"Perdue Jr., David A.",QCOM,2016/03/22,2016/03/22,2016/03/29,-0.0336,2016/04/05,-0.0344,2016/04/19,-0.0085,2016/05/17,-0.0032,2016/07/12,0.0465,2016/11/01,0.3149,2017/03/21,0.1031
"Cisneros, Gilbert",CDAY,2020/09/23,2020/09/23,2020/09/30,0.0622,2020/10/07,0.117,2020/10/21,0.1654,2020/11/18,0.2526,2021/01/13,0.3007,2021/05/05,0.1567,2021/09/22,0.3812
"Lee, Susie",DIN,2020/12/08,2020/12/08,2020/12/15,-0.0356,2020/12/22,-0.0457,2021/01/05,-0.1086,2021/02/02,0.0537,2021/03/30,0.3146,2021/07/20,0.134,2021/12/07,0.1762
"Scott, Austin",GE,2020/08/24,2020/08/24,2020/08/31,0.0008,2020/09/07,-0.0348,2020/09/21,-0.0046,2020/10/19,0.136,2020/12/14,0.711,2021/04/05,1.0819,2021/08/23,0.9489
"Perdue Jr., David A.",MA,2016/03/22,2016/03/22,2016/03/29,0.0021,2016/04/05,0.0302,2016/04/19,0.0586,2016/05/17,0.0424,2016/07/12,-0.0261,2016/11/01,0.1533,2017/03/21,0.2147
"Courtney, Joe",ABT,2019/12/31,2019/12/31,2020/01/07,-0.0082,2020/01/14,-0.0188,2020/01/28,0.0356,2020/02/25,-0.041,2020/04/21,0.1,2020/08/11,0.1491,2020/12/29,0.2529
"Clark, Katherine M.",MOS,2020/04/03,2020/04/03,2020/04/10,0.2583,2020/04/17,0.171,2020/05/01,0.1123,2020/05/29,0.2161,2020/07/24,0.3696,2020/11/13,0.7854,2021/04/02,2.1805
"Whitehouse, Sheldon",BMY,2014/07/15,2014/07/15,2014/07/22,0.0078,2014/07/29,0.0336,2014/08/12,0.0035,2014/09/09,0.0383,2014/11/04,0.1849,2015/02/24,0.2479,2015/07/14,0.4276
"Wyden, Ronald L.",AAPL,2020/06/26,2020/06/26,2020/07/03,0.038,2020/07/10,0.0619,2020/07/24,0.0141,2020/08/21,0.3594,2020/10/16,0.3385,2021/02/05,0.5218,2021/06/25,0.4851
"Whitehouse, Sheldon",EL,2014/09/18,2014/09/18,2014/09/25,-0.007,2014/10/02,-0.0146,2014/10/16,-0.0481,2014/11/13,-0.0353,2015/01/08,0.0002,2015/04/30,0.0922,2015/09/17,0.0515
"Gianforte, Greg",AFTPY,2020/12/01,2020/12/01,2020/12/08,-0.0139,2020/12/15,0.1541,2020/12/29,0.2726,2021/01/26,0.5262,2021/03/23,0.1314,2021/07/13,0.1785,2021/11/30,0.0731
"Hern, Kevin",XOM,2020/09/10,2020/09/10,2020/09/17,-0.0043,2020/09/24,-0.0889,2020/10/08,-0.082,2020/11/05,-0.1091,2020/12/31,0.098,2021/04/22,0.4748,2021/09/09,0.4388
"Shalala, Donna",AVY,2019/03/19,2019/03/19,2019/03/26,-0.0155,2019/04/02,0.0117,2019/04/16,0.0286,2019/05/14,-0.0722,2019/07/09,0.0375,2019/10/29,0.1411,2020/03/17,-0.0909
"Perdue Jr., David A.",FEYE,2016/07/15,2016/07/15,2016/07/22,-0.0125,2016/07/29,0.0661,2016/08/12,-0.1219,2016/09/09,-0.0942,2016/11/04,-0.2292,2017/02/24,-0.317,2017/07/14,-0.0753
"Perdue Jr., David A.",PG,2015/04/02,2015/04/02,2015/04/09,0.0027,2015/04/16,0.0177,2015/04/30,-0.0322,2015/05/28,-0.0367,2015/07/23,-0.0212,2015/11/12,-0.0841,2016/03/31,0.0039
"Perdue Jr., David A.",PFE,2017/02/27,2017/02/27,2017/03/06,-0.0011,2017/03/13,-0.0081,2017/03/27,-0.0083,2017/04/24,-0.0135,2017/06/19,-0.0358,2017/10/09,0.0505,2018/02/26,0.0699
"Blumenauer, Earl",NWN,2020/08/14,2020/08/14,2020/08/21,-0.0241,2020/08/28,-0.0395,2020/09/11,-0.1308,2020/10/09,-0.118,2020/12/04,-0.0956,2021/03/26,-0.0181,2021/08/13,-0.0045
"Miller, Carol D.",KHC,2019/02/01,2019/02/01,2019/02/08,-0.0172,2019/02/15,-0.0036,2019/03/01,-0.3125,2019/03/29,-0.315,2019/05/24,-0.3447,2019/09/13,-0.3885,2020/01/31,-0.3845
"Frankel, Lois",KMB,2020/06/17,2020/06/17,2020/06/24,-0.0183,2020/07/01,0.0,2020/07/15,0.0141,2020/08/12,0.1148,2020/10/07,0.0617,2021/01/27,-0.0206,2021/06/16,-0.088
"Curtis, John",AMZN,2020/03/27,2020/03/27,2020/04/03,-0.0063,2020/04/10,0.0985,2020/04/24,0.2507,2020/05/22,0.2761,2020/07/17,0.5554,2020/11/06,0.7069,2021/03/26,0.5763
"Collins, Susan M.",CMCSA,2014/02/06,2014/02/06,2014/02/13,-0.0045,2014/02/20,-0.0379,2014/03/06,-0.0316,2014/04/03,-0.0513,2014/05/29,-0.0335,2014/09/18,0.0606,2015/02/05,0.0602
"Green, Mark",USDP,2020/08/28,2020/08/28,2020/09/04,-0.0939,2020/09/11,-0.0896,2020/09/25,-0.1474,2020/10/23,-0.0737,2020/12/18,0.0679,2021/04/09,0.672,2021/08/27,0.8179
"Evans, Dwight",INTC,2020/03/02,2020/03/02,2020/03/09,-0.089,2020/03/16,-0.1495,2020/03/30,-0.0338,2020/04/27,0.0486,2020/06/22,0.0589,2020/10/12,-0.0473,2021/03/01,0.1064
"Toomey, Patrick J.",BAC,2017/01/25,2017/01/25,2017/02/01,-0.0103,2017/02/08,-0.0288,2017/02/22,0.0638,2017/03/22,-0.0191,2017/05/17,-0.0131,2017/09/06,0.0058,2018/01/24,0.3764
"Perdue Jr., David A.",BAC,2016/03/14,2016/03/14,2016/03/21,0.0191,2016/03/28,0.0018,2016/04/11,-0.0463,2016/05/09,0.032,2016/07/04,-0.061,2016/10/24,0.227,2017/03/13,0.856
"Axne, Cynthia",ORLY,2020/12/10,2020/12/10,2020/12/17,0.024,2020/12/24,0.0394,2021/01/07,0.0555,2021/02/04,0.0133,2021/04/01,0.1469,2021/07/22,0.3729,2021/12/09,0.5289
"Perdue Jr., David A.",DISCA,2017/11/13,2017/11/13,2017/11/20,0.0263,2017/11/27,0.029,2017/12/11,0.1693,2018/01/08,0.3085,2018/03/05,0.4553,2018/06/25,0.6613,2018/11/12,0.942
"Perdue Jr., David A.",T,2019/07/25,2019/07/25,2019/08/01,0.0175,2019/08/08,0.0173,2019/08/22,0.0466,2019/09/19,0.0976,2019/11/14,0.1532,2020/03/05,0.1105,2020/07/23,-0.1149
"Pelosi, Nancy",CRM,2020/06/18,2020/06/18,2020/06/25,0.007,2020/07/02,0.046,2020/07/16,-0.0049,2020/08/13,0.0558,2020/10/08,0.4076,2021/01/28,0.2266,2021/06/17,0.3177
"Rooney, Francis",BDX,2020/09/10,2020/09/10,2020/09/17,-0.0288,2020/09/24,-0.0439,2020/10/08,0.0103,2020/11/05,0.0212,2020/12/31,0.0654,2021/04/22,0.1018,2021/09/09,0.1202
"Hern, Kevin",BDX,2020/04/09,2020/04/09,2020/04/16,0.0426,2020/04/23,0.0828,2020/05/07,0.0555,2020/06/04,-0.0177,2020/07/30,0.1033,2020/11/19,-0.0541,2021/04/08,-0.0146
"Doggett, Lloyd",PPG,2020/06/15,2020/06/15,2020/06/22,0.0206,2020/06/29,0.0268,2020/07/13,0.0814,2020/08/10,0.1351,2020/10/05,0.2403,2021/01/25,0.3675,2021/06/14,0.7398
"Perdue Jr., David A.",LNG,2019/02/27,2019/02/27,2019/03/06,0.0264,2019/03/13,0.0847,2019/03/27,0.0368,2019/04/24,0.0326,2019/06/19,0.0343,2019/10/09,-0.0603,2020/02/26,-0.236
"Lee, Susie",RXT,2020/09/01,2020/09/01,2020/09/08,-0.1198,2020/09/15,-0.1356,2020/09/29,-0.1446,2020/10/27,-0.2641,2020/12/22,-0.0818,2021/04/13,0.1536,2021/08/31,-0.36
"Collins, Susan M.",WCN,2015/01/13,2015/01/13,2015/01/20,0.0169,2015/01/27,0.0353,2015/02/10,0.0803,2015/03/10,0.1122,2015/05/05,0.1065,2015/08/25,0.0884,2016/01/12,0.2639
"Dingell, Debbie",WMT,2020/08/20,2020/08/20,2020/08/27,0.031,2020/09/03,0.1117,2020/09/17,0.0399,2020/10/15,0.098,2020/12/10,0.1244,2021/04/01,0.0385,2021/08/19,0.1394
"Cisneros, Gilbert",NKE,2020/03/12,2020/03/12,2020/03/19,-0.0966,2020/03/26,0.1015,2020/04/09,0.139,2020/05/07,0.1791,2020/07/02,0.3049,2020/10/22,0.7105,2021/03/11,0.8533
"Gianforte, Greg",MLCO,2020/11/13,2020/11/13,2020/11/20,0.052,2020/11/27,0.0436,2020/12/11,0.0408,2021/01/08,0.0338,2021/03/05,0.2282,2021/06/25,-0.0531,2021/11/12,-0.3498
"Capito, Shelley M.",SJM,2016/04/19,2016/04/19,2016/04/26,-0.014,2016/05/03,-0.0205,2016/05/17,-0.007,2016/06/14,0.111,2016/08/09,0.1868,2016/11/29,-0.0212,2017/04/18,-0.0112
"Shalala, Donna",PDCE,2019/04/30,2019/04/30,2019/05/07,-0.143,2019/05/14,-0.1318,2019/05/28,-0.2644,2019/06/25,-0.2149,2019/08/20,-0.3619,2019/12/10,-0.4627,2020/04/28,-0.7562
"Perdue Jr., David A.",AMZN,2017/02/08,2017/02/08,2017/02/15,0.0255,2017/02/22,0.0469,2017/03/08,0.0403,2017/04/05,0.1196,2017/05/31,0.2132,2017/09/20,0.1854,2018/02/07,0.7602
"Cisneros, Gilbert",UNP,2020/03/18,2020/03/18,2020/03/25,0.1738,2020/04/01,0.1842,2020/04/15,0.2744,2020/05/13,0.3332,2020/07/08,0.4934,2020/10/28,0.5381,2021/03/17,0.8567
"Perdue Jr., David A.",SU,2018/02/13,2018/02/13,2018/02/20,0.0453,2018/02/27,0.0365,2018/03/13,-0.0186,2018/04/10,0.1052,2018/06/05,0.1789,2018/09/25,0.1828,2019/02/12,-0.0239
"Rutherford, John",PSMMY,2020/10/13,2020/10/13,2020/10/20,-0.0346,2020/10/27,-0.051,2020/11/10,0.079,2020/12/08,0.0926,2021/02/02,0.0824,2021/05/25,0.3116,2021/10/12,0.0363
"Perdue Jr., David A.",BOIVF,2018/07/17,2018/07/17,2018/07/24,0.0123,2018/07/31,0.0368,2018/08/14,0.0234,2018/09/11,-0.0513,2018/11/06,-0.0379,2019/02/26,-0.0748,2019/07/16,0.0033
"Perlmutter, Ed",GILD,2020/07/15,2020/07/15,2020/07/22,-0.0021,2020/07/29,-0.0466,2020/08/12,-0.1045,2020/09/09,-0.1618,2020/11/04,-0.2147,2021/02/24,-0.1725,2021/07/14,-0.1172
"Cisneros, Gilbert",JWN,2019/12/06,2019/12/06,2019/12/13,0.0245,2019/12/20,0.0742,2020/01/03,0.0535,2020/01/31,-0.0113,2020/03/27,-0.5738,2020/07/17,-0.5916,2020/12/04,-0.1912
"Hoeven, John",BUD,2014/04/28,2014/04/28,2014/05/05,-0.0309,2014/05/12,-0.0032,2014/05/26,0.0063,2014/06/23,0.0458,2014/08/18,0.0012,2014/12/08,0.046,2015/04/27,0.1361
"Conaway, K. M.",SO,2020/04/06,2020/04/06,2020/04/13,0.0826,2020/04/20,0.0327,2020/05/04,0.0032,2020/06/01,0.0573,2020/07/27,0.0033,2020/11/16,0.1862,2021/04/05,0.1544
"Collins, Susan M.",TJX,2018/10/16,2018/10/16,2018/10/23,-0.0407,2018/10/30,-0.0136,2018/11/13,-0.0262,2018/12/11,-0.1699,2019/02/05,-0.1193,2019/05/28,-0.0809,2019/10/15,0.0517
"Wyden, Ronald L.",KLAC,2020/04/06,2020/04/06,2020/04/13,0.0654,2020/04/20,0.1214,2020/05/04,0.0648,2020/06/01,0.2471,2020/07/27,0.3755,2020/11/16,0.6975,2021/04/05,1.5015
"Roberts, Pat",NFLX,2018/06/25,2018/06/25,2018/07/02,-0.0081,2018/07/09,0.058,2018/07/23,-0.0857,2018/08/20,-0.1812,2018/10/15,-0.1511,2019/02/04,-0.1165,2019/06/24,-0.0504
"Phillips, Dean",HBAN,2020/04/02,2020/04/02,2020/04/09,0.2331,2020/04/16,-0.0067,2020/04/30,0.2485,2020/05/28,0.2559,2020/07/23,0.282,2020/11/12,0.5157,2021/04/01,1.1206
"Loeffler, Kelly",HIG,2020/03/20,2020/03/20,2020/03/27,0.0286,2020/04/03,-0.0182,2020/04/17,0.1904,2020/05/15,-0.0117,2020/07/10,0.1025,2020/10/30,0.1677,2021/03/19,1.0454
"Perdue Jr., David A.",PFE,2017/02/16,2017/02/16,2017/02/23,0.0088,2017/03/02,0.0308,2017/03/16,0.0265,2017/04/13,0.011,2017/06/08,-0.0496,2017/09/28,0.0581,2018/02/15,0.0551
"Gottheimer, Josh",EBS,2020/06/26,2020/06/26,2020/07/03,0.1477,2020/07/10,0.2357,2020/07/24,0.1725,2020/08/21,0.7109,2020/10/16,0.3105,2021/02/05,0.5321,2021/06/25,-0.1683
"Capito, Shelley M.",CCI,2017/09/08,2017/09/08,2017/09/15,-0.0139,2017/09/22,-0.0543,2017/10/06,-0.0534,2017/11/03,-0.0025,2017/12/29,0.0374,2018/04/20,-0.0271,2018/09/07,0.0652
"Conaway, K. M.",MPC,2020/04/22,2020/04/22,2020/04/29,0.2721,2020/05/06,0.2399,2020/05/20,0.4665,2020/06/17,0.5339,2020/08/12,0.5347,2020/12/02,0.6192,2021/04/21,1.1199
"Whitehouse, Sheldon",AMGN,2016/04/12,2016/04/12,2016/04/19,0.0239,2016/04/26,0.0337,2016/05/10,-0.0091,2016/06/07,0.0083,2016/08/02,0.109,2016/11/22,-0.081,2017/04/11,0.0306
"Welch, Peter",FTDR,2020/02/19,2020/02/19,2020/02/26,0.021,2020/03/04,0.0028,2020/03/18,-0.2721,2020/04/15,-0.2081,2020/06/10,0.0048,2020/09/30,-0.1391,2021/02/17,0.2491
"Cisneros, Gilbert",SPLK,2020/12/23,2020/12/23,2020/12/30,-0.0504,2021/01/06,-0.1075,2021/01/20,-0.0449,2021/02/17,-0.0718,2021/04/14,-0.1833,2021/08/04,-0.2212,2021/12/22,-0.3709
"Malinowski, Tom",YEXT,2019/11/14,2019/11/14,2019/11/21,0.0003,2019/11/28,0.0718,2019/12/12,-0.1261,2020/01/09,-0.0865,2020/03/05,-0.0657,2020/06/25,0.0304,2020/11/12,0.1129
"Perdue Jr., David A.",AXTA,2017/10/02,2017/10/02,2017/10/09,0.0227,2017/10/16,-0.0209,2017/10/30,0.1462,2017/11/27,0.2402,2018/01/22,0.0851,2018/05/14,0.087,2018/10/01,0.0112
"Carper, Thomas R.",EVOP,2020/11/20,2020/11/20,2020/11/27,-0.0155,2020/12/04,0.0041,2020/12/18,0.0983,2021/01/15,0.0818,2021/03/12,0.1592,2021/07/02,0.1313,2021/11/19,-0.1382
"Curtis, John",UNP,2020/03/27,2020/03/27,2020/04/03,0.0049,2020/04/10,0.0576,2020/04/24,0.1214,2020/05/22,0.1793,2020/07/17,0.2939,2020/11/06,0.371,2021/03/26,0.5838
"Perdue Jr., David A.",DISCA,2018/05/31,2018/05/31,2018/06/07,0.0723,2018/06/14,0.1928,2018/06/28,0.3517,2018/07/26,0.2558,2018/09/20,0.5312,2019/01/10,0.2789,2019/05/30,0.3075
"Capito, Shelley M.",CSCO,2017/09/05,2017/09/05,2017/09/12,0.0151,2017/09/19,0.0212,2017/10/03,0.0598,2017/10/31,0.0706,2017/12/26,0.2094,2018/04/17,0.3887,2018/09/04,0.5003
"Wicker, Roger F.",GDV,2018/04/23,2018/04/23,2018/04/30,-0.0007,2018/05/07,-0.0103,2018/05/21,0.0247,2018/06/18,0.0355,2018/08/13,0.0814,2018/12/03,-0.034,2019/04/22,-0.0299
"Hern, Kevin",INTC,2020/07/27,2020/07/27,2020/08/03,-0.0421,2020/08/10,-0.0314,2020/08/24,-0.0238,2020/09/21,-0.0202,2020/11/16,-0.0802,2021/03/08,0.2068,2021/07/26,0.0665
"Loeffler, Kelly",TRV,2020/04/07,2020/04/07,2020/04/14,0.0536,2020/04/21,-0.0086,2020/05/05,-0.0414,2020/06/02,0.0739,2020/07/28,0.1331,2020/11/17,0.3192,2021/04/06,0.4907
"Toomey, Patrick J.",SDY,2014/09/02,2014/09/02,2014/09/09,-0.0004,2014/09/16,-0.0053,2014/09/30,-0.0229,2014/10/28,0.0008,2014/12/23,0.0348,2015/04/14,0.0211,2015/09/01,-0.0621
"Gianforte, Greg",SMNNY,2020/03/18,2020/03/18,2020/03/25,-0.0075,2020/04/01,0.0559,2020/04/15,0.123,2020/05/13,0.2908,2020/07/08,0.4948,2020/10/28,0.6614,2021/03/17,0.7192
"Cisneros, Gilbert",ALGN,2020/03/18,2020/03/18,2020/03/25,0.2131,2020/04/01,0.0836,2020/04/15,0.2316,2020/05/13,0.3473,2020/07/08,0.8457,2020/10/28,1.9766,2021/03/17,2.5933
"Cisneros, Gilbert",TTWO,2020/03/18,2020/03/18,2020/03/25,0.0045,2020/04/01,0.0732,2020/04/15,0.118,2020/05/13,0.1852,2020/07/08,0.3236,2020/10/28,0.4858,2021/03/17,0.5174
"Beyer, Donald S.",VZ,2019/12/23,2019/12/23,2019/12/30,-0.0056,2020/01/06,-0.0227,2020/01/20,-0.0235,2020/02/17,-0.0559,2020/04/13,-0.077,2020/08/03,-0.0687,2020/12/21,-0.0329
"Perdue Jr., David A.",MOS,2015/04/15,2015/04/15,2015/04/22,-0.0243,2015/04/29,-0.0366,2015/05/13,-0.0157,2015/06/10,-0.0314,2015/08/05,-0.0284,2015/11/25,-0.3141,2016/04/13,-0.4304
"Conaway, K. M.",AEP,2020/04/06,2020/04/06,2020/04/13,0.0958,2020/04/20,0.1022,2020/05/04,0.0606,2020/06/01,0.1098,2020/07/27,0.0795,2020/11/16,0.1519,2021/04/05,0.1134
"Roberts, Pat",FB,2016/04/28,2016/04/28,2016/05/05,-0.0033,2016/05/12,0.0115,2016/05/26,0.0028,2016/06/23,-0.0354,2016/08/18,0.0459,2016/12/08,0.0005,2017/04/27,0.2399
"Axne, Cynthia",CVET,2019/02/08,2019/02/08,2019/02/15,-0.1311,2019/02/22,-0.1202,2019/03/08,-0.2167,2019/04/05,-0.2125,2019/05/31,-0.41,2019/09/20,-0.6999,2020/02/07,-0.6883
"Perdue Jr., David A.",PYPL,2017/12/26,2017/12/26,2018/01/02,0.0065,2018/01/09,0.0812,2018/01/23,0.1431,2018/02/20,0.056,2018/04/17,0.0814,2018/08/07,0.1767,2018/12/25,0.0917
"Hoeven, John",UPS,2017/03/02,2017/03/02,2017/03/09,-0.0047,2017/03/16,0.0111,2017/03/30,-0.0031,2017/04/27,0.0094,2017/06/22,0.0253,2017/10/12,0.1213,2018/03/01,0.0018
"Lee, Susie",WRK,2020/12/10,2020/12/10,2020/12/17,0.0035,2020/12/24,0.0045,2021/01/07,0.0479,2021/02/04,-0.054,2021/04/01,0.1758,2021/07/22,0.0928,2021/12/09,0.0012
"Hern, Kevin",HON,2020/07/27,2020/07/27,2020/08/03,-0.0044,2020/08/10,0.0541,2020/08/24,0.0571,2020/09/21,0.0833,2020/11/16,0.3819,2021/03/08,0.4041,2021/07/26,0.5223
"Welch, Peter",QGEN,2020/02/27,2020/02/27,2020/03/05,0.1328,2020/03/12,0.081,2020/03/26,0.1209,2020/04/23,0.1364,2020/06/18,0.156,2020/10/08,0.477,2021/02/25,0.3799
"Murray, Patty",TGT,2017/03/16,2017/03/16,2017/03/23,-0.023,2017/03/30,0.0099,2017/04/13,-0.0208,2017/05/11,0.0422,2017/07/06,-0.0527,2017/10/26,0.1384,2018/03/15,0.2984
"Lee, Susie",WM,2020/04/06,2020/04/06,2020/04/13,0.075,2020/04/20,0.083,2020/05/04,0.0772,2020/06/01,0.1643,2020/07/27,0.1703,2020/11/16,0.3347,2021/04/05,0.4256
"Wyden, Ronald L.",T,2020/04/17,2020/04/17,2020/04/24,-0.046,2020/05/01,-0.0228,2020/05/15,-0.0875,2020/06/12,-0.0139,2020/08/07,-0.0373,2020/11/27,-0.0626,2021/04/16,-0.0336
"Collins, Susan M.",DIS,2014/05/07,2014/05/07,2014/05/14,0.0015,2014/05/21,0.0074,2014/06/04,0.0317,2014/07/02,0.0637,2014/08/27,0.1097,2014/12/17,0.1188,2015/05/06,0.3606
"Perdue Jr., David A.",DISCA,2015/06/29,2015/06/29,2015/07/06,-0.018,2015/07/13,-0.0022,2015/07/27,-0.0575,2015/08/24,-0.232,2015/10/19,-0.1579,2016/02/08,-0.224,2016/06/27,-0.2872
"Perdue Jr., David A.",AAPL,2016/02/12,2016/02/12,2016/02/19,0.0269,2016/02/26,0.0378,2016/03/11,0.0868,2016/04/08,0.1621,2016/06/03,0.0437,2016/09/23,0.2071,2017/02/10,0.4132
"Capito, Shelley M.",AZN,2017/09/08,2017/09/08,2017/09/15,0.0167,2017/09/22,0.0563,2017/10/06,0.0647,2017/11/03,0.0716,2017/12/29,0.085,2018/04/20,0.1037,2018/09/07,0.1567
"Shalala, Donna",UMPQ,2019/01/09,2019/01/09,2019/01/16,0.0082,2019/01/23,0.031,2019/02/06,-0.0006,2019/03/06,0.0138,2019/05/01,-0.0175,2019/08/21,-0.1062,2020/01/08,0.0138
"Foxx, Virginia",GSK,2020/01/10,2020/01/10,2020/01/17,0.0226,2020/01/24,0.0168,2020/02/07,-0.0626,2020/03/06,-0.1059,2020/05/01,-0.1281,2020/08/21,-0.147,2021/01/08,-0.1854
"Cisneros, Gilbert",PYPL,2020/11/19,2020/11/19,2020/11/26,0.105,2020/12/03,0.1248,2020/12/17,0.2306,2021/01/14,0.2853,2021/03/11,0.3116,2021/07/01,0.5109,2021/11/18,0.0638
"Cisneros, Gilbert",ABMD,2020/04/09,2020/04/09,2020/04/16,0.0154,2020/04/23,0.0729,2020/05/07,0.2032,2020/06/04,0.5001,2020/07/30,0.8815,2020/11/19,0.6963,2021/04/08,1.0676
"Perdue Jr., David A.",MRK,2017/10/18,2017/10/18,2017/10/25,-0.0161,2017/11/01,-0.1289,2017/11/15,-0.1413,2017/12/13,-0.1059,2018/02/07,-0.1233,2018/05/30,-0.0722,2018/10/17,0.1194
"Gianforte, Greg",SSUMY,2020/11/13,2020/11/13,2020/11/20,0.0456,2020/11/27,0.0591,2020/12/11,0.0363,2021/01/08,0.1182,2021/03/05,0.1793,2021/06/25,0.13,2021/11/12,0.1781
"Lee, Susie",TDY,2020/10/19,2020/10/19,2020/10/26,-0.0109,2020/11/02,-0.0656,2020/11/16,0.1551,2020/12/14,0.1505,2021/02/08,0.1514,2021/05/31,0.2673,2021/10/18,0.2882
"Loeffler, Kelly",ABT,2020/04/07,2020/04/07,2020/04/14,0.0589,2020/04/21,0.1464,2020/05/05,0.1071,2020/06/02,0.1122,2020/07/28,0.2034,2020/11/17,0.3652,2021/04/06,0.4533
"Jacobs, Christopher L.",SRNE,2020/12/28,2020/12/28,2021/01/04,-0.1199,2021/01/11,-0.0545,2021/01/25,0.1841,2021/02/22,0.7191,2021/04/19,-0.0295,2021/08/09,0.1097,2021/12/27,-0.2649
"Perdue Jr., David A.",DISCA,2015/05/29,2015/05/29,2015/06/05,0.0182,2015/06/12,-0.0255,2015/06/26,0.0077,2015/07/24,-0.0471,2015/09/18,-0.1635,2016/01/08,-0.2317,2016/05/27,-0.1852
"Beyer, Donald S.",LDNXF,2020/01/14,2020/01/14,2020/01/21,0.0123,2020/01/28,0.0212,2020/02/11,0.0815,2020/03/10,-0.0893,2020/05/05,-0.0544,2020/08/25,0.1951,2021/01/12,0.2434
"Inhofe, James M.",XON,2017/02/16,2017/02/16,2017/02/23,-0.0547,2017/03/02,-0.06,2017/03/16,-0.0976,2017/04/13,-0.154,2017/06/08,-0.0464,2017/09/28,-0.1923,2018/02/15,-0.4185
"Wyden, Ronald L.",AMAT,2020/06/23,2020/06/23,2020/06/30,-0.0197,2020/07/07,0.0281,2020/07/21,0.0464,2020/08/18,0.0902,2020/10/13,0.0585,2021/02/02,0.6804,2021/06/22,1.1732
"Gottheimer, Josh",RPD,2020/02/14,2020/02/14,2020/02/21,-0.0328,2020/02/28,-0.1738,2020/03/13,-0.2879,2020/04/10,-0.2508,2020/06/05,-0.0976,2020/09/25,0.0973,2021/02/12,0.5715
"Shalala, Donna",BKU,2019/04/16,2019/04/16,2019/04/23,-0.0023,2019/04/30,0.0337,2019/05/14,-0.0227,2019/06/11,-0.0475,2019/08/06,-0.0967,2019/11/26,-0.0052,2020/04/14,-0.4491
"Perdue Jr., David A.",MDLZ,2017/12/26,2017/12/26,2018/01/02,-0.0156,2018/01/09,-0.0109,2018/01/23,0.0177,2018/02/20,0.0107,2018/04/17,-0.0322,2018/08/07,-0.0093,2018/12/25,-0.0939
"Allen, Richard W.",MRK,2020/07/02,2020/07/02,2020/07/09,-0.02,2020/07/16,0.0065,2020/07/30,-0.004,2020/08/27,0.0869,2020/10/22,0.0001,2021/02/11,-0.0521,2021/07/01,0.0355
