official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",DISCA,2017/11/17,2017/11/24,0.37
"Perdue Jr., David A.",HBI,2017/10/03,2017/10/10,-0.62
"Perdue Jr., David A.",MOS,2017/04/11,2017/04/18,-1.65
"Inhofe, James M.",FANG,2015/07/15,2015/07/22,-6.05
"Capito, Shelley M.",GD,2018/04/24,2018/05/01,-26.1
"Shalala, Donna",PCH,2019/04/30,2019/05/07,0.59
"Perdue Jr., David A.",IP,2017/12/26,2018/01/02,1.16
"Perdue Jr., David A.",HYH,2016/01/26,2016/02/02,-0.8
"Carper, Thomas R.",AEE,2015/08/25,2015/09/01,-1.18
"Shalala, Donna",KUBTY,2019/01/16,2019/01/23,2.69
"Perdue Jr., David A.",BWXT,2018/12/21,2018/12/28,-0.74
"Whitehouse, Sheldon",M,2014/10/02,2014/10/09,-0.67
"Perdue Jr., David A.",FEYE,2018/01/16,2018/01/23,-0.27
"Perdue Jr., David A.",MA,2016/02/25,2016/03/03,3.06
"Perdue Jr., David A.",AAPL,2016/02/01,2016/02/08,-0.42
"Perdue Jr., David A.",BAC,2016/04/14,2016/04/21,0.96
"Perdue Jr., David A.",HYH,2016/01/28,2016/02/04,1.02
"Moran, Jerry",WFC,2018/12/06,2018/12/13,-3.05
"Toomey, Patrick J.",PG,2015/04/27,2015/05/04,-0.2
"Capito, Shelley M.",JNJ,2018/04/24,2018/05/01,-0.58
"Perdue Jr., David A.",FEYE,2016/06/28,2016/07/05,0.62
"Cassidy, William",SBUX,2018/04/23,2018/04/30,-0.22
"Hoeven, John",WTW,2018/11/07,2018/11/14,3.56
"Moran, Jerry",CVS,2018/12/19,2018/12/26,-5.66
"Collins, Susan M.",WFC,2014/05/07,2014/05/14,0.38
"Whitehouse, Sheldon",SBUX,2016/06/07,2016/06/14,-0.39
"Perdue Jr., David A.",GM,2018/07/05,2018/07/12,-0.28
"Perdue Jr., David A.",PAGP,2019/02/07,2019/02/14,0.86
"Collins, Susan M.",SCHW,2014/04/21,2014/04/28,-0.28
"Roberts, Pat",NFLX,2018/08/24,2018/08/31,19.69
"Perdue Jr., David A.",GOOGL,2017/12/26,2018/01/02,0.75
"Capito, Shelley M.",JKHY,2017/09/08,2017/09/15,-0.27
"Whitehouse, Sheldon",WMT,2018/08/28,2018/09/04,0.31
"Perdue Jr., David A.",FDX,2019/04/08,2019/04/15,6.77
"Murray, Patty",COP,2017/03/16,2017/03/23,-1.15
"Perdue Jr., David A.",CZR,2018/08/01,2018/08/08,0.79
"Whitehouse, Sheldon",FB,2016/11/28,2016/12/05,-4.44
"Perdue Jr., David A.",EAF,2019/05/29,2019/06/05,0.14
"Whitehouse, Sheldon",C,2017/05/24,2017/05/31,-1.31
"Capito, Shelley M.",CL,2018/04/24,2018/05/01,-1.37
"Perdue Jr., David A.",GLW,2018/02/05,2018/02/12,-1.26
"Curtis, John",DOMO,2019/08/02,2019/08/09,-0.6
"Whitehouse, Sheldon",NVDA,2018/10/23,2018/10/30,-6.49
"Whitehouse, Sheldon",T,2019/04/18,2019/04/25,-1.62
"Courtney, Joe",LMT,2019/12/31,2020/01/07,22.68
"Cisneros, Gilbert",FLEX,2019/12/24,2019/12/31,-0.11
"Langevin, James R.",HUYA,2019/05/06,2019/05/13,-2.19
"Perdue Jr., David A.",KN,2015/01/21,2015/01/28,0.04
"Shalala, Donna",WFC,2019/02/05,2019/02/12,-0.3
"Beyer, Donald S.",ILMN,2019/12/23,2019/12/30,-2.49
"Perdue Jr., David A.",ACA,2018/12/20,2018/12/27,1.61
"Malinowski, Tom",VIOT,2019/04/08,2019/04/15,0.64
"Capito, Shelley M.",PAYX,2018/04/05,2018/04/12,-0.42
"Perdue Jr., David A.",LGF-B,2019/11/12,2019/11/19,-0.16
"Roberts, Pat",NVDA,2018/04/25,2018/05/02,2.77
"Capito, Shelley M.",ICE,2018/02/27,2018/03/06,-1.2
"Perdue Jr., David A.",NWSA,2019/10/16,2019/10/23,0.34
"Perdue Jr., David A.",PEP,2018/05/22,2018/05/29,0.7
"Whitehouse, Sheldon",NFLX,2015/04/07,2015/04/14,7.84
"Shalala, Donna",NOV,2019/02/15,2019/02/22,-0.79
"Whitehouse, Sheldon",UL,2014/10/07,2014/10/14,-0.38
"Whitehouse, Sheldon",VDC,2014/05/09,2014/05/16,-0.61
"Collins, Susan M.",MCHP,2014/06/19,2014/06/26,-0.33
"Perdue Jr., David A.",QCOM,2015/08/24,2015/08/31,1.6
"Capito, Shelley M.",T,2017/09/05,2017/09/12,-1.05
"Perdue Jr., David A.",LGF-B,2018/11/26,2018/12/03,-0.04
"Hoeven, John",CAT,2018/03/05,2018/03/12,8.66
"Carper, Thomas R.",NWL,2017/08/31,2017/09/07,-2.23
"Capito, Shelley M.",GD,2016/04/19,2016/04/26,1.86
"Perdue Jr., David A.",T,2019/01/31,2019/02/07,-0.38
"Perdue Jr., David A.",DVN,2015/07/29,2015/08/05,-1.54
"Roberts, Pat",NFLX,2014/03/06,2014/03/13,-2.74
"Moran, Jerry",0QZI.IL,2019/09/25,2019/10/02,-5.24
"Shalala, Donna",FII,2019/03/06,2019/03/13,-0.36
"Whitehouse, Sheldon",T,2018/06/13,2018/06/20,-0.41
"Inhofe, James M.",FLR,2017/05/17,2017/05/24,-0.01
"Hoeven, John",HAS,2016/08/22,2016/08/29,0.69
"Beyer, Donald S.",FANUF,2019/12/24,2019/12/31,-5.36
"Roberts, Pat",ZNGA,2014/11/07,2014/11/14,0.21
"Perdue Jr., David A.",FDX,2019/06/26,2019/07/03,3.05
