official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",HYH,2016/02/09,2016/04/05,4.07
"Phillips, Dean",CMCSA,2019/12/27,2020/02/21,1.0
"Capito, Shelley M.",FANUY,2017/09/08,2017/11/03,4.15
"Cassidy, William",AFL,2016/03/31,2016/05/26,3.0
"Shalala, Donna",FII,2019/02/20,2019/04/17,4.07
"Whitehouse, Sheldon",MO,2014/01/31,2014/03/28,2.23
"Roberts, Pat",NVDA,2018/08/28,2018/10/23,-13.14
"Perdue Jr., David A.",LGF-B,2018/12/03,2019/01/28,-0.3
"Inhofe, James M.",BABA,2017/10/23,2017/12/18,-2.0
"Murray, Patty",UN,2017/03/16,2017/05/11,2.72
"Cassidy, William",BLK,2016/03/31,2016/05/26,21.08
"Perdue Jr., David A.",IP,2015/08/24,2015/10/19,-0.65
"Hill, James F.",AAWW,2019/12/19,2020/02/13,-0.79
"Perdue Jr., David A.",BAC,2016/01/20,2016/03/16,-0.19
"Roberts, Pat",LMT,2018/01/17,2018/03/14,-1.05
"Capito, Shelley M.",CME,2017/09/08,2017/11/03,12.94
"Marshall, Roger W.",AAPL,2019/12/02,2020/01/27,10.62
"Perdue Jr., David A.",BMY,2016/08/11,2016/10/06,-5.77
"Perdue Jr., David A.",BAC,2016/04/18,2016/06/13,-0.29
"Capito, Shelley M.",MSFT,2018/04/24,2018/06/19,5.81
"Capito, Shelley M.",KO,2019/03/04,2019/04/29,2.8
"Cisneros, Gilbert",VCYT,2019/12/12,2020/02/06,-1.73
"Perdue Jr., David A.",HBI,2017/08/07,2017/10/02,0.32
"Perdue Jr., David A.",PAGP,2018/12/21,2019/02/15,3.24
"Perdue Jr., David A.",BMY,2017/03/22,2017/05/17,-1.64
"Perdue Jr., David A.",WMT,2017/03/13,2017/05/08,6.21
"Murray, Patty",PAYX,2017/03/16,2017/05/11,-5.5
"Toomey, Patrick J.",BAC,2017/01/25,2017/03/22,-0.45
"Shalala, Donna",H,2019/04/03,2019/05/29,-2.61
"Hoeven, John",CE,2019/05/30,2019/07/25,11.75
"Roberts, Pat",NFLX,2014/09/12,2014/11/07,-14.03
"Shalala, Donna",EXEL,2019/01/09,2019/03/06,-0.66
"Perdue Jr., David A.",ALB,2019/10/29,2019/12/24,8.88
"Murray, Patty",KMB,2017/03/16,2017/05/11,-6.35
"Perdue Jr., David A.",HBI,2017/11/02,2017/12/28,0.76
"Perdue Jr., David A.",DVN,2018/01/24,2018/03/21,-12.07
"Collins, Susan M.",DHR,2017/03/02,2017/04/27,-3.69
"Cisneros, Gilbert",KHC,2019/12/06,2020/01/31,-1.67
"Murray, Patty",GSK,2017/03/16,2017/05/11,0.25
"Courtney, Joe",KDP,2019/12/31,2020/02/25,-0.05
"Inhofe, James M.",XON,2017/02/16,2017/04/13,-3.62
"Perdue Jr., David A.",GLW,2018/01/31,2018/03/28,-4.29
"Murray, Patty",EXC,2017/03/16,2017/05/11,-1.85
"Capito, Shelley M.",PII,2018/04/24,2018/06/19,10.98
"Perdue Jr., David A.",AAPL,2019/01/03,2019/02/28,7.51
"Capito, Shelley M.",DWDP,2018/05/17,2018/07/12,-2.68
"Whitehouse, Sheldon",WM,2017/05/10,2017/07/05,0.74
"Cisneros, Gilbert",GDDY,2019/12/24,2020/02/18,8.97
"Whitehouse, Sheldon",KO,2015/08/10,2015/10/05,-1.05
"Reed, John F.",XBI,2017/06/19,2017/08/14,3.03
"Capito, Shelley M.",ACN,2018/04/24,2018/06/19,10.22
"Collins, Susan M.",AAPL,2014/11/10,2015/01/05,-0.49
"Capito, Shelley M.",LVMUY,2017/09/05,2017/10/31,7.79
"Hoeven, John",PG,2017/01/20,2017/03/17,4.26
"Perdue Jr., David A.",URBN,2019/12/30,2020/02/24,0.16
"Perdue Jr., David A.",FEYE,2016/07/12,2016/09/06,-0.93
"Shalala, Donna",UNICY,2019/02/21,2019/04/18,0.08
"Perdue Jr., David A.",FDX,2019/05/02,2019/06/27,-23.25
"Perdue Jr., David A.",RF,2018/12/21,2019/02/15,2.84
"Whitehouse, Sheldon",IBM,2017/11/27,2018/01/22,10.03
"Roberts, Pat",NVDA,2017/11/30,2018/01/25,9.52
"Whitehouse, Sheldon",T,2014/12/18,2015/02/12,1.25
"Shalala, Donna",HPQ,2019/05/20,2019/07/15,2.4
"Reed, John F.",TMO,2016/09/12,2016/11/07,5.39
"Perdue Jr., David A.",ALB,2019/12/05,2020/01/30,16.89
"Capito, Shelley M.",APD,2018/04/04,2018/05/30,3.82
"Perdue Jr., David A.",SUN,2018/02/05,2018/04/02,-4.95
"Capito, Shelley M.",XOM,2018/04/24,2018/06/19,1.38
"Murray, Patty",PG,2017/03/16,2017/05/11,-5.16
"Perdue Jr., David A.",BWXT,2019/01/15,2019/03/12,8.6
"Capito, Shelley M.",MDT,2018/04/24,2018/06/19,6.51
"Perdue Jr., David A.",DISCA,2015/03/13,2015/05/08,-0.46
"Perdue Jr., David A.",GPK,2019/08/09,2019/10/04,0.58
"Cisneros, Gilbert",WFC,2019/12/06,2020/01/31,-6.95
"Perdue Jr., David A.",SPY,2017/12/13,2018/02/07,2.87
"Perdue Jr., David A.",DISCA,2015/08/12,2015/10/07,-0.78
"Shalala, Donna",KUBTY,2019/01/15,2019/03/12,-6.27
"King Jr., Angus S.",SLB,2017/11/28,2018/01/23,17.62
"McConnell Jr., A. M.",WFC,2018/03/05,2018/04/30,-4.78
"Perdue Jr., David A.",HBI,2018/05/04,2018/06/29,5.55
"Perdue Jr., David A.",DISCA,2015/07/27,2015/09/21,-3.37
"Perdue Jr., David A.",HBI,2017/08/28,2017/10/23,-1.04
"Whitehouse, Sheldon",CB,2018/05/07,2018/07/02,-5.62
"Shalala, Donna",VRTX,2019/04/18,2019/06/13,2.83
"Collins, Susan M.",SRCL,2016/03/09,2016/05/04,-18.25
"Capito, Shelley M.",INTC,2018/01/26,2018/03/23,1.04
"Perdue Jr., David A.",BOIVF,2019/11/07,2020/01/02,-0.06
"Perdue Jr., David A.",BAH,2019/12/31,2020/02/25,0.53
"Capito, Shelley M.",CSX,2017/12/20,2018/02/14,-0.42
"Perdue Jr., David A.",SHLX,2018/02/06,2018/04/03,-5.92
"Perdue Jr., David A.",BOIVF,2019/02/01,2019/03/29,0.36
"Whitehouse, Sheldon",PANW,2014/02/25,2014/04/22,-6.19
