official,ticker,buy_date,sell_date,profit
"Whitehouse, Sheldon",FB,2016/11/28,2017/07/10,31.99
"Perdue Jr., David A.",EAF,2019/05/29,2020/01/08,1.2
"Whitehouse, Sheldon",C,2017/05/24,2018/01/03,12.3
"Capito, Shelley M.",CL,2018/04/24,2018/12/04,-2.58
"Perdue Jr., David A.",GLW,2018/02/05,2018/09/17,4.76
"Curtis, John",DOMO,2019/08/02,2020/03/13,-14.75
"Whitehouse, Sheldon",NVDA,2018/10/23,2019/06/04,-20.28
"Courtney, Joe",LMT,2019/12/31,2020/08/11,5.88
"Cisneros, Gilbert",FLEX,2019/12/24,2020/08/04,-1.4
"Langevin, James R.",HUYA,2019/05/06,2019/12/16,-5.69
"Perdue Jr., David A.",KN,2015/01/21,2015/09/02,-5.25
"Shalala, Donna",WFC,2019/02/05,2019/09/17,-0.45
"Beyer, Donald S.",ILMN,2019/12/23,2020/08/03,62.2
"Perdue Jr., David A.",ACA,2018/12/20,2019/08/01,12.7
"Malinowski, Tom",VIOT,2019/04/08,2019/11/18,-1.23
"Capito, Shelley M.",PAYX,2018/04/05,2018/11/15,4.89
"Perdue Jr., David A.",LGF-B,2019/11/12,2020/06/23,-2.09
"Capito, Shelley M.",ICE,2018/02/27,2018/10/09,1.72
"Perdue Jr., David A.",NWSA,2019/10/16,2020/05/27,-1.55
"Whitehouse, Sheldon",NFLX,2015/04/07,2015/11/17,54.8
"Shalala, Donna",NOV,2019/02/15,2019/09/27,-7.68
"Whitehouse, Sheldon",UL,2014/10/07,2015/05/19,4.16
"Whitehouse, Sheldon",VDC,2014/05/09,2014/12/19,11.55
"Collins, Susan M.",MCHP,2014/06/19,2015/01/29,-2.35
"Perdue Jr., David A.",QCOM,2015/08/24,2016/04/04,-4.39
"Capito, Shelley M.",T,2017/09/05,2018/04/17,-1.64
"Perdue Jr., David A.",LGF-B,2018/11/26,2019/07/08,-5.6
"Hoeven, John",CAT,2018/03/05,2018/10/15,-5.78
"Carper, Thomas R.",NWL,2017/08/31,2018/04/12,-22.3
"Capito, Shelley M.",GD,2016/04/19,2016/11/29,38.07
"Perdue Jr., David A.",T,2019/01/31,2019/09/12,8.48
"Perdue Jr., David A.",DVN,2015/07/29,2016/03/09,-28.24
"Roberts, Pat",NFLX,2014/03/06,2014/10/16,-14.98
"Moran, Jerry",0QZI.IL,2019/09/25,2020/05/06,29.46
"Shalala, Donna",FII,2019/03/06,2019/10/16,0.95
"Whitehouse, Sheldon",T,2018/06/13,2019/01/23,-1.93
"Inhofe, James M.",FLR,2017/05/17,2017/12/27,5.22
"Hoeven, John",HAS,2016/08/22,2017/04/03,19.12
"Roberts, Pat",ZNGA,2014/11/07,2015/06/19,0.48
"Perdue Jr., David A.",FDX,2019/06/26,2020/02/05,-7.55
"Perdue Jr., David A.",FE,2016/05/05,2016/12/15,-2.52
"Courtney, Joe",MCHP,2019/12/31,2020/08/11,-1.35
"Perdue Jr., David A.",SLB,2017/10/30,2018/06/11,5.76
"Perdue Jr., David A.",BWXT,2018/12/13,2019/07/25,11.41
"Capito, Shelley M.",CB,2018/04/24,2018/12/04,-3.21
"Perdue Jr., David A.",FDX,2019/04/03,2019/11/13,-28.06
"Capito, Shelley M.",VFC,2018/04/05,2018/11/15,5.83
"Perdue Jr., David A.",MPLX,2016/04/22,2016/12/02,-0.82
"Courtney, Joe",JPM,2019/12/31,2020/08/11,-34.05
"Roberts, Pat",TJX,2017/07/24,2018/03/05,8.02
"Perdue Jr., David A.",URBN,2017/06/01,2018/01/11,14.4
"Perdue Jr., David A.",FEYE,2016/10/19,2017/05/31,2.39
"Roberts, Pat",FB,2018/10/12,2019/05/24,28.14
"Whitehouse, Sheldon",AXP,2014/07/29,2015/03/10,-12.55
"Perdue Jr., David A.",EPD,2018/09/18,2019/04/30,-0.61
"Whitehouse, Sheldon",DISH,2017/04/05,2017/11/15,-13.37
"Perdue Jr., David A.",SUN,2018/01/31,2018/09/12,-3.93
"Perdue Jr., David A.",FEYE,2016/11/18,2017/06/30,1.57
"Hoeven, John",ABBV,2014/04/28,2014/12/08,19.85
"Toomey, Patrick J.",BOX,2018/05/02,2018/12/12,-4.42
"Courtney, Joe",NEE,2019/12/31,2020/08/11,9.81
"Perdue Jr., David A.",EAF,2019/05/24,2020/01/03,1.15
"Perdue Jr., David A.",BAC,2016/03/30,2016/11/09,4.17
"Collins, Susan M.",DAL,2014/03/31,2014/11/10,8.38
"Murray, Patty",MDT,2017/03/16,2017/10/26,-2.75
"Whitehouse, Sheldon",C,2017/07/25,2018/03/06,6.25
"Perdue Jr., David A.",LGF-B,2018/12/10,2019/07/22,-4.45
"Whitehouse, Sheldon",NFLX,2016/01/05,2016/08/16,-13.21
"Whitehouse, Sheldon",BABA,2014/11/10,2015/06/22,-31.33
