official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",PBA,2019/05/30,2019/06/06,0.44,2019/06/27,0.82,2019/07/25,1.68,2019/09/19,1.46,2020/01/09,2.98,2020/05/28,-10.3
"Murray, Patty",MTB,2017/03/16,2017/03/23,-8.89,2017/04/13,-15.46,2017/05/11,-6.35,2017/07/06,0.07,2017/10/26,2.46,2018/03/15,26.1
"Perdue Jr., David A.",T,2019/02/06,2019/02/13,0.03,2019/03/06,0.3,2019/04/03,2.14,2019/05/29,2.3,2019/09/18,7.08,2020/02/05,8.08
"Perdue Jr., David A.",VLP,2015/08/04,2015/08/11,-0.19,2015/09/01,4.8,2015/09/29,-7.22,2015/11/24,-0.69,2016/03/15,1.87,2016/08/02,-5.52
"Perdue Jr., David A.",HBI,2018/08/24,2018/08/31,-0.12,2018/09/21,1.05,2018/10/19,-1.13,2018/12/14,-3.88,2019/04/05,0.91,2019/08/23,-3.82
"Shalala, Donna",ESNT,2019/03/06,2019/03/13,-0.4,2019/04/03,1.6,2019/05/01,3.63,2019/06/26,1.88,2019/10/16,5.53,2020/03/04,2.78
"Capito, Shelley M.",ABT,2016/04/19,2016/04/26,0.25,2016/05/17,-5.83,2016/06/14,-6.09,2016/08/09,1.34,2016/11/29,-4.91,2017/04/18,-0.47
"Inhofe, James M.",XOM,2017/11/13,2017/11/20,-2.52,2017/12/11,0.15,2018/01/08,4.03,2018/03/05,-7.0,2018/06/25,-2.58,2018/11/12,-2.11
"Reed, John F.",XBI,2017/03/06,2017/03/13,0.64,2017/04/03,-1.47,2017/05/01,1.22,2017/06/26,9.42,2017/10/16,16.83,2018/03/05,22.13
"Perdue Jr., David A.",AXTA,2017/08/11,2017/08/18,0.58,2017/09/08,-0.12,2017/10/06,1.62,2017/12/01,3.04,2018/03/23,1.59,2018/08/10,1.55
"Courtney, Joe",STZ,2019/12/31,2020/01/07,-1.82,2020/01/28,4.38,2020/02/25,9.62,2020/04/21,-35.2,2020/08/11,-15.25,2020/12/29,30.1
"Hoeven, John",AAPL,2016/01/28,2016/02/04,0.7,2016/02/25,0.63,2016/03/24,3.02,2016/05/19,0.16,2016/09/08,3.2,2017/01/26,7.14
"Whitehouse, Sheldon",A,2014/10/02,2014/10/09,-0.08,2014/10/30,-1.22,2015/01/22,-0.9,2015/05/14,2.16,2015/10/01,-5.91
"Capito, Shelley M.",ADP,2018/04/24,2018/05/01,-1.21,2018/05/22,11.65,2018/06/19,21.07,2018/08/14,23.36,2018/12/04,28.37,2019/04/23,46.4
"Collins, Susan M.",HON,2014/04/07,2014/04/14,-1.76,2014/05/05,-0.15,2014/06/02,0.61,2014/07/28,2.54,2014/11/17,3.72,2015/04/06,10.86
"Capito, Shelley M.",JNJ,2018/10/17,2018/10/24,0.53,2018/11/14,6.33,2018/12/12,9.64,2019/02/06,-5.17,2019/05/29,-5.9,2019/10/16,-2.91
"Whitehouse, Sheldon",CB,2016/10/26,2016/11/02,-0.04,2016/11/23,1.34,2016/12/21,7.8,2017/02/15,8.66,2017/06/07,19.13,2017/10/25,28.95
"Joyce, David P.",VCSH,2019/03/22,2019/03/29,0.13,2019/05/17,0.11,2019/07/12,0.84,2019/11/01,1.47,2020/03/20,-6.33
"Capito, Shelley M.",SMECF,2017/09/08,2017/09/15,0.82,2017/10/06,-5.95,2017/11/03,34.34,2017/12/29,55.72,2018/04/20,38.47,2018/09/07,-55.96
"Inhofe, James M.",GM,2017/03/07,2017/03/14,-0.74,2017/04/04,-3.41,2017/05/02,-3.99,2017/06/27,-3.31,2017/10/17,7.94,2018/03/06,0.24
"Perdue Jr., David A.",LGF-B,2018/12/21,2018/12/28,1.67,2019/01/18,3.8,2019/02/15,1.59,2019/04/12,2.77,2019/08/02,-1.62,2019/12/20,-4.15
"Perdue Jr., David A.",V,2016/01/20,2016/01/27,1.31,2016/02/17,1.49,2016/03/16,1.95,2016/05/11,8.09,2016/08/31,10.73,2017/01/18,11.18
"Perdue Jr., David A.",WMB,2016/11/18,2016/11/25,-0.01,2016/12/16,-0.23,2017/01/13,-1.63,2017/03/10,-1.38,2017/06/30,-0.16,2017/11/17,-3.2
"Inhofe, James M.",BMY,2017/02/01,2017/02/08,2.8,2017/03/01,8.06,2017/03/29,7.42,2017/05/24,5.14,2017/09/13,13.84,2018/01/31,14.16
"Cassidy, William",SLB,2016/02/09,2016/02/16,2.96,2016/03/08,5.85,2016/04/05,4.2,2016/05/31,8.35,2016/09/20,7.43,2017/02/07,12.76
"Inhofe, James M.",BIIB,2015/07/09,2015/07/16,2.85,2015/08/06,-75.43,2015/09/03,-96.55,2015/10/29,-106.74,2016/02/18,-139.09,2016/07/07,-154.39
"Shalala, Donna",PDM,2019/04/16,2019/04/23,-0.29,2019/05/14,0.03,2019/06/11,-0.13,2019/08/06,-1.03,2019/11/26,1.39,2020/04/14,-1.58
"Hoeven, John",JETS,2018/01/24,2018/01/31,-0.06,2018/02/21,-0.7,2018/03/21,0.02,2018/05/16,-2.49,2018/09/05,-0.55,2019/01/23,-3.82
"Roberts, Pat",NVDA,2017/12/01,2017/12/08,-0.84,2017/12/29,-0.08,2018/01/26,11.04,2018/03/23,10.3,2018/07/13,13.37,2018/11/30,-9.12
"Perdue Jr., David A.",SYY,2015/05/06,2015/05/13,0.73,2015/06/03,1.34,2015/07/01,-0.07,2015/08/26,3.54,2015/12/16,5.27,2016/05/04,12.56
"Courtney, Joe",ROST,2019/12/31,2020/01/07,1.37,2020/01/28,-1.43,2020/02/25,3.04,2020/04/21,-32.78,2020/08/11,-22.66,2020/12/29,5.99
"Whitehouse, Sheldon",LRCX,2015/12/22,2015/12/29,1.28,2016/01/19,-10.92,2016/02/16,-11.68,2016/04/12,1.9,2016/08/02,10.78,2016/12/20,28.1
